node1	node2
b0114	b2779	
b0114	b3114	
b0114	b3236	
b0114	b3956	
b0114	b4079	
b0114	b4122	
b0114	b4151	
b0114	b4152	
b0114	b4153	
b0114	b4154	
b0115	b0116	
b0115	b0118	
b0115	b0628	
b0115	b0630	
b0115	b0720	
b0115	b0727	
b0115	b0903	
b0115	b1094	
b0115	b1136	
b0115	b1611	
b0115	b1612	
b0115	b1676	
b0115	b1854	
b0115	b2525	
b0115	b2719	
b0115	b2720	
b0115	b2721	
b0115	b2722	
b0115	b2723	
b0115	b2724	
b0115	b2779	
b0115	b2904	
b0115	b3114	
b0115	b3236	
b0115	b3956	
b0115	b4079	
b0115	b4122	
b0115	b4151	
b0115	b4152	
b0115	b4153	
b0115	b4154	
b0115	b4386	
b0116	b0118	
b0116	b0529	
b0116	b0720	
b0116	b0721	
b0116	b0722	
b0116	b0723	
b0116	b0724	
b0116	b0726	
b0116	b0727	
b0116	b0728	
b0116	b0729	
b0116	b0903	
b0116	b1136	
b0116	b1232	
b0116	b1276	
b0116	b1606	
b0116	b1611	
b0116	b1612	
b0116	b1676	
b0116	b1854	
b0116	b2210	
b0116	b2315	
b0116	b2525	
b0116	b2551	
b0116	b2719	
b0116	b2720	
b0116	b2721	
b0116	b2722	
b0116	b2723	
b0116	b2724	
b0116	b2779	
b0116	b2827	
b0116	b2903	
b0116	b2904	
b0116	b2905	
b0116	b2912	
b0116	b3114	
b0116	b3236	
b0116	b3941	
b0116	b3956	
b0116	b4019	
b0116	b4079	
b0116	b4122	
b0116	b4151	
b0116	b4152	
b0116	b4153	
b0116	b4154	
b0118	b0331	
b0118	b0333	
b0118	b0334	
b0118	b0335	
b0118	b0720	
b0118	b0721	
b0118	b0722	
b0118	b0723	
b0118	b0724	
b0118	b0726	
b0118	b0727	
b0118	b0728	
b0118	b0729	
b0118	b0903	
b0118	b1136	
b0118	b1241	
b0118	b1276	
b0118	b1380	
b0118	b1478	
b0118	b1611	
b0118	b1612	
b0118	b1676	
b0118	b1854	
b0118	b2210	
b0118	b2296	
b0118	b2297	
b0118	b2458	
b0118	b2719	
b0118	b2720	
b0118	b2721	
b0118	b2722	
b0118	b2723	
b0118	b2724	
b0118	b2779	
b0118	b3114	
b0118	b3236	
b0118	b3956	
b0118	b4014	
b0118	b4015	
b0118	b4069	
b0118	b4079	
b0118	b4122	
b0118	b4151	
b0118	b4152	
b0118	b4153	
b0118	b4154	
b0120	b0121	
b0121	b0186	
b0121	b4131	
b0124	b0688	
b0124	b0822	
b0124	b1002	
b0124	b2388	
b0124	b3697	
b0124	b3826	
b0124	b3885	
b0125	b0238	
b0125	b1623	
b0125	b2407	
b0125	b4384	
b0131	b0133	
b0131	b0134	
b0131	b0425	
b0131	b3634	
b0131	b3639	
b0131	b3974	
b0133	b0134	
b0133	b0425	
b0133	b3634	
b0133	b3639	
b0133	b3974	
b0134	b0425	
b0134	b3634	
b0134	b3639	
b0134	b3974	
b0142	b1865	
b0142	b2153	
b0142	b3058	
b0149	b0381	
b0149	b2519	
b0149	b3189	
b0149	b3208	
b0149	b3396	
b0149	b3967	
b0149	b3972	
b0154	b0369	
b0154	b0475	
b0154	b1210	
b0154	b2400	
b0154	b2436	
b0154	b3804	
b0154	b3805	
b0154	b3850	
b0154	b3997	
b0159	b2687	
b0159	b2942	
b0159	b3829	
b0166	b2472	
b0166	b2478	
b0166	b2838	
b0166	b3359	
b0166	b3433	
b0166	b3809	
b0166	b4024	
b0167	b0450	
b0167	b2553	
b0167	b3053	
b0167	b3868	
b0167	b3869	
b0167	b3870	
