"node1","node2","Uni_N1","Uni_N2"
"eco:b0026","eco:b0104","P00956","P60560"
"eco:b0068","eco:b0104","P31550","P60560"
"eco:b0078","eco:b0104","P00894","P60560"
"eco:b0052","eco:b0104","P19624","P60560"
"eco:b0047","eco:b0104","P03819","P60560"
"eco:b0091","eco:b0104","P17952","P60560"
"eco:b0077","eco:b0104","P00893","P60560"
"eco:b0003","eco:b0104","P00547","P60560"
"eco:b0031","eco:b0104","P04036","P60560"
"eco:b0023","eco:b0104","P0A7U7","P60560"
"eco:b0072","eco:b0104","P0A6A6","P60560"
"eco:b0085","eco:b0104","P22188","P60560"
"eco:b0004","eco:b0104","P00934","P60560"
"eco:b0106","eco:b0107","P36646","P36645"
"eco:b0107","eco:b0108","P36645","P36647"
"eco:b0106","eco:b0108","P36646","P36647"
"eco:b0004","eco:b0109","P00934","P30011"
"eco:b0052","eco:b0109","P19624","P30011"
"eco:b0085","eco:b0109","P22188","P30011"
"eco:b0068","eco:b0109","P31550","P30011"
"eco:b0071","eco:b0109","P30126","P30011"
"eco:b0072","eco:b0109","P0A6A6","P30011"
"eco:b0031","eco:b0109","P04036","P30011"
"eco:b0104","eco:b0109","P60560","P30011"
"eco:b0091","eco:b0110","P17952","P13016"
"eco:b0110","eco:b0111","P13016","P0AE14"
"eco:b0076","eco:b0113","P10151","P0ACL9"
"eco:b0031","eco:b0115","P04036","P06959"
"eco:b0052","eco:b0115","P19624","P06959"
"eco:b0109","eco:b0115","P30011","P06959"
"eco:b0050","eco:b0115","P62672","P06959"
"eco:b0003","eco:b0115","P00547","P06959"
"eco:b0113","eco:b0115","P0ACL9","P06959"
"eco:b0048","eco:b0115","P0ABQ4","P06959"
"eco:b0078","eco:b0115","P00894","P06959"
"eco:b0008","eco:b0115","P0A870","P06959"
"eco:b0104","eco:b0115","P60560","P06959"
"eco:b0023","eco:b0115","P0A7U7","P06959"
"eco:b0113","eco:b0118","P0ACL9","P36683"
"eco:b0115","eco:b0118","P06959","P36683"
"eco:b0008","eco:b0118","P0A870","P36683"
"eco:b0104","eco:b0120","P60560","P0A7F6"
"eco:b0052","eco:b0120","P19624","P0A7F6"
"eco:b0109","eco:b0120","P30011","P0A7F6"
"eco:b0085","eco:b0120","P22188","P0A7F6"
"eco:b0004","eco:b0120","P00934","P0A7F6"
"eco:b0091","eco:b0120","P17952","P0A7F6"
"eco:b0086","eco:b0120","P11880","P0A7F6"
"eco:b0115","eco:b0120","P06959","P0A7F6"
"eco:b0031","eco:b0120","P04036","P0A7F6"
"eco:b0068","eco:b0120","P31550","P0A7F6"
"eco:b0109","eco:b0121","P30011","P09158"
"eco:b0085","eco:b0121","P22188","P09158"
"eco:b0115","eco:b0121","P06959","P09158"
"eco:b0120","eco:b0121","P0A7F6","P09158"
"eco:b0071","eco:b0121","P30126","P09158"
"eco:b0068","eco:b0121","P31550","P09158"
"eco:b0086","eco:b0121","P11880","P09158"
"eco:b0004","eco:b0121","P00934","P09158"
"eco:b0031","eco:b0121","P04036","P09158"
"eco:b0090","eco:b0121","P17443","P09158"
"eco:b0072","eco:b0121","P0A6A6","P09158"
"eco:b0003","eco:b0121","P00547","P09158"
"eco:b0104","eco:b0121","P60560","P09158"
"eco:b0104","eco:b0124","P60560","P15877"
"eco:b0023","eco:b0124","P0A7U7","P15877"
"eco:b0031","eco:b0124","P04036","P15877"
"eco:b0071","eco:b0131","P30126","P0A790"
"eco:b0068","eco:b0131","P31550","P0A790"
"eco:b0072","eco:b0131","P0A6A6","P0A790"
"eco:b0109","eco:b0131","P30011","P0A790"
"eco:b0006","eco:b0132","P0A8I3","P31665"
"eco:b0068","eco:b0133","P31550","P31663"
"eco:b0103","eco:b0133","P0A6I9","P31663"
"eco:b0071","eco:b0133","P30126","P31663"
"eco:b0121","eco:b0133","P09158","P31663"
"eco:b0131","eco:b0133","P0A790","P31663"
"eco:b0115","eco:b0133","P06959","P31663"
"eco:b0031","eco:b0133","P04036","P31663"
"eco:b0072","eco:b0133","P0A6A6","P31663"
"eco:b0109","eco:b0133","P30011","P31663"
"eco:b0104","eco:b0133","P60560","P31663"
"eco:b0078","eco:b0133","P00894","P31663"
"eco:b0003","eco:b0133","P00547","P31663"
"eco:b0004","eco:b0133","P00934","P31663"
"eco:b0104","eco:b0134","P60560","P31057"
"eco:b0078","eco:b0134","P00894","P31057"
"eco:b0072","eco:b0134","P0A6A6","P31057"
"eco:b0077","eco:b0134","P00893","P31057"
"eco:b0085","eco:b0134","P22188","P31057"
"eco:b0091","eco:b0134","P17952","P31057"
"eco:b0031","eco:b0134","P04036","P31057"
"eco:b0115","eco:b0134","P06959","P31057"
"eco:b0068","eco:b0134","P31550","P31057"
"eco:b0133","eco:b0134","P31663","P31057"
"eco:b0121","eco:b0134","P09158","P31057"
"eco:b0004","eco:b0134","P00934","P31057"
"eco:b0120","eco:b0134","P0A7F6","P31057"
"eco:b0131","eco:b0134","P0A790","P31057"
"eco:b0003","eco:b0134","P00547","P31057"
"eco:b0071","eco:b0134","P30126","P31057"
"eco:b0109","eco:b0134","P30011","P31057"
"eco:b0135","eco:b0136","P31058","P37016"
"eco:b0136","eco:b0137","P37016","P37017"
"eco:b0135","eco:b0137","P31058","P37017"
"eco:b0137","eco:b0138","P37017","P37018"
"eco:b0135","eco:b0138","P31058","P37018"
"eco:b0136","eco:b0138","P37016","P37018"
"eco:b0136","eco:b0139","P37016","P33129"
"eco:b0139","eco:b0140","P33129","P33128"
"eco:b0140","eco:b0141","P33128","P37050"
"eco:b0139","eco:b0141","P33129","P37050"
"eco:b0136","eco:b0141","P37016","P37050"
"eco:b0124","eco:b0146","P15877","P0A823"
