"node1","node2","Uni_N1","Uni_N2"
"eco:b1079","eco:b1080","P0A6S0","P0A6S3"
"eco:b1079","eco:b1082","P0A6S0","P33235"
"eco:b1070","eco:b1082","P43533","P33235"
"eco:b1079","eco:b1083","P0A6S0","P29744"
"eco:b1070","eco:b1083","P43533","P29744"
"eco:b1063","eco:b1084","P0AB26","P21513"
"eco:b0532","eco:b1084","P77468","P21513"
"eco:b0465","eco:b1084","P77338","P21513"
"eco:b0143","eco:b1084","P0ABF1","P21513"
"eco:b0014","eco:b1084","P0A6Y8","P21513"
"eco:b0424","eco:b1086","Q46948","P0AA39"
"eco:b0424","eco:b1089","Q46948","P0A7N4"
"eco:b0736","eco:b1090","P0A8Z3","P27247"
"eco:b0736","eco:b1094","P0A8Z3","P0A6A8"
"eco:b0098","eco:b1094","P10408","P0A6A8"
"eco:b0924","eco:b1094","P22523","P0A6A8"
"eco:b1094","eco:b1095","P0A6A8","P0AAI5"
"eco:b0184","eco:b1099","P10443","P28631"
"eco:b0470","eco:b1099","P06710","P28631"
"eco:b0640","eco:b1099","P28630","P28631"
"eco:b0149","eco:b1105","P02919","P0AB38"
"eco:b0891","eco:b1116","P61316","P0ADC3"
"eco:b1129","eco:b1130","P23837","P23836"
"eco:b1094","eco:b1131","P0A6A8","P0AB89"
"eco:b1084","eco:b1163","P21513","P75990"
"eco:b1084","eco:b1168","P21513","P75995"
"eco:b0095","eco:b1175","P0A9A6","P0AEZ3"
"eco:b1174","eco:b1175","P0A734","P0AEZ3"
"eco:b1175","eco:b1176","P0AEZ3","P18196"
"eco:b0095","eco:b1176","P0A9A6","P18196"
"eco:b1183","eco:b1184","P0AG11","P04152"
"eco:b0436","eco:b1189","P0A850","P0A6J5"
"eco:b1199","eco:b1200","P76014","P76015"
"eco:b1200","eco:b1201","P76015","P76016"
"eco:b0891","eco:b1209","P61316","P61320"
"eco:b0741","eco:b1209","P0A912","P61320"
"eco:b1221","eco:b1222","P0AF28","P0AFA2"
"eco:b0827","eco:b1224","P12281","P09152"
"eco:b0881","eco:b1224","P0A8Q6","P09152"
"eco:b1224","eco:b1225","P09152","P11349"
"eco:b1224","eco:b1226","P09152","P0AF26"
"eco:b1224","eco:b1227","P09152","P11350"
"eco:b1160","eco:b1235","P75987","P0AEV1"
"eco:b0424","eco:b1237","Q46948","P0ACF8"
"eco:b0460","eco:b1237","P0ACE3","P0ACF8"
"eco:b0436","eco:b1238","P0A850","P23331"
"eco:b0424","eco:b1241","Q46948","P0A9Q7"
"eco:b1084","eco:b1250","P21513","P31069"
"eco:b0150","eco:b1252","P06971","P02929"
"eco:b0584","eco:b1252","P05825","P02929"
"eco:b0114","eco:b1256","P0AFG8","P0A915"
"eco:b1072","eco:b1274","P75933","P06612"
"eco:b0436","eco:b1274","P0A850","P06612"
"eco:b0642","eco:b1274","P07813","P06612"
"eco:b0424","eco:b1276","Q46948","P25516"
"eco:b1201","eco:b1300","P76016","P23883"
"eco:b1304","eco:b1306","P0AFM6","P0AFN2"
"eco:b0424","eco:b1324","Q46948","P0A862"
"eco:b0881","eco:b1333","P0A8Q6","P0AAC0"
"eco:b1079","eco:b1378","P0A6S0","P52647"
"eco:b1274","eco:b1378","P06612","P52647"
"eco:b1081","eco:b1378","P75942","P52647"
"eco:b0143","eco:b1413","P0ABF1","P43329"
"eco:b0424","eco:b1415","Q46948","P25553"
"eco:b1224","eco:b1466","P09152","P19317"
"eco:b1226","eco:b1468","P0AF26","P19319"
"eco:b1466","eco:b1468","P19317","P19319"
"eco:b1225","eco:b1468","P11349","P19319"
"eco:b1474","eco:b1475","P24183","P0AAJ3"
"eco:b0881","eco:b1493","P0A8Q6","P69910"
"eco:b0436","eco:b1521","P0A850","P0A6L7"
"eco:b1081","eco:b1535","P75942","P31129"
"eco:b1176","eco:b1575","P18196","P09557"
"eco:b0894","eco:b1591","P18775","P69853"
"eco:b0997","eco:b1591","P33225","P69853"
"eco:b1588","eco:b1591","P77783","P69853"
"eco:b1587","eco:b1591","P77374","P69853"
"eco:b1101","eco:b1594","P69786","P50456"
"eco:b0694","eco:b1608","P21866","P52108"
"eco:b1608","eco:b1609","P52108","P18392"
"eco:b0098","eco:b1614","P10408","P77804"
"eco:b0436","eco:b1638","P0A850","P0AFI7"
"eco:b0881","eco:b1661","P0A8Q6","P0A9H7"
"eco:b0720","eco:b1676","P0ABH7","P0AD61"
"eco:b1269","eco:b1676","P37765","P0AD61"
"eco:b0741","eco:b1677","P0A912","P69776"
"eco:b0891","eco:b1677","P61316","P69776"
"eco:b1252","eco:b1677","P02929","P69776"
"eco:b1679","eco:b1680","P76194","P77444"
"eco:b0881","eco:b1681","P0A8Q6","P77689"
"eco:b0881","eco:b1682","P0A8Q6","P77499"
"eco:b1709","eco:b1711","P06611","P06609"
"eco:b0158","eco:b1711","P37028","P06609"
"eco:b1713","eco:b1714","P07395","P08312"
"eco:b0424","eco:b1714","Q46948","P08312"
"eco:b0424","eco:b1719","Q46948","P0A8M3"
"eco:b0009","eco:b1727","P0AF03","P77247"
"eco:b0424","eco:b1732","Q46948","P21179"
"eco:b1415","eco:b1779","P25553","P0A9B2"
"eco:b0424","eco:b1779","Q46948","P0A9B2"
"eco:b0149","eco:b1782","P02919","P0A908"
"eco:b0881","eco:b1784","P0A8Q6","P76235"
"eco:b1817","eco:b1818","P69797","P69801"
"eco:b1817","eco:b1819","P69797","P69805"
"eco:b1237","eco:b1823","P0ACF8","P0A9Y6"
"eco:b0215","eco:b1842","P03007","P0ABS8"
"eco:b0184","eco:b1842","P10443","P0ABS8"
"eco:b0237","eco:b1852","P15288","P0AC53"
"eco:b0688","eco:b1852","P36938","P0AC53"
"eco:b0014","eco:b1866","P0A6Y8","P21889"
"eco:b0881","eco:b1870","P0A8Q6","P76290"
"eco:b0603","eco:b1876","P77746","P11875"
"eco:b1378","eco:b1878","P52647","P76297"
"eco:b1078","eco:b1880","P0ABX5","P76299"
"eco:b1881","eco:b1882","P0A9H9","P0AE67"
"eco:b1076","eco:b1882","P75937","P0AE67"
"eco:b1378","eco:b1884","P52647","P07364"
"eco:b1881","eco:b1884","P0A9H9","P07364"
"eco:b1860","eco:b1884","P0A812","P07364"
"eco:b1074","eco:b1884","P0ABX2","P07364"
"eco:b1884","eco:b1886","P07364","P07017"
"eco:b1881","eco:b1886","P0A9H9","P07017"
"eco:b1081","eco:b1886","P75942","P07017"
"eco:b1883","eco:b1886","P07330","P07017"
"eco:b1882","eco:b1886","P0AE67","P07017"
"eco:b1886","eco:b1887","P07017","P0A964"
