"Uni_N1","Uni_N2"
"eco:b2416","eco:Phosphoenolpyruvate"
"eco:b1101","eco:Phosphoenolpyruvate"
"eco:b1817","eco:Phosphoenolpyruvate"
"eco:b1818","eco:Phosphoenolpyruvate"
"eco:b1819","eco:Phosphoenolpyruvate"
"eco:b2417","eco:Pyruvate"
"eco:b1621","eco:Pyruvate"
"eco:b2415","eco:Pyruvate"
"eco:b2416","eco:Pyruvate"
"eco:b1101","eco:Pyruvate"
"eco:b1817","eco:Pyruvate"
"eco:b1818","eco:Pyruvate"
"eco:b1819","eco:Pyruvate"
"eco:b2417","eco:D-Glucose 6-phosphate"
"eco:b1621","eco:D-Glucose 6-phosphate"
"eco:b2415","eco:D-Glucose 6-phosphate"
"eco:b2416","eco:D-Glucose 6-phosphate"
"eco:b1101","eco:D-Glucose 6-phosphate"
"eco:b1817","eco:D-Glucose 6-phosphate"
"eco:b1818","eco:D-Glucose 6-phosphate"
"eco:b1819","eco:D-Glucose 6-phosphate"
"eco:b2417","eco:D-Glucose"
"eco:b1621","eco:D-Glucose"
"eco:b2415","eco:D-Glucose"
"eco:b2416","eco:D-Glucose"
"eco:b1101","eco:D-Glucose"
"eco:b1817","eco:D-Glucose"
"eco:b1818","eco:D-Glucose"
"eco:b1819","eco:D-Glucose"
"eco:b2133","eco:Pyruvate"
"eco:b1380","eco:Pyruvate"
"eco:b2133","eco:Ubiquinone-8"
"eco:b1380","eco:Ubiquinone-8"
"eco:b2133","eco:D-Lactate"
"eco:b1380","eco:D-Lactate"
"eco:b2133","eco:Ubiquinol-8"
"eco:b1380","eco:Ubiquinol-8"
"eco:b2215","eco:N,N'-diacetylchitobiose"
"eco:b0929","eco:N,N'-diacetylchitobiose"
"eco:b1377","eco:N,N'-diacetylchitobiose"
"eco:b0241","eco:N,N'-diacetylchitobiose"
"eco:b2215","eco:N,N'-diacetylchitobiose"
"eco:b0929","eco:N,N'-diacetylchitobiose"
"eco:b1377","eco:N,N'-diacetylchitobiose"
"eco:b0241","eco:N,N'-diacetylchitobiose"
"eco:b2866","eco:Xanthine"
"eco:b2867","eco:Xanthine"
"eco:b2868","eco:Xanthine"
"eco:b2866","eco:H+"
"eco:b2867","eco:H+"
"eco:b2868","eco:H+"
"eco:b2866","eco:Nicotinamide adenine dinucleotide"
"eco:b2867","eco:Nicotinamide adenine dinucleotide"
"eco:b2868","eco:Nicotinamide adenine dinucleotide"
"eco:b2866","eco:Urate"
"eco:b2867","eco:Urate"
"eco:b2868","eco:Urate"
"eco:b2866","eco:Nicotinamide adenine dinucleotide - reduced"
"eco:b2867","eco:Nicotinamide adenine dinucleotide - reduced"
"eco:b2868","eco:Nicotinamide adenine dinucleotide - reduced"
"eco:b2866","eco:H2O"
"eco:b2867","eco:H2O"
"eco:b2868","eco:H2O"
"eco:Phosphate exchange","eco:Phosphate"
"eco:b0954","eco:trans-Oct-2-enoyl-[acyl-carrier protein]"
"eco:b0180","eco:trans-Oct-2-enoyl-[acyl-carrier protein]"
"eco:b0954","eco:H2O"
"eco:b0180","eco:H2O"
"eco:b0954","eco:(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]"
"eco:b0180","eco:(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]"
"eco:b3821","eco:H+"
"eco:b3821","eco:H2O"
"eco:b3821","eco:1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)"
"eco:b3821","eco:Dodecanoate (n-C12:0)"
"eco:b3821","eco:Phosphatidylglycerol (didodecanoyl, n-C12:0)"
"eco:b0175","eco:Diphosphate"
"eco:b0175","eco:CDP-1,2-ditetradec-7-enoylglycerol"
"eco:b0175","eco:CTP"
"eco:b0175","eco:1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate"
"eco:b0175","eco:H+"
"eco:dAMP exchange","eco:dAMP"
"eco:b3476","eco:nickel"
"eco:b3477","eco:nickel"
"eco:b3478","eco:nickel"
"eco:b3479","eco:nickel"
"eco:b3480","eco:nickel"
"eco:b4242","eco:nickel"
"eco:b3476","eco:H+"
"eco:b3477","eco:H+"
"eco:b3478","eco:H+"
"eco:b3479","eco:H+"
"eco:b3480","eco:H+"
"eco:b4242","eco:H+"
"eco:b3476","eco:ADP"
"eco:b3477","eco:ADP"
"eco:b3478","eco:ADP"
"eco:b3479","eco:ADP"
"eco:b3480","eco:ADP"
"eco:b4242","eco:ADP"
"eco:b3476","eco:Phosphate"
"eco:b3477","eco:Phosphate"
"eco:b3478","eco:Phosphate"
"eco:b3479","eco:Phosphate"
"eco:b3480","eco:Phosphate"
"eco:b4242","eco:Phosphate"
"eco:b3476","eco:nickel"
"eco:b3477","eco:nickel"
"eco:b3478","eco:nickel"
"eco:b3479","eco:nickel"
"eco:b3480","eco:nickel"
"eco:b4242","eco:nickel"
"eco:b3476","eco:H2O"
"eco:b3477","eco:H2O"
"eco:b3478","eco:H2O"
"eco:b3479","eco:H2O"
"eco:b3480","eco:H2O"
"eco:b4242","eco:H2O"
"eco:b3476","eco:ATP"
"eco:b3477","eco:ATP"
"eco:b3478","eco:ATP"
"eco:b3479","eco:ATP"
"eco:b3480","eco:ATP"
"eco:b4242","eco:ATP"
"eco:b1388","eco:Nicotinamide adenine dinucleotide phosphate"
"eco:b1389","eco:Nicotinamide adenine dinucleotide phosphate"
"eco:b1390","eco:Nicotinamide adenine dinucleotide phosphate"
"eco:b1391","eco:Nicotinamide adenine dinucleotide phosphate"
"eco:b1392","eco:Nicotinamide adenine dinucleotide phosphate"
"eco:b1388","eco:H2O"
"eco:b1389","eco:H2O"
"eco:b1390","eco:H2O"
"eco:b1391","eco:H2O"
"eco:b1392","eco:H2O"
"eco:b1388","eco:Ring 1,2-epoxyphenylacetyl-CoA"
"eco:b1389","eco:Ring 1,2-epoxyphenylacetyl-CoA"
"eco:b1390","eco:Ring 1,2-epoxyphenylacetyl-CoA"
"eco:b1391","eco:Ring 1,2-epoxyphenylacetyl-CoA"
"eco:b1392","eco:Ring 1,2-epoxyphenylacetyl-CoA"
"eco:b1388","eco:H+"
"eco:b1389","eco:H+"
"eco:b1390","eco:H+"
"eco:b1391","eco:H+"
"eco:b1392","eco:H+"
"eco:b1388","eco:O2"
"eco:b1389","eco:O2"
"eco:b1390","eco:O2"
"eco:b1391","eco:O2"
"eco:b1392","eco:O2"
"eco:b1388","eco:Phenylacetyl-CoA"
"eco:b1389","eco:Phenylacetyl-CoA"
"eco:b1390","eco:Phenylacetyl-CoA"
"eco:b1391","eco:Phenylacetyl-CoA"
"eco:b1392","eco:Phenylacetyl-CoA"
"eco:b1388","eco:Nicotinamide adenine dinucleotide phosphate - reduced"
"eco:b1389","eco:Nicotinamide adenine dinucleotide phosphate - reduced"
"eco:b1390","eco:Nicotinamide adenine dinucleotide phosphate - reduced"
"eco:b1391","eco:Nicotinamide adenine dinucleotide phosphate - reduced"
"eco:b1392","eco:Nicotinamide adenine dinucleotide phosphate - reduced"
"eco:b4069","eco:Acetyl-CoA"
"eco:b4069","eco:Coenzyme A"
"eco:b4069","eco:ATP"
"eco:b4069","eco:Diphosphate"
"eco:b4069","eco:AMP"
"eco:b4069","eco:Acetate"
"eco:b4197","eco:L-Xylulose 5-phosphate"
"eco:b4197","eco:L-Ribulose 5-phosphate"
"eco:b0068","eco:Phosphate"
"eco:b0067","eco:Phosphate"
"eco:b0066","eco:Phosphate"
"eco:b0068","eco:ADP"
"eco:b0067","eco:ADP"
"eco:b0066","eco:ADP"
"eco:b0068","eco:H+"
"eco:b0067","eco:H+"
"eco:b0066","eco:H+"
"eco:b0068","eco:Thiamin"
"eco:b0067","eco:Thiamin"
"eco:b0066","eco:Thiamin"
"eco:b0068","eco:ATP"
"eco:b0067","eco:ATP"
"eco:b0066","eco:ATP"
"eco:b0068","eco:Thiamin"
"eco:b0067","eco:Thiamin"
"eco:b0066","eco:Thiamin"
"eco:b0068","eco:H2O"
"eco:b0067","eco:H2O"
"eco:b0066","eco:H2O"
"eco:b3629","eco:inner core oligosaccharide lipid A (E coli)"
"eco:b3629","eco:dTDP-L-rhamnose"
"eco:b3629","eco:dTDP"
"eco:b3629","eco:H+"
"eco:b3629","eco:kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA"
"eco:b0968","eco:Tetradecanoyl-phosphate (n-C14:1)"
"eco:b0968","eco:H2O"
"eco:b0968","eco:tetradecenoate (n-C14:1)"
"eco:b0968","eco:Phosphate"
"eco:b0968","eco:H+"
"eco:b3182","eco:two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain)"
"eco:b2328","eco:two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain)"
"eco:b2134","eco:two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain)"
"eco:b3182","eco:two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"eco:b2328","eco:two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"eco:b2134","eco:two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"eco:b3182","eco:H2O"
"eco:b2328","eco:H2O"
"eco:b2134","eco:H2O"
"eco:b3793","eco:(enterobacterial common antigen)x4 undecaprenyl-diphosphate"
"eco:b3785","eco:(enterobacterial common antigen)x4 undecaprenyl-diphosphate"
"eco:b3793","eco:Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
"eco:b3785","eco:Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
"eco:b3793","eco:Undecaprenyl diphosphate"
"eco:b3785","eco:Undecaprenyl diphosphate"
"eco:b3793","eco:H+"
"eco:b3785","eco:H+"
"eco:b3793","eco:(enterobacterial common antigen)x3 undecaprenyl-diphosphate"
"eco:b3785","eco:(enterobacterial common antigen)x3 undecaprenyl-diphosphate"
"eco:Protoheme exchange","eco:Protoheme"
"eco:b2133","eco:H+"
"eco:b1380","eco:H+"
"eco:b2133","eco:Nicotinamide adenine dinucleotide"
"eco:b1380","eco:Nicotinamide adenine dinucleotide"
"eco:b2133","eco:D-Lactate"
"eco:b1380","eco:D-Lactate"
"eco:b2133","eco:Pyruvate"
"eco:b1380","eco:Pyruvate"
"eco:b2133","eco:Nicotinamide adenine dinucleotide - reduced"
"eco:b1380","eco:Nicotinamide adenine dinucleotide - reduced"
"eco:b2416","eco:diacetylchitobiose-6-phosphate"
"eco:b2416","eco:N,N'-diacetylchitobiose"
"eco:b2416","eco:Phosphoenolpyruvate"
"eco:b2416","eco:Pyruvate"
"eco:b0126","eco:Bicarbonate"
"eco:b0339","eco:Bicarbonate"
"eco:b0126","eco:H+"
"eco:b0339","eco:H+"
"eco:b0126","eco:H2O"
"eco:b0339","eco:H2O"
"eco:b0126","eco:CO2"
"eco:b0339","eco:CO2"
"eco:b4079","eco:H2"
"eco:b2481","eco:H2"
"eco:b2482","eco:H2"
"eco:b2483","eco:H2"
"eco:b2484","eco:H2"
"eco:b2485","eco:H2"
"eco:b2486","eco:H2"
"eco:b2487","eco:H2"
"eco:b2488","eco:H2"
"eco:b2489","eco:H2"
"eco:b2490","eco:H2"
"eco:b2719","eco:H2"
"eco:b2720","eco:H2"
"eco:b2721","eco:H2"
"eco:b2722","eco:H2"
"eco:b2723","eco:H2"
"eco:b2724","eco:H2"
"eco:b4079","eco:CO2"
"eco:b2481","eco:CO2"
"eco:b2482","eco:CO2"
"eco:b2483","eco:CO2"
"eco:b2484","eco:CO2"
"eco:b2485","eco:CO2"
"eco:b2486","eco:CO2"
"eco:b2487","eco:CO2"
"eco:b2488","eco:CO2"
"eco:b2489","eco:CO2"
"eco:b2490","eco:CO2"
"eco:b2719","eco:CO2"
"eco:b2720","eco:CO2"
"eco:b2721","eco:CO2"
"eco:b2722","eco:CO2"
"eco:b2723","eco:CO2"
"eco:b2724","eco:CO2"
"eco:b4079","eco:H+"
"eco:b2481","eco:H+"
"eco:b2482","eco:H+"
"eco:b2483","eco:H+"
"eco:b2484","eco:H+"
"eco:b2485","eco:H+"
"eco:b2486","eco:H+"
"eco:b2487","eco:H+"
"eco:b2488","eco:H+"
"eco:b2489","eco:H+"
"eco:b2490","eco:H+"
"eco:b2719","eco:H+"
"eco:b2720","eco:H+"
"eco:b2721","eco:H+"
"eco:b2722","eco:H+"
"eco:b2723","eco:H+"
"eco:b2724","eco:H+"
"eco:b4079","eco:Formate"
"eco:b2481","eco:Formate"
"eco:b2482","eco:Formate"
"eco:b2483","eco:Formate"
"eco:b2484","eco:Formate"
"eco:b2485","eco:Formate"
"eco:b2486","eco:Formate"
"eco:b2487","eco:Formate"
"eco:b2488","eco:Formate"
"eco:b2489","eco:Formate"
"eco:b2490","eco:Formate"
"eco:b2719","eco:Formate"
"eco:b2720","eco:Formate"
"eco:b2721","eco:Formate"
"eco:b2722","eco:Formate"
"eco:b2723","eco:Formate"
"eco:b2724","eco:Formate"
"eco:b3821","eco:H+"
"eco:b3821","eco:octadecenoate (n-C18:1)"
"eco:b3821","eco:H2O"
"eco:b3821","eco:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)"
"eco:b3821","eco:phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)"
"eco:Deoxyadenosine exchange","eco:Deoxyadenosine"
"eco:b0954","eco:trans-Hex-2-enoyl-[acyl-carrier protein]"
"eco:b0180","eco:trans-Hex-2-enoyl-[acyl-carrier protein]"
"eco:b0954","eco:H2O"
"eco:b0180","eco:H2O"
"eco:b0954","eco:(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]"
"eco:b0180","eco:(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]"
"eco:b2149","eco:Phosphate"
"eco:b2150","eco:Phosphate"
"eco:b2148","eco:Phosphate"
"eco:b2149","eco:D-Glucose"
"eco:b2150","eco:D-Glucose"
"eco:b2148","eco:D-Glucose"
"eco:b2149","eco:H2O"
"eco:b2150","eco:H2O"
"eco:b2148","eco:H2O"
"eco:b2149","eco:ATP"
"eco:b2150","eco:ATP"
"eco:b2148","eco:ATP"
"eco:b2149","eco:H+"
"eco:b2150","eco:H+"
"eco:b2148","eco:H+"
"eco:b2149","eco:D-Glucose"
"eco:b2150","eco:D-Glucose"
"eco:b2148","eco:D-Glucose"
"eco:b2149","eco:ADP"
"eco:b2150","eco:ADP"
"eco:b2148","eco:ADP"
"eco:b0175","eco:Diphosphate"
"eco:b0175","eco:CDP-1,2-ditetradecanoylglycerol"
"eco:b0175","eco:1,2-ditetradecanoyl-sn-glycerol 3-phosphate"
"eco:b0175","eco:H+"
"eco:b0175","eco:CTP"
"eco:b3182","eco:two linked disacharide tetrapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b2328","eco:two linked disacharide tetrapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b2134","eco:two linked disacharide tetrapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b3182","eco:two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"eco:b2328","eco:two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"eco:b2134","eco:two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"eco:b3182","eco:H2O"
"eco:b2328","eco:H2O"
"eco:b2134","eco:H2O"
"eco:b0968","eco:Tetradecanoyl-phosphate (n-C14:0)"
"eco:b0968","eco:H2O"
"eco:b0968","eco:tetradecanoate (n-C14:0)"
"eco:b0968","eco:Phosphate"
"eco:b0968","eco:H+"
"eco:b0241","eco:Phenylacetaldehyde"
"eco:b0929","eco:Phenylacetaldehyde"
"eco:b1377","eco:Phenylacetaldehyde"
"eco:b2215","eco:Phenylacetaldehyde"
"eco:b0241","eco:Phenylacetaldehyde"
"eco:b0929","eco:Phenylacetaldehyde"
"eco:b1377","eco:Phenylacetaldehyde"
"eco:b2215","eco:Phenylacetaldehyde"
"eco:b3816","eco:nickel"
"eco:b3816","eco:nickel"
"eco:b3475","eco:H+"
"eco:b2563","eco:H+"
"eco:b3475","eco:acyl carrier protein"
"eco:b2563","eco:acyl carrier protein"
"eco:b3475","eco:Coenzyme A"
"eco:b2563","eco:Coenzyme A"
"eco:b3475","eco:Adenosine 3',5'-bisphosphate"
"eco:b2563","eco:Adenosine 3',5'-bisphosphate"
"eco:b3475","eco:apoprotein [acyl carrier protein]"
"eco:b2563","eco:apoprotein [acyl carrier protein]"
"eco:b4039","eco:Pyruvate"
"eco:b4039","eco:4-Hydroxybenzoate"
"eco:b4039","eco:chorismate"
"eco:b0241","eco:3-hydroxycinnamic acid"
"eco:b0929","eco:3-hydroxycinnamic acid"
"eco:b1377","eco:3-hydroxycinnamic acid"
"eco:b2215","eco:3-hydroxycinnamic acid"
"eco:b0241","eco:3-hydroxycinnamic acid"
"eco:b0929","eco:3-hydroxycinnamic acid"
"eco:b1377","eco:3-hydroxycinnamic acid"
"eco:b2215","eco:3-hydroxycinnamic acid"
"eco:b0463","eco:H+"
"eco:b0462","eco:H+"
"eco:b3035","eco:H+"
"eco:b2470","eco:H+"
"eco:b0463","eco:rifampin"
"eco:b0462","eco:rifampin"
"eco:b3035","eco:rifampin"
"eco:b2470","eco:rifampin"
"eco:b0463","eco:rifampin"
"eco:b0462","eco:rifampin"
"eco:b3035","eco:rifampin"
"eco:b2470","eco:rifampin"
"eco:b0463","eco:H+"
"eco:b0462","eco:H+"
"eco:b3035","eco:H+"
"eco:b2470","eco:H+"
"eco:b0343","eco:H+"
"eco:b0343","eco:Lactose"
"eco:b0343","eco:H+"
"eco:b0343","eco:Lactose"
"eco:b0827","eco:tungsten binding cofactor"
"eco:b0827","eco:H2O"
"eco:b0827","eco:adenylated molybdopterin"
"eco:b0827","eco:H+"
"eco:b0827","eco:AMP"
"eco:b0827","eco:Cu2+"
"eco:b0827","eco:tungstate"
"eco:L-Phenylalanine exchange","eco:L-Phenylalanine"
"eco:b3793","eco:(enterobacterial common antigen)x3 undecaprenyl-diphosphate"
"eco:b3785","eco:(enterobacterial common antigen)x3 undecaprenyl-diphosphate"
"eco:b3793","eco:Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
"eco:b3785","eco:Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
"eco:b3793","eco:(enterobacterial common antigen)x2 undecaprenyl-diphosphate"
"eco:b3785","eco:(enterobacterial common antigen)x2 undecaprenyl-diphosphate"
"eco:b3793","eco:Undecaprenyl diphosphate"
"eco:b3785","eco:Undecaprenyl diphosphate"
"eco:b3793","eco:H+"
"eco:b3785","eco:H+"
"eco:b0241","eco:Thymidine"
"eco:b0929","eco:Thymidine"
"eco:b1377","eco:Thymidine"
"eco:b2215","eco:Thymidine"
"eco:b0241","eco:Thymidine"
"eco:b0929","eco:Thymidine"
"eco:b1377","eco:Thymidine"
"eco:b2215","eco:Thymidine"
"eco:b0241","eco:D-Glucuronate"
"eco:b0929","eco:D-Glucuronate"
"eco:b1377","eco:D-Glucuronate"
"eco:b2215","eco:D-Glucuronate"
"eco:b0241","eco:D-Glucuronate"
"eco:b0929","eco:D-Glucuronate"
"eco:b1377","eco:D-Glucuronate"
"eco:b2215","eco:D-Glucuronate"
"eco:b0954","eco:(3R)-3-Hydroxyacyl-[acyl-carrier protein]"
"eco:b0180","eco:(3R)-3-Hydroxyacyl-[acyl-carrier protein]"
"eco:b0954","eco:H2O"
"eco:b0180","eco:H2O"
"eco:b0954","eco:But-2-enoyl-[acyl-carrier protein]"
"eco:b0180","eco:But-2-enoyl-[acyl-carrier protein]"
"eco:beta-fructofuranosidase","eco:Sucrose 6-phosphate"
"eco:beta-fructofuranosidase","eco:H2O"
"eco:beta-fructofuranosidase","eco:D-Glucose 6-phosphate"
"eco:beta-fructofuranosidase","eco:D-Fructose"
"eco:b3821","eco:octadecanoate (n-C18:0)"
"eco:b3821","eco:H+"
"eco:b3821","eco:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)"
"eco:b3821","eco:H2O"
"eco:b3821","eco:phosphatidylethanolamine (dioctadecanoyl, n-C18:0)"
"eco:phenylacetaldehyde reversible transport via proton symport (periplasm)","eco:H+"
"eco:phenylacetaldehyde reversible transport via proton symport (periplasm)","eco:Phenylacetaldehyde"
"eco:phenylacetaldehyde reversible transport via proton symport (periplasm)","eco:Phenylacetaldehyde"
"eco:phenylacetaldehyde reversible transport via proton symport (periplasm)","eco:H+"
"eco:Cytidine exchange","eco:Cytidine"
"eco:b0241","eco:nickel"
"eco:b0929","eco:nickel"
"eco:b1377","eco:nickel"
"eco:b2215","eco:nickel"
"eco:b0241","eco:nickel"
"eco:b0929","eco:nickel"
"eco:b1377","eco:nickel"
"eco:b2215","eco:nickel"
"eco:b0175","eco:Diphosphate"
"eco:b0175","eco:CDP-1,2-didodecanoylglycerol"
"eco:b0175","eco:1,2-didodecanoyl-sn-glycerol 3-phosphate"
"eco:b0175","eco:H+"
"eco:b0175","eco:CTP"
"eco:s0001","eco:rifampin"
"eco:s0001","eco:rifampin"
"eco:b0968","eco:Phosphate"
"eco:b0968","eco:H2O"
"eco:b0968","eco:Dodecanoly-phosphate (n-C12:0)"
"eco:b0968","eco:H+"
"eco:b0968","eco:Dodecanoate (n-C12:0)"
"eco:b3793","eco:(enterobacterial common antigen)x2 undecaprenyl-diphosphate"
"eco:b3785","eco:(enterobacterial common antigen)x2 undecaprenyl-diphosphate"
"eco:b3793","eco:Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
"eco:b3785","eco:Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
"eco:b3793","eco:Undecaprenyl diphosphate"
"eco:b3785","eco:Undecaprenyl diphosphate"
"eco:b3793","eco:H+"
"eco:b3785","eco:H+"
"eco:b2406","eco:H+"
"eco:b2406","eco:Thymidine"
"eco:b2406","eco:Thymidine"
"eco:b2406","eco:H+"
"eco:b3182","eco:two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)"
"eco:b2328","eco:two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)"
"eco:b2134","eco:two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)"
"eco:b3182","eco:two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"eco:b2328","eco:two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"eco:b2134","eco:two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"eco:b3182","eco:H2O"
"eco:b2328","eco:H2O"
"eco:b2134","eco:H2O"
"eco:b1094","eco:Phosphate"
"eco:b1090","eco:Phosphate"
"eco:b1094","eco:cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)"
"eco:b1090","eco:cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)"
"eco:b1094","eco:Octadecanoyl-phosphate (n-C18:1)"
"eco:b1090","eco:Octadecanoyl-phosphate (n-C18:1)"
"eco:b1094","eco:acyl carrier protein"
"eco:b1090","eco:acyl carrier protein"
"eco:b1094","eco:H+"
"eco:b1090","eco:H+"
"eco:b4209","eco:[4Fe-4S] iron-sulfur cluster"
"eco:b4209","eco:Fe2+"
"eco:b4209","eco:[3Fe-4S] damaged iron-sulfur cluster"
"eco:b3572","eco:L-Valine"
"eco:b3572","eco:3-Methyl-2-oxobutanoate"
"eco:b3572","eco:Pyruvate"
"eco:b3572","eco:L-Alanine"
"eco:Phenethylamine exchange","eco:Phenethylamine"
"eco:b0241","eco:Lactose"
"eco:b0929","eco:Lactose"
"eco:b1377","eco:Lactose"
"eco:b2215","eco:Lactose"
"eco:b0241","eco:Lactose"
"eco:b0929","eco:Lactose"
"eco:b1377","eco:Lactose"
"eco:b2215","eco:Lactose"
"eco:b2329","eco:Phosphate"
"eco:b2329","eco:chorismate"
"eco:b2329","eco:5-O-(1-Carboxyvinyl)-3-phosphoshikimate"
"eco:b0353","eco:H+"
"eco:b0353","eco:3-hydroxycinnamic acid"
"eco:b0353","eco:H+"
"eco:b0353","eco:3-hydroxycinnamic acid"
"eco:L-Cysteine exchange","eco:L-Cysteine"
"eco:b0954","eco:trans-3-cis-11-vacceoyl-[acyl-carrier protein]"
"eco:b0180","eco:trans-3-cis-11-vacceoyl-[acyl-carrier protein]"
"eco:b0954","eco:H2O"
"eco:b0180","eco:H2O"
"eco:b0954","eco:(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]"
"eco:b0180","eco:(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]"
"eco:b3909","eco:H+"
"eco:b3093","eco:H+"
"eco:b3909","eco:D-Glucuronate"
"eco:b3093","eco:D-Glucuronate"
"eco:b3909","eco:H+"
"eco:b3093","eco:H+"
"eco:b3909","eco:D-Glucuronate"
"eco:b3093","eco:D-Glucuronate"
"eco:b3821","eco:Hexadecenoate (n-C16:1)"
"eco:b3821","eco:H+"
"eco:b3821","eco:phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)"
"eco:b3821","eco:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)"
"eco:b3821","eco:H2O"
"eco:b0241","eco:1,5-Diaminopentane"
"eco:b0929","eco:1,5-Diaminopentane"
"eco:b1377","eco:1,5-Diaminopentane"
"eco:b2215","eco:1,5-Diaminopentane"
"eco:b0241","eco:1,5-Diaminopentane"
"eco:b0929","eco:1,5-Diaminopentane"
"eco:b1377","eco:1,5-Diaminopentane"
"eco:b2215","eco:1,5-Diaminopentane"
"eco:b0632","eco:two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b3182","eco:two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b0839","eco:two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b2010","eco:two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b0632","eco:H2O"
"eco:b3182","eco:H2O"
"eco:b0839","eco:H2O"
"eco:b2010","eco:H2O"
"eco:b0632","eco:two linked disacharide tetrapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b3182","eco:two linked disacharide tetrapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b0839","eco:two linked disacharide tetrapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b2010","eco:two linked disacharide tetrapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
"eco:b0632","eco:D-Alanine"
"eco:b3182","eco:D-Alanine"
"eco:b0839","eco:D-Alanine"
"eco:b2010","eco:D-Alanine"
"eco:b3915","eco:H+"
"eco:b0752","eco:H+"
"eco:b3915","eco:H+"
"eco:b0752","eco:H+"
"eco:b3915","eco:nickel"
"eco:b0752","eco:nickel"
"eco:b3915","eco:nickel"
"eco:b0752","eco:nickel"
"eco:b2599","eco:Prephenate"
"eco:b2600","eco:Prephenate"
"eco:b2599","eco:chorismate"
"eco:b2600","eco:chorismate"
"eco:b2393","eco:Thymidine"
"eco:b2964","eco:Thymidine"
"eco:b2393","eco:Thymidine"
"eco:b2964","eco:Thymidine"
"eco:b2393","eco:H+"
"eco:b2964","eco:H+"
"eco:b2393","eco:H+"
"eco:b2964","eco:H+"
"eco:b3622","eco:Undecaprenyl diphosphate"
