"Uni_N1","Uni_N2"
"eco:b0929","eco:D-Fructose 6-phosphate"
"eco:b1377","eco:D-Fructose 6-phosphate"
"eco:b2215","eco:D-Fructose 6-phosphate"
"eco:b1745","eco:Ammonium"
"eco:b1745","eco:N2-Succinyl-L-ornithine"
"eco:b1745","eco:H+"
"eco:b1745","eco:H2O"
"eco:b1745","eco:CO2"
"eco:b1745","eco:N2-Succinyl-L-arginine"
"eco:b3816","eco:magnesium"
"eco:b3816","eco:magnesium"
"eco:b0241","eco:Fumarate"
"eco:b0929","eco:Fumarate"
"eco:b1377","eco:Fumarate"
"eco:b2215","eco:Fumarate"
"eco:b0241","eco:Fumarate"
"eco:b0929","eco:Fumarate"
"eco:b1377","eco:Fumarate"
"eco:b2215","eco:Fumarate"
"eco:b2291","eco:Deoxyuridine"
"eco:b2744","eco:Deoxyuridine"
"eco:b4374","eco:Deoxyuridine"
"eco:b0480","eco:Deoxyuridine"
"eco:b4055","eco:Deoxyuridine"
"eco:b2291","eco:H2O"
"eco:b2744","eco:H2O"
"eco:b4374","eco:H2O"
"eco:b0480","eco:H2O"
"eco:b4055","eco:H2O"
"eco:b2291","eco:dUMP"
"eco:b2744","eco:dUMP"
"eco:b4374","eco:dUMP"
"eco:b0480","eco:dUMP"
"eco:b4055","eco:dUMP"
"eco:b2291","eco:Phosphate"
"eco:b2744","eco:Phosphate"
"eco:b4374","eco:Phosphate"
"eco:b0480","eco:Phosphate"
"eco:b4055","eco:Phosphate"
"eco:b0613","eco:Adenine"
"eco:b0613","eco:2'-(5''-triphosphoribosyl)-3'-dephospho-CoA"
"eco:b0613","eco:Dephospho-CoA"
"eco:b0613","eco:ATP"
"eco:b2128","eco:Glycine betaine"
"eco:b2129","eco:Glycine betaine"
"eco:b2130","eco:Glycine betaine"
"eco:b2131","eco:Glycine betaine"
"eco:b2128","eco:ADP"
"eco:b2129","eco:ADP"
"eco:b2130","eco:ADP"
"eco:b2131","eco:ADP"
"eco:b2128","eco:Glycine betaine"
"eco:b2129","eco:Glycine betaine"
"eco:b2130","eco:Glycine betaine"
"eco:b2131","eco:Glycine betaine"
"eco:b2128","eco:Phosphate"
"eco:b2129","eco:Phosphate"
"eco:b2130","eco:Phosphate"
"eco:b2131","eco:Phosphate"
"eco:b2128","eco:H+"
"eco:b2129","eco:H+"
"eco:b2130","eco:H+"
"eco:b2131","eco:H+"
"eco:b2128","eco:H2O"
"eco:b2129","eco:H2O"
"eco:b2130","eco:H2O"
"eco:b2131","eco:H2O"
"eco:b2128","eco:ATP"
"eco:b2129","eco:ATP"
"eco:b2130","eco:ATP"
"eco:b2131","eco:ATP"
"eco:b3040","eco:Co2+"
"eco:b3816","eco:Co2+"
"eco:b3040","eco:Co2+"
"eco:b3816","eco:Co2+"
"eco:b0677","eco:Acetate"
"eco:b0677","eco:H2O"
"eco:b0677","eco:N-Acetyl-D-glucosamine 6-phosphate"
"eco:b0677","eco:D-Glucosamine 6-phosphate"
"eco:b0494","eco:sn-Glycero-3-phosphoethanolamine"
"eco:b0494","eco:H2O"
"eco:b0494","eco:Hexadecenoate (n-C16:1)"
"eco:b0494","eco:H+"
"eco:b0494","eco:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)"
"eco:Thiamin exchange","eco:Thiamin"
"eco:b1095","eco:Malonyl-[acyl-carrier protein]"
"eco:b1095","eco:cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)"
"eco:b1095","eco:H+"
"eco:b1095","eco:CO2"
"eco:b1095","eco:acyl carrier protein"
"eco:b1095","eco:3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]"
"eco:b0241","eco:L-Arginine"
"eco:b0929","eco:L-Arginine"
"eco:b1377","eco:L-Arginine"
"eco:b2215","eco:L-Arginine"
"eco:b0241","eco:L-Arginine"
"eco:b0929","eco:L-Arginine"
"eco:b1377","eco:L-Arginine"
"eco:b2215","eco:L-Arginine"
"eco:D-Fructose exchange","eco:D-Fructose"
"eco:b4138","eco:Fumarate"
"eco:b4123","eco:Fumarate"
"eco:b0621","eco:Fumarate"
"eco:b4138","eco:H+"
"eco:b4123","eco:H+"
"eco:b0621","eco:H+"
"eco:b4138","eco:Fumarate"
"eco:b4123","eco:Fumarate"
"eco:b0621","eco:Fumarate"
"eco:b4138","eco:H+"
"eco:b4123","eco:H+"
"eco:b0621","eco:H+"
"eco:b0241","eco:L-Homoserine"
"eco:b0929","eco:L-Homoserine"
"eco:b1377","eco:L-Homoserine"
"eco:b2215","eco:L-Homoserine"
"eco:b0241","eco:L-Homoserine"
"eco:b0929","eco:L-Homoserine"
"eco:b1377","eco:L-Homoserine"
"eco:b2215","eco:L-Homoserine"
"eco:b0480","eco:H2O"
"eco:b4055","eco:H2O"
"eco:b0480","eco:dIMP"
"eco:b4055","eco:dIMP"
"eco:b0480","eco:Phosphate"
"eco:b4055","eco:Phosphate"
"eco:b0480","eco:Deoxyinosine"
"eco:b4055","eco:Deoxyinosine"
"eco:b0914","eco:Phosphate"
"eco:b0914","eco:phosphatidylethanolamine (dihexadecanoyl, n-C16:0)"
"eco:b0914","eco:H+"
"eco:b0914","eco:ATP"
"eco:b0914","eco:ADP"
"eco:b0914","eco:H2O"
"eco:b0914","eco:phosphatidylethanolamine (dihexadecanoyl, n-C16:0)"
"eco:b3919","eco:Dihydroxyacetone phosphate"
"eco:b3919","eco:Glyceraldehyde 3-phosphate"
"eco:b0596","eco:2,3-Dihydroxybenzoate"
"eco:b0596","eco:Nicotinamide adenine dinucleotide"
"eco:b0596","eco:Nicotinamide adenine dinucleotide - reduced"
"eco:b0596","eco:H+"
"eco:b0596","eco:2,3-Dihydro-2,3-dihydroxybenzoate"
"eco:b2501","eco:Phosphate"
"eco:b2501","eco:ATP"
"eco:b2501","eco:ADP"
"eco:b2501","eco:Diphosphate"
"eco:b0241","eco:magnesium"
"eco:b0929","eco:magnesium"
"eco:b1377","eco:magnesium"
"eco:b2215","eco:magnesium"
"eco:b0241","eco:magnesium"
"eco:b0929","eco:magnesium"
"eco:b1377","eco:magnesium"
"eco:b2215","eco:magnesium"
"eco:b0241","eco:Co2+"
"eco:b0929","eco:Co2+"
"eco:b1377","eco:Co2+"
"eco:b2215","eco:Co2+"
"eco:b0241","eco:Co2+"
"eco:b0929","eco:Co2+"
"eco:b1377","eco:Co2+"
"eco:b2215","eco:Co2+"
"eco:b3666","eco:Phosphate"
"eco:b3666","eco:D-Fructose 6-phosphate"
"eco:b3666","eco:D-Fructose 6-phosphate"
"eco:b3666","eco:Phosphate"
"eco:b0222","eco:D-Glycero-D-manno-heptose 7-phosphate"
"eco:b0222","eco:Sedoheptulose 7-phosphate"
"eco:Thiocyanate exchange","eco:Thiocyanate"
"eco:b2923","eco:H+"
"eco:b2923","eco:L-Arginine"
"eco:b2923","eco:L-Arginine"
"eco:b2923","eco:H+"
"eco:b0494","eco:sn-Glycero-3-phosphoethanolamine"
"eco:b0494","eco:H2O"
"eco:b0494","eco:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)"
"eco:b0494","eco:Hexadecanoate (n-C16:0)"
"eco:b0494","eco:H+"
"eco:b3617","eco:Coenzyme A"
"eco:b3617","eco:L-2-Amino-3-oxobutanoate"
"eco:b3617","eco:Glycine"
"eco:b3617","eco:Acetyl-CoA"
"eco:b4177","eco:GDP"
"eco:b4177","eco:N6-(1,2-Dicarboxyethyl)-AMP"
"eco:b4177","eco:IMP"
"eco:b4177","eco:Phosphate"
"eco:b4177","eco:H+"
"eco:b4177","eco:GTP"
"eco:b4177","eco:L-Aspartate"
"eco:Dihydroxyacetone transport via facilitated diffusion (periplasm)","eco:Dihydroxyacetone"
"eco:Dihydroxyacetone transport via facilitated diffusion (periplasm)","eco:Dihydroxyacetone"
"eco:b2501","eco:ATP"
"eco:b2501","eco:ADP"
"eco:b2501","eco:Inorganic triphosphate"
"eco:b2501","eco:Diphosphate"
"eco:Formate exchange","eco:Formate"
"eco:b1095","eco:3-Oxooctadecanoyl-[acyl-carrier protein]"
"eco:b2323","eco:3-Oxooctadecanoyl-[acyl-carrier protein]"
"eco:b1095","eco:Palmitoyl-ACP (n-C16:0ACP)"
"eco:b2323","eco:Palmitoyl-ACP (n-C16:0ACP)"
"eco:b1095","eco:Malonyl-[acyl-carrier protein]"
"eco:b2323","eco:Malonyl-[acyl-carrier protein]"
"eco:b1095","eco:CO2"
"eco:b2323","eco:CO2"
"eco:b1095","eco:acyl carrier protein"
"eco:b2323","eco:acyl carrier protein"
"eco:b1095","eco:H+"
"eco:b2323","eco:H+"
"eco:b3528","eco:H+"
"eco:b3528","eco:Fumarate"
"eco:b3528","eco:H+"
"eco:b3528","eco:Fumarate"
"eco:b0813","eco:L-Homoserine"
"eco:b3824","eco:L-Homoserine"
"eco:b0813","eco:H+"
"eco:b3824","eco:H+"
"eco:b0813","eco:H+"
"eco:b3824","eco:H+"
"eco:b0813","eco:L-Homoserine"
"eco:b3824","eco:L-Homoserine"
"eco:b2291","eco:Phosphate"
"eco:b2744","eco:Phosphate"
"eco:b2291","eco:Deoxyinosine"
"eco:b2744","eco:Deoxyinosine"
"eco:b2291","eco:H2O"
"eco:b2744","eco:H2O"
"eco:b2291","eco:dIMP"
"eco:b2744","eco:dIMP"
"eco:b3993","eco:Thiamin monophosphate"
"eco:b3993","eco:2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate"
"eco:b3993","eco:H+"
"eco:b3993","eco:Diphosphate"
"eco:b3993","eco:4-Methyl-5-(2-phosphoethyl)-thiazole"
"eco:b3927","eco:D-Glyceraldehyde"
"eco:b3927","eco:D-Glyceraldehyde"
"eco:Taurine exchange","eco:Taurine"
"eco:magnesium (Mg+2) transport in/out via proton antiport (periplasm)","eco:magnesium"
"eco:magnesium (Mg+2) transport in/out via proton antiport (periplasm)","eco:magnesium"
"eco:magnesium (Mg+2) transport in/out via proton antiport (periplasm)","eco:H+"
"eco:magnesium (Mg+2) transport in/out via proton antiport (periplasm)","eco:H+"
"eco:b0914","eco:phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)"
"eco:b0914","eco:phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)"
"eco:b0914","eco:ATP"
"eco:b0914","eco:H2O"
"eco:b0914","eco:H+"
