"node1"	"node2"	"genename_N1"
"b0979"	"o2"	"CYTBD"
"b0733"	"q8"	"CYTBD"
"b0734"	"q8"	"CYTBD"
"b0978"	"q8"	"CYTBD"
"b0979"	"q8"	"CYTBD"
"b0733"	"q8h2"	"CYTBD"
"b0734"	"q8h2"	"CYTBD"
"b0978"	"q8h2"	"CYTBD"
"b0979"	"q8h2"	"CYTBD"
""	"h"	"D.LACt2"
""	"h(e)"	"D.LACt2"
""	"lac-D"	"D.LACt2"
""	"lac-D(e)"	"D.LACt2"
"b2779"	"2pg"	"ENO"
"b2779"	"h2o"	"ENO"
"b2779"	"pep"	"ENO"
""	"etoh"	"ETOHt2r"
""	"etoh(e)"	"ETOHt2r"
""	"h"	"ETOHt2r"
""	"h(e)"	"ETOHt2r"
""	"ac(e)"	"EX_ac.e."
""	"acald[e]"	"EX_acald.e."
""	"akg(e)"	"EX_akg.e."
""	"co2(e)"	"EX_co2.e."
""	"etoh(e)"	"EX_etoh.e."
""	"for(e)"	"EX_for.e."
""	"fru[e]"	"EX_fru.e."
""	"fum(e)"	"EX_fum.e."
""	"glc-D(e)"	"EX_glc.e."
""	"gln-L(e)"	"EX_gln_L.e."
""	"glu-L(e)"	"EX_glu_L.e."
""	"h(e)"	"EX_h.e."
""	"h2o(e)"	"EX_h2o.e."
""	"lac-D(e)"	"EX_lac_D.e."
""	"mal-L[e]"	"EX_mal_L.e."
""	"nh4(e)"	"EX_nh4.e."
""	"o2(e)"	"EX_o2.e."
""	"pi(e)"	"EX_pi.e."
""	"pyr(e)"	"EX_pyr.e."
""	"succ(e)"	"EX_succ.e."
"b1773"	"dhap"	"FBA"
"b2097"	"dhap"	"FBA"
"b2925"	"dhap"	"FBA"
"b1773"	"fdp"	"FBA"
"b2097"	"fdp"	"FBA"
"b2925"	"fdp"	"FBA"
"b1773"	"g3p"	"FBA"
"b2097"	"g3p"	"FBA"
"b2925"	"g3p"	"FBA"
"b3925"	"f6p"	"FBP"
"b4232"	"f6p"	"FBP"
"b3925"	"fdp"	"FBP"
"b4232"	"fdp"	"FBP"
"b3925"	"h2o"	"FBP"
"b4232"	"h2o"	"FBP"
"b3925"	"pi"	"FBP"
"b4232"	"pi"	"FBP"
"b0904"	"for"	"FORt2"
"b2492"	"for"	"FORt2"
"b0904"	"for(e)"	"FORt2"
"b2492"	"for(e)"	"FORt2"
"b0904"	"h"	"FORt2"
"b2492"	"h"	"FORt2"
"b0904"	"h(e)"	"FORt2"
"b2492"	"h(e)"	"FORt2"
"b0904"	"for"	"FORti"
"b2492"	"for"	"FORti"
"b0904"	"for(e)"	"FORti"
"b2492"	"for(e)"	"FORti"
"b4151"	"fum"	"FRD7"
"b4152"	"fum"	"FRD7"
"b4153"	"fum"	"FRD7"
"b4154"	"fum"	"FRD7"
"b4151"	"q8"	"FRD7"
"b4152"	"q8"	"FRD7"
"b4153"	"q8"	"FRD7"
"b4154"	"q8"	"FRD7"
"b4151"	"q8h2"	"FRD7"
"b4152"	"q8h2"	"FRD7"
"b4153"	"q8h2"	"FRD7"
"b4154"	"q8h2"	"FRD7"
"b4151"	"succ"	"FRD7"
"b4152"	"succ"	"FRD7"
"b4153"	"succ"	"FRD7"
"b4154"	"succ"	"FRD7"
"b1817"	"f6p"	"FRUpts2"
"b1818"	"f6p"	"FRUpts2"
"b1819"	"f6p"	"FRUpts2"
"b2415"	"f6p"	"FRUpts2"
"b2416"	"f6p"	"FRUpts2"
"b1817"	"fru[e]"	"FRUpts2"
"b1818"	"fru[e]"	"FRUpts2"
"b1819"	"fru[e]"	"FRUpts2"
"b2415"	"fru[e]"	"FRUpts2"
"b2416"	"fru[e]"	"FRUpts2"
"b1817"	"pep"	"FRUpts2"
"b1818"	"pep"	"FRUpts2"
"b1819"	"pep"	"FRUpts2"
"b2415"	"pep"	"FRUpts2"
"b2416"	"pep"	"FRUpts2"
"b1817"	"pyr"	"FRUpts2"
"b1818"	"pyr"	"FRUpts2"
"b1819"	"pyr"	"FRUpts2"
"b2415"	"pyr"	"FRUpts2"
"b2416"	"pyr"	"FRUpts2"
"b1611"	"fum"	"FUM"
"b1612"	"fum"	"FUM"
"b4122"	"fum"	"FUM"
"b1611"	"h2o"	"FUM"
"b1612"	"h2o"	"FUM"
"b4122"	"h2o"	"FUM"
"b1611"	"mal-L"	"FUM"
"b1612"	"mal-L"	"FUM"
"b4122"	"mal-L"	"FUM"
"b3528"	"fum"	"FUMt2_2"
"b3528"	"fum(e)"	"FUMt2_2"
"b3528"	"h"	"FUMt2_2"
"b3528"	"h(e)"	"FUMt2_2"
"b1852"	"6pgl"	"G6PDH2r"
"b1852"	"g6p"	"G6PDH2r"
"b1852"	"h"	"G6PDH2r"
"b1852"	"nadp"	"G6PDH2r"
"b1852"	"nadph"	"G6PDH2r"
"b1779"	"13dpg"	"GAPD"
"b1779"	"g3p"	"GAPD"
"b1779"	"h"	"GAPD"
"b1779"	"nad"	"GAPD"
"b1779"	"nadh"	"GAPD"
"b1779"	"pi"	"GAPD"
"b1101"	"g6p"	"GLCpts"
"b1621"	"g6p"	"GLCpts"
"b1817"	"g6p"	"GLCpts"
"b1818"	"g6p"	"GLCpts"
"b1819"	"g6p"	"GLCpts"
"b2415"	"g6p"	"GLCpts"
"b2416"	"g6p"	"GLCpts"
"b2417"	"g6p"	"GLCpts"
"b1101"	"glc-D(e)"	"GLCpts"
"b1621"	"glc-D(e)"	"GLCpts"
"b1817"	"glc-D(e)"	"GLCpts"
"b1818"	"glc-D(e)"	"GLCpts"
"b1819"	"glc-D(e)"	"GLCpts"
"b2415"	"glc-D(e)"	"GLCpts"
"b2416"	"glc-D(e)"	"GLCpts"
"b2417"	"glc-D(e)"	"GLCpts"
"b1101"	"pep"	"GLCpts"
"b1621"	"pep"	"GLCpts"
"b1817"	"pep"	"GLCpts"
"b1818"	"pep"	"GLCpts"
"b1819"	"pep"	"GLCpts"
"b2415"	"pep"	"GLCpts"
"b2416"	"pep"	"GLCpts"
"b2417"	"pep"	"GLCpts"
"b1101"	"pyr"	"GLCpts"
"b1621"	"pyr"	"GLCpts"
"b1817"	"pyr"	"GLCpts"
"b1818"	"pyr"	"GLCpts"
