"node1"	"node2"	"genename_N1"
"b1602"	"nadph"	"THD2"
"b1603"	"nadph"	"THD2"
"b2465"	"g3p"	"TKT1"
"b2935"	"g3p"	"TKT1"
"b2465"	"r5p"	"TKT1"
"b2935"	"r5p"	"TKT1"
"b2465"	"s7p"	"TKT1"
"b2935"	"s7p"	"TKT1"
"b2465"	"xu5p-D"	"TKT1"
"b2935"	"xu5p-D"	"TKT1"
"b2465"	"e4p"	"TKT2"
"b2935"	"e4p"	"TKT2"
"b2465"	"f6p"	"TKT2"
"b2935"	"f6p"	"TKT2"
"b2465"	"g3p"	"TKT2"
"b2935"	"g3p"	"TKT2"
"b2465"	"xu5p-D"	"TKT2"
"b2935"	"xu5p-D"	"TKT2"
"b3919"	"dhap"	"TPI"
"b3919"	"g3p"	"TPI"
