node1	node2
b0241	L-Arginine
b0929	L-Arginine
b1377	L-Arginine
b2215	L-Arginine
D-Fructose exchange	D-Fructose
b4138	Fumarate
b4123	Fumarate
b0621	Fumarate
b4138	H+
b4123	H+
b0621	H+
b4138	Fumarate
b4123	Fumarate
b0621	Fumarate
b4138	H+
b4123	H+
b0621	H+
b0241	L-Homoserine
b0929	L-Homoserine
b1377	L-Homoserine
b2215	L-Homoserine
b0241	L-Homoserine
b0929	L-Homoserine
b1377	L-Homoserine
b2215	L-Homoserine
b0480	H2O
b4055	H2O
b0480	dIMP
b4055	dIMP
b0480	Phosphate
b4055	Phosphate
b0480	Deoxyinosine
b4055	Deoxyinosine
b0914	Phosphate
b0914	phosphatidylethanolamine (dihexadecanoyl, n-C16:0)
b0914	H+
b0914	ATP
b0914	ADP
b0914	H2O
b0914	phosphatidylethanolamine (dihexadecanoyl, n-C16:0)
b3919	Dihydroxyacetone phosphate
b3919	Glyceraldehyde 3-phosphate
b0596	2,3-Dihydroxybenzoate
b0596	Nicotinamide adenine dinucleotide
b0596	Nicotinamide adenine dinucleotide - reduced
b0596	H+
b0596	2,3-Dihydro-2,3-dihydroxybenzoate
b2501	Phosphate
b2501	ATP
b2501	ADP
b2501	Diphosphate
b0241	magnesium
b0929	magnesium
b1377	magnesium
b2215	magnesium
b0241	magnesium
b0929	magnesium
b1377	magnesium
b2215	magnesium
b0241	Co2+
b0929	Co2+
b1377	Co2+
b2215	Co2+
b0241	Co2+
b0929	Co2+
b1377	Co2+
b2215	Co2+
b3666	Phosphate
b3666	D-Fructose 6-phosphate
b3666	D-Fructose 6-phosphate
b3666	Phosphate
b0222	D-Glycero-D-manno-heptose 7-phosphate
b0222	Sedoheptulose 7-phosphate
Thiocyanate exchange	Thiocyanate
b2923	H+
b2923	L-Arginine
b2923	L-Arginine
b2923	H+
b0494	sn-Glycero-3-phosphoethanolamine
b0494	H2O
b0494	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
b0494	Hexadecanoate (n-C16:0)
b0494	H+
b3617	Coenzyme A
b3617	L-2-Amino-3-oxobutanoate
b3617	Glycine
b3617	Acetyl-CoA
b4177	GDP
b4177	N6-(1,2-Dicarboxyethyl)-AMP
b4177	IMP
b4177	Phosphate
b4177	H+
b4177	GTP
b4177	L-Aspartate
Dihydroxyacetone transport via facilitated diffusion (periplasm)	Dihydroxyacetone
Dihydroxyacetone transport via facilitated diffusion (periplasm)	Dihydroxyacetone
b2501	ATP
b2501	ADP
b2501	Inorganic triphosphate
b2501	Diphosphate
Formate exchange	Formate
b1095	3-Oxooctadecanoyl-[acyl-carrier protein]
b2323	3-Oxooctadecanoyl-[acyl-carrier protein]
b1095	Palmitoyl-ACP (n-C16:0ACP)
b2323	Palmitoyl-ACP (n-C16:0ACP)
b1095	Malonyl-[acyl-carrier protein]
b2323	Malonyl-[acyl-carrier protein]
b1095	CO2
b2323	CO2
b1095	acyl carrier protein
b2323	acyl carrier protein
b1095	H+
b2323	H+
b3528	H+
b3528	Fumarate
b3528	H+
b3528	Fumarate
b0813	L-Homoserine
b3824	L-Homoserine
b0813	H+
b3824	H+
b0813	H+
b3824	H+
b0813	L-Homoserine
b3824	L-Homoserine
b2291	Phosphate
b2744	Phosphate
b2291	Deoxyinosine
b2744	Deoxyinosine
b2291	H2O
b2744	H2O
b2291	dIMP
b2744	dIMP
b3993	Thiamin monophosphate
b3993	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate
b3993	H+
b3993	Diphosphate
b3993	4-Methyl-5-(2-phosphoethyl)-thiazole
b3927	D-Glyceraldehyde
b3927	D-Glyceraldehyde
Taurine exchange	Taurine
magnesium (Mg+2) transport in/out via proton antiport (periplasm)	magnesium
magnesium (Mg+2) transport in/out via proton antiport (periplasm)	magnesium
magnesium (Mg+2) transport in/out via proton antiport (periplasm)	H+
magnesium (Mg+2) transport in/out via proton antiport (periplasm)	H+
b0914	phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)
b0914	phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)
b0914	ATP
b0914	H2O
b0914	H+
b0914	Phosphate
b0914	ADP
b0752	H+
b3915	H+
b0752	H+
b3915	H+
b0752	Co2+
b3915	Co2+
b0752	Co2+
b3915	Co2+
b0822	D-Fructose
b0822	H2O
b0822	Phosphate
b0822	D-Fructose 6-phosphate
b1684	SufBCD with bound [4Fe-4S] cluster
b1683	SufBCD with bound [4Fe-4S] cluster
b1682	SufBCD with bound [4Fe-4S] cluster
b1681	SufBCD with bound [4Fe-4S] cluster
b1684	H+
b1683	H+
b1682	H+
b1681	H+
b1684	[4Fe-4S] iron-sulfur cluster
b1683	[4Fe-4S] iron-sulfur cluster
b1682	[4Fe-4S] iron-sulfur cluster
b1681	[4Fe-4S] iron-sulfur cluster
b1684	SufBCD scaffold complex
b1683	SufBCD scaffold complex
b1682	SufBCD scaffold complex
b1681	SufBCD scaffold complex
b0241	Dihydroxyacetone
b0929	Dihydroxyacetone
b1377	Dihydroxyacetone
b2215	Dihydroxyacetone
b0241	Dihydroxyacetone
b0929	Dihydroxyacetone
b1377	Dihydroxyacetone
b2215	Dihydroxyacetone
b1131	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
b1131	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
b1131	Fumarate
b0494	sn-Glycero-3-phosphoethanolamine
b0494	H2O
b0494	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
b0494	tetradecenoate (n-C14:1)
b0494	H+
b3650	GDP
b3650	Diphosphate
b3650	Guanosine 3',5'-bis(diphosphate)
b3650	H2O
ferroxamine minus Fe(3) exchange	ferroxamine minus Fe(3)
b2310	Phosphate
b2307	Phosphate
b2306	Phosphate
b2308	Phosphate
b0863	Phosphate
b0860	Phosphate
b0861	Phosphate
b0864	Phosphate
b0862	Phosphate
b2310	ADP
b2307	ADP
b2306	ADP
b2308	ADP
b0863	ADP
b0860	ADP
b0861	ADP
b0864	ADP
b0862	ADP
b2310	L-Arginine
b2307	L-Arginine
b2306	L-Arginine
b2308	L-Arginine
b0863	L-Arginine
b0860	L-Arginine
b0861	L-Arginine
b0864	L-Arginine
b0862	L-Arginine
b2310	H2O
b2307	H2O
b2306	H2O
b2308	H2O
b0863	H2O
b0860	H2O
b0861	H2O
b0864	H2O
b0862	H2O
b2310	H+
b2307	H+
b2306	H+
b2308	H+
b0863	H+
b0860	H+
b0861	H+
b0864	H+
b0862	H+
b2310	L-Arginine
b2307	L-Arginine
b2306	L-Arginine
b2308	L-Arginine
b0863	L-Arginine
b0860	L-Arginine
b0861	L-Arginine
b0864	L-Arginine
b0862	L-Arginine
b2310	ATP
b2307	ATP
b2306	ATP
b2308	ATP
b0863	ATP
b0860	ATP
b0861	ATP
b0864	ATP
b0862	ATP
b2323	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]
b2323	cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)
b2323	CO2
b2323	acyl carrier protein
b2323	Malonyl-[acyl-carrier protein]
b2323	H+
b2103	H+
b2418	H+
b2103	ADP
b2418	ADP
b2103	4-Amino-2-methyl-5-phosphomethylpyrimidine
b2418	4-Amino-2-methyl-5-phosphomethylpyrimidine
b2103	ATP
b2418	ATP
b2103	4-Amino-5-hydroxymethyl-2-methylpyrimidine
b2418	4-Amino-5-hydroxymethyl-2-methylpyrimidine
b0417	ADP
b0417	Thiamine diphosphate
b0417	Thiamin monophosphate
b0417	ATP
b0825	D-Fructose 6-phosphate
b3946	D-Fructose 6-phosphate
b0825	Glyceraldehyde 3-phosphate
b3946	Glyceraldehyde 3-phosphate
b0825	Dihydroxyacetone
b3946	Dihydroxyacetone
b1683	H+
b1682	H+
b1681	H+
b1683	Flavin adenine dinucleotide reduced
b1682	Flavin adenine dinucleotide reduced
b1681	Flavin adenine dinucleotide reduced
b1683	Flavin adenine dinucleotide oxidized
b1682	Flavin adenine dinucleotide oxidized
b1681	Flavin adenine dinucleotide oxidized
b1683	SufBCD with bound [4Fe-4S] cluster
b1682	SufBCD with bound [4Fe-4S] cluster
b1681	SufBCD with bound [4Fe-4S] cluster
b1683	SufBCD with two bound [2Fe-2S] clusters
b1682	SufBCD with two bound [2Fe-2S] clusters
b1681	SufBCD with two bound [2Fe-2S] clusters
b1612	L-Malate
b4122	L-Malate
b1611	L-Malate
b1612	H2O
b4122	H2O
b1611	H2O
b1612	Fumarate
b4122	Fumarate
b1611	Fumarate
b0241	L-Methionine
b0929	L-Methionine
b1377	L-Methionine
b2215	L-Methionine
b0241	L-Methionine
b0929	L-Methionine
b1377	L-Methionine
b2215	L-Methionine
b2744	Phosphate
b0480	Phosphate
b4055	Phosphate
b2744	Inosine
b0480	Inosine
b4055	Inosine
b2744	IMP
b0480	IMP
b4055	IMP
b2744	H2O
b0480	H2O
b4055	H2O
b1131	Fumarate
b1131	AMP
b1131	N6-(1,2-Dicarboxyethyl)-AMP
b0241	D-Glyceraldehyde
b0929	D-Glyceraldehyde
b1377	D-Glyceraldehyde
b2215	D-Glyceraldehyde
b0241	D-Glyceraldehyde
b0929	D-Glyceraldehyde
b1377	D-Glyceraldehyde
b2215	D-Glyceraldehyde
L-tartrate exchange	L-tartrate
b0914	ADP
b0914	H+
b0914	phosphatidylethanolamine (ditetradecanoyl, n-C14:0)
b0914	phosphatidylethanolamine (ditetradecanoyl, n-C14:0)
b0914	Phosphate
b0914	H2O
b0914	ATP
b3469	H+
b3469	ADP
b3469	H2O
b3469	Co2+
b3469	Phosphate
b3469	Co2+
b3469	ATP
b1200	Pyruvate
b1199	Pyruvate
b1198	Pyruvate
b2415	Pyruvate
b2416	Pyruvate
b1200	Dihydroxyacetone
