"node1","node2","Uni_N1","Uni_N2"
"eco:b0823","eco:b3951","P75793","P32674"
"eco:b3800","eco:b3952","P25550","P32675"
"eco:b1497","eco:b3952","P76134","P32675"
"eco:b0824","eco:b3952","P75794","P32675"
"eco:b2167","eco:b3953","P20966","P32676"
"eco:b0731","eco:b3953","P54745","P32676"
"eco:b3950","eco:b3953","P69816","P32676"
"eco:b2387","eco:b3953","P69808","P32676"
"eco:b3899","eco:b3953","P32154","P32676"
"eco:b2093","eco:b3953","P37188","P32676"
"eco:b3569","eco:b3954","P0ACI3","P32677"
"eco:b0566","eco:b3954","P10805","P32677"
"eco:b1735","eco:b3954","P17410","P32677"
"eco:b2437","eco:b3954","P36547","P32677"
"eco:b1499","eco:b3954","P76135","P32677"
"eco:b3905","eco:b3954","P09377","P32677"
"eco:b1531","eco:b3954","P0ACH5","P32677"
"eco:b0546","eco:b3954","P77634","P32677"
"eco:b3516","eco:b3954","P37639","P32677"
"eco:b2382","eco:b3954","P77396","P32677"
"eco:b1384","eco:b3954","Q47129","P32677"
"eco:b3515","eco:b3954","P63201","P32677"
"eco:b0564","eco:b3954","P05052","P32677"
"eco:b0305","eco:b3954","P77379","P32677"
"eco:b3801","eco:b3955","P25549","P0CB39"
"eco:b3678","eco:b3955","P31447","P0CB39"
"eco:b1498","eco:b3955","P77318","P0CB39"
"eco:b3546","eco:b3955","P37661","P0CB39"
"eco:b0815","eco:b3955","P75785","P0CB39"
"eco:b3173","eco:b3955","P42640","P0CB39"
"eco:b2872","eco:b3957","P65807","P23908"
"eco:b3152","eco:b3958","P45469","P11446"
"eco:b0020","eco:b3961","P0A9G2","P0ACQ4"
"eco:b2537","eco:b3961","Q47141","P0ACQ4"
"eco:b1526","eco:b3961","P77309","P0ACQ4"
"eco:b1799","eco:b3961","P76250","P0ACQ4"
"eco:b3243","eco:b3961","P67662","P0ACQ4"
"eco:b0076","eco:b3961","P10151","P0ACQ4"
"eco:b0603","eco:b3961","P77746","P0ACQ4"
"eco:b0208","eco:b3961","P30864","P0ACQ4"
"eco:b2015","eco:b3961","P76369","P0ACQ4"
"eco:b2921","eco:b3961","P52044","P0ACQ4"
"eco:b0900","eco:b3961","P75836","P0ACQ4"
"eco:b2577","eco:b3961","P33634","P0ACQ4"
"eco:b0316","eco:b3961","P77700","P0ACQ4"
"eco:b0338","eco:b3961","P27111","P0ACQ4"
"eco:b3585","eco:b3961","P37682","P0ACQ4"
"eco:b1988","eco:b3961","Q47005","P0ACQ4"
"eco:b1275","eco:b3961","P0A9F3","P0ACQ4"
