"node1","node2","Uni_N1","Uni_N2"
"eco:b0295","eco:b0316","P56257","P77700"
"eco:b0319","eco:b0320","P77297","P77187"
"eco:b0237","eco:b0321","P15288","P77221"
"eco:b0307","eco:b0321","P77536","P77221"
"eco:b0109","eco:b0323","P30011","P77624"
"eco:b0197","eco:b0325","P28635","P75691"
"eco:b0308","eco:b0328","P77433","P75693"
"eco:b0085","eco:b0328","P22188","P75693"
"eco:b0214","eco:b0328","P0A7Y4","P75693"
"eco:b0303","eco:b0329","P75687","P75694"
"eco:b0284","eco:b0335","P77489","P77495"
"eco:b0239","eco:b0335","P04335","P77495"
"eco:b0114","eco:b0344","P0AFG8","P00722"
"eco:b0114","eco:b0344","P0AFG8","G0ZKW2"
"eco:b0184","eco:b0344","P10443","P00722"
"eco:b0184","eco:b0344","P10443","G0ZKW2"
"eco:b0237","eco:b0344","P15288","P00722"
"eco:b0237","eco:b0344","P15288","G0ZKW2"
"eco:b0133","eco:b0344","P31663","P00722"
"eco:b0133","eco:b0344","P31663","G0ZKW2"
"eco:b0321","eco:b0347","P77221","P77397"
"eco:b0186","eco:b0348","P52095","P0ABR9"
"eco:b0351","eco:b0352","P77580","P51020"
"eco:b0028","eco:b0356","P0AEM0","P25437"
"eco:b0149","eco:b0369","P02919","P0ACB2"
"eco:b0208","eco:b0381","P30864","P0A6J8"
"eco:b0095","eco:b0381","P0A9A6","P0A6J8"
"eco:b0084","eco:b0381","P0AD68","P0A6J8"
"eco:b0243","eco:b0381","P07004","P0A6J8"
"eco:b0098","eco:b0382","P10408","P0AAN9"
"eco:b0346","eco:b0383","P77569","P00634"
"eco:b0089","eco:b0383","P0ABG4","P00634"
"eco:b0380","eco:b0384","P0AAQ0","P0AFM4"
"eco:b0169","eco:b0384","P0A7V0","P0AFM4"
"eco:b0294","eco:b0384","P71301","P0AFM4"
"eco:b0145","eco:b0386","P0ABS1","P0A9L8"
"eco:b0387","eco:b0390","P0A8D3","P0AE28"
"eco:b0008","eco:b0394","P0A870","P23917"
"eco:b0023","eco:b0394","P0A7U7","P23917"
"eco:b0192","eco:b0394","P40710","P23917"
"eco:b0120","eco:b0397","P0A7F6","P13458"
"eco:b0058","eco:b0398","P0AA37","P0AG76"
"eco:b0321","eco:b0399","P77221","P0AFJ5"
"eco:b0394","eco:b0405","P23917","P0A7F9"
"eco:b0279","eco:b0405","P71296","P0A7F9"
"eco:b0037","eco:b0405","P31552","P0A7F9"
"eco:b0043","eco:b0406","P68644","P0A847"
"eco:b0073","eco:b0414","P30125","P25539"
"eco:b0414","eco:b0415","P25539","P61714"
"eco:b0189","eco:b0415","P0AFW8","P61714"
"eco:b0150","eco:b0416","P06971","P0A780"
"eco:b0184","eco:b0416","P10443","P0A780"
"eco:b0408","eco:b0416","P0AG90","P0A780"
"eco:b0403","eco:b0416","P21517","P0A780"
"eco:b0398","eco:b0417","P0AG76","P0AGG0"
"eco:b0331","eco:b0419","P77541","P77735"
"eco:b0217","eco:b0421","P77339","P22939"
