"node1","node2","Uni_N1","Uni_N2"
"eco:b0149","eco:b0381","P02919","P0A6J8"
"eco:b0084","eco:b0381","P0AD68","P0A6J8"
"eco:b0092","eco:b0381","P07862","P0A6J8"
"eco:b0088","eco:b0381","P14900","P0A6J8"
"eco:b0085","eco:b0381","P22188","P0A6J8"
"eco:b0090","eco:b0381","P17443","P0A6J8"
"eco:b0243","eco:b0386","P07004","P0A9L8"
"eco:b0242","eco:b0386","P0A7B5","P0A9L8"
"eco:b0399","eco:b0400","P0AFJ5","P08400"
"eco:b0405","eco:b0406","P0A7F9","P0A847"
"eco:b0025","eco:b0414","P0AG40","P25539"
"eco:b0025","eco:b0415","P0AG40","P61714"
"eco:b0414","eco:b0415","P25539","P61714"
"eco:b0175","eco:b0418","P0ABG1","P18200"
"eco:b0029","eco:b0420","P62623","P77488"
"eco:b0173","eco:b0420","P45568","P77488"
"eco:b0052","eco:b0420","P19624","P77488"
"eco:b0174","eco:b0421","P60472","P22939"
"eco:b0420","eco:b0423","P77488","P77718"
"eco:b0133","eco:b0425","P31663","P0A9J4"
"eco:b0134","eco:b0425","P31057","P0A9J4"
"eco:b0131","eco:b0425","P0A790","P0A9J4"
"eco:b0103","eco:b0425","P0A6I9","P0A9J4"
"eco:b0429","eco:b0430","P0ABJ6","P0ABJ3"
"eco:b0430","eco:b0431","P0ABJ3","P0ABI8"
"eco:b0429","eco:b0431","P0ABJ6","P0ABI8"
"eco:b0431","eco:b0432","P0ABI8","P0ABJ1"
"eco:b0429","eco:b0432","P0ABJ6","P0ABJ1"
"eco:b0430","eco:b0432","P0ABJ3","P0ABJ1"
"eco:b0167","eco:b0450","P27249","P0AC55"
"eco:b0030","eco:b0469","P22564","P69503"
"eco:b0369","eco:b0475","P0ACB2","P23871"
"eco:b0154","eco:b0475","P23893","P23871"
"eco:b0033","eco:b0485","P00968","P77454"
"eco:b0032","eco:b0485","P0A6F1","P77454"
"eco:b0180","eco:b0494","P0A6Q6","P0ADA1"
"eco:b0452","eco:b0494","P0AGG2","P0ADA1"
"eco:b0507","eco:b0509","P0AEP7","P77161"
"eco:b0505","eco:b0512","P77731","P77671"
"eco:b0507","eco:b0514","P0AEP7","P77364"
"eco:b0509","eco:b0514","P77161","P77364"
"eco:b0512","eco:b0515","P77671","P75713"
"eco:b0505","eco:b0515","P77731","P75713"
"eco:b0505","eco:b0516","P77731","P77425"
"eco:b0512","eco:b0516","P77671","P77425"
"eco:b0515","eco:b0516","P75713","P77425"
"eco:b0512","eco:b0517","P77671","P77555"
"eco:b0516","eco:b0517","P77425","P77555"
"eco:b0515","eco:b0517","P75713","P77555"
"eco:b0512","eco:b0521","P77671","P37306"
"eco:b0515","eco:b0521","P75713","P37306"
"eco:b0517","eco:b0521","P77555","P37306"
"eco:b0516","eco:b0521","P77425","P37306"
"eco:b0474","eco:b0522","P69441","P09029"
