"network";"DRUG_ID";"Drug1";"Drug2";"SET";"clusters_all";"sigma.rate_all";"type";"clusters_set";"sigma.rate_set";"code_3letter1";"code_3letter2";"drug_cat";"drug_category1";"drug_category2";"categorycategory";"targ";"targeted_cellular_process1";"targeted_cellular_process2";"processprocess";"us";"use1";"use2";"useuse";"ebw";"ecr";"seo";"stm";"pae";"pau";"int_sign_ebw";"int_sign_ecr";"int_sign_seo";"int_sign_stm";"int_sign_pae";"int_sign_pau";"ebw_g";"ecr_g";"seo_g";"stm_g";"pae_g";"pau_g";"sum_g";"SR_ebw_D1";"SR_ecr_D1";"SR_stm_D1";"SR_seo_D1";"SR_pae_D1";"SR_pau_D1";"SR_ebw_D2";"SR_ecr_D2";"SR_stm_D2";"SR_seo_D2";"SR_pae_D2";"SR_pau_D2";"SR_ebw";"SR_ecr";"SR_stm";"SR_seo";"SR_pae";"SR_pau";"SR_score_ebw";"SR_score_ecr";"SR_score_stm";"SR_score_seo";"SR_score_pae";"SR_score_pau";"SR_score_total";"HDC_ebw_D1";"HDC_ecr_D1";"HDC_stm_D1";"HDC_seo_D1";"HDC_pae_D1";"HDC_pau_D1";"LF_ebw_D1";"LF_ecr_D1";"LF_stm_D1";"LF_seo_D1";"LF_pae_D1";"LF_pau_D1";"HDC_ebw_D2";"HDC_ecr_D2";"HDC_stm_D2";"HDC_seo_D2";"HDC_pae_D2";"HDC_pau_D2";"LF_ebw_D2";"LF_ecr_D2";"LF_stm_D2";"LF_seo_D2";"LF_pae_D2";"LF_pau_D2";"mean.path.length";"mean.k.edge";"mean.min.degree";"mean.max.degree";"mean.mean.degree";"max.adjacency";"mean.min.bet";"mean.max.bet";"mean.mean.bet";"mean.min.EVC";"mean.max.EVC";"mean.mean.EVC";"mean.sigma_all";"mean.sigma_set";"connection_onoff"
"Co-functional(EcoCyc)";"eco:b0937_eco:b2162";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"3,000";"2,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b2216";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"3,000";"2,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b2930";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"21,000";"11,000";"0";"0,000";"6,740";"3,370";"0,000";"0,030";"0,015";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b2979";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"6,000";"3,500";"0";"0,000";"1,000";"0,500";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b3223";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"2,000";"1,500";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b3405";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"1,000";"1,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b3626";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"9,000";"5,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b3885";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"7,000";"4,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b4006";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"33,000";"17,000";"0";"0,000";"0,000";"0,000";"0,000";"0,910";"0,455";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b4124";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"1,000";"1,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b0937_eco:b4323";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"4,000";"2,500";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b1002_eco:b0052";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"6,000";"7,000";"6,500";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b1002_eco:b0073";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"5,000";"7,000";"6,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b1002_eco:b0088";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"7,000";"15,000";"11,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b1002_eco:b0182";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"6,000";"7,000";"6,500";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b1002_eco:b0414";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"5,000";"7,000";"6,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b1002_eco:b0570";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"7,000";"4,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b1002_eco:b0937";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"1,000";"7,000";"4,000";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";NA;NA;"disconnected"
"Co-functional(EcoCyc)";"eco:b1002_eco:b1095";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";"Non-targets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Inf";"0,000";"7,000";"8,000";"7,500";"0";"0,000";"0,670";"0,335";"0,000";"0,000";"0,000";NA;NA;"disconnected"
