"N1","N2"
"P09151","P0A964"
"P07017","P0A964"
"P0CF40","P0A964"
"P0CF41","P0A964"
"P0CF42","P0A964"
"P0CF43","P0A964"
"P0CF44","P0A964"
"P0CF45","P0A964"
"P0AEB2","P0A964"
"P75821","P0A964"
"P33225","P0A964"
"P0AEZ3","P0A964"
"P0A6H1","P0A964"
"P0A8Z0","P0A964"
"P0A972","P0A968"
"P0A6J8","P0A968"
"P0ABD5","P0A968"
"P0AEU7","P0A968"
"P77624","P0A968"
"P0A7U7","P0A968"
"P21517","P0A968"
"P0A8B5","P0A968"
"P22186","P31806"
"P0A8G0","P31806"
"P76578","P31806"
"P0AFG8","P39838"
"P76001","P39838"
"P76291","P39838"
"P0AD03","P39838"
"P0AFS9","P39838"
"P0A870","P30126"
"P0AD70","P32131"
"P77610","P32131"
"P21888","P32131"
"P0AFP6","P32131"
"P77339","P22939"
"P0AEI4","P0ACA7"
"P39177","P0ACA7"
"P0A972","P76459"
"P61320","P76459"
"P0ACF4","P0ACF8"
"P0A850","P0ACF8"
"P10408","P0ACF8"
"P06959","P0ACF8"
"P0A7V0","P0ACF8"
"P36767","P0ACF8"
"P0A9P0","P0ACF8"
"P75869","P0ACF8"
"P0A8F8","P0ACF8"
"P00934","P0ACF8"
"P09546","P0ACF8"
"P23917","P0ACF8"
"P0AFP4","P0ACF8"
"P05637","P0ACF8"
"P30864","P0ACF8"
"P0A6Y1","P0ACF8"
"P75713","P23869"
"P0A9Q5","P0ABD8"
"P0A705","P0ABD8"
"P33195","P0ABD8"
"P25539","P0ABD8"
"P0ABD5","P0ABD8"
"P0A6Y8","P0ABD8"
"P15038","P0ABD8"
"P28630","P0ABD8"
"P75864","P37765"
"P0AA39","P37765"
"P0AG67","P37765"
"P0A7U7","P37765"
"P21513","P37765"
"P0ACF4","P37765"
"P0AAS7","P37765"
"P0A7V0","P37765"
"P0A972","P37765"
"P0A847","P37765"
"P08622","P37765"
"P0A717","P37765"
"P0A968","P37765"
"P0A9K3","P37765"
"P0ABF1","P37765"
"P21645","P37765"
"P36659","P37765"
"P0ABD5","P37765"
"P06959","P37765"
"P75966","P37765"
"P36879","P37765"
"P75876","P37765"
"P0AFG8","P37765"
"P0A9P0","P37765"
"P77188","P37765"
"P17445","P37765"
"P21829","P37765"
"P30850","P0A7W1"
"P02413","P0A7W1"
"P0A7X3","P0A7W1"
"P0A7V8","P0A7W1"
"P0AG44","P0A7W1"
"P0A7V0","P0A7W1"
"P0A7R9","P0A7W1"
"P0A7S9","P0A7W1"
"P68679","P0A7W1"
"P0A7K6","P0A7W1"
"P0A9P6","P0A7W1"
"P0AA10","P0A7W1"
"P0A7U7","P0A7W1"
"P0AG67","P0A7W1"
"P0AG48","P0A7W1"
"P0A7T3","P0A7W1"
"P0AGJ5","P0A7W1"
"P37765","P0A7W1"
"P0A7L3","P0A7W1"
"P75864","P0A7W1"
"P21507","P0A7W1"
"P23830","P0A7W1"
"P0ACF4","P0A7W1"
"P0AGK4","P0A7W1"
"P0ADZ4","P0A7W1"
"P05055","P0A7W1"
"P08622","P0A7W1"
"P43329","P0A7W1"
"P0A7Z4","P0A7W1"
"P06959","P0A7W1"
"P10408","P0A7W1"
"P0ABH9","P0A7W1"
"P0A9A9","P0A7W1"
"P30871","P0A7W1"
"P0AFG8","P0A7W1"
"P0AA39","P0A7W1"
"P0AFF6","P0A7W1"
"P0A9P0","P0A7W1"
"P21513","P0A7W1"
"Q46864","P0A7W1"
"P0A6P9","P0A7W1"
"P61949","P0A7W1"
"P0A6W5","P0A7W1"
"P0ABY2","P0A7W1"
"P0A817","P0A7W1"
"P60240","P0A7W1"
"P68919","P0A7W1"
"P19319","P0A7W1"
"P0AB43","P0A7W1"
"P06965","P0A7W1"
"P0ABD5","P0A7W1"
"P0A9M0","P0A7W1"
"P0A9Y6","P0A7W1"
"P0A6Q6","P0A7W1"
"P0A707","P0A7W1"
"P0A705","P0A7W1"
"P06616","P0A7W1"
"P0AAS7","P0A7W1"
"P75966","P0A7W1"
"P0A7G6","P0A7W1"
"P76078","P0A7W1"
"P0ACF8","P0A7W1"
"P0A6Y8","P0A7W1"
"P0AEU7","P0A7W1"
"P00579","P0A7W1"
"P0A9X4","P0A7W1"
"P77616","P0A7W1"
"P0A847","P0A7W1"
"P0A9U1","P0A7W1"
"P0AGD7","P0A7W1"
"P0ABL8","P0A7W1"
"P75692","P0A7W1"
"P06610","P0A7W1"
"P77188","P0A7W1"
"P76154","P0A7W1"
"P75811","P0A7W1"
"P0AGG4","P0A7W1"
"P21513","P21507"
"P37765","P21507"
"P36979","P21507"
"P08622","P21507"
"P0A7U7","P21507"
"P0AG67","P21507"
"P75864","P21507"
"P0A7V0","P21507"
"P43329","P21507"
"P0A8M6","P21507"
"P61320","P21507"
"P0A717","P21507"
"P0AA39","P21507"
"P0A707","P21507"
"P0AAS7","P21507"
"P75829","P21507"
"P0A7L3","P21507"
"P06612","P21507"
"P0ACF4","P21507"
"P0AFG8","P21507"
"P0A9P0","P21507"
"P68919","P21507"
"P76116","P21507"
"P0ABH9","P21507"
"P22523","P21507"
"P06959","P21507"
"Q06065","P21507"
"P0AAS7","P21513"
"P75864","P21513"
"P0A7U7","P21513"
"P0ACP1","P21513"
"P05637","P21513"
"P0A7V0","P21513"
"P0A754","P28635"
"P0A7U7","P60240"
"P10443","P03007"
"P77802","P76594"
"P75742","P76594"
"P76539","P76594"
"P0ACF4","P76594"
"P08622","P76594"
"P0A7U7","P76594"
"P0ABF1","P0ABH7"
"P0A8E5","P0ABH7"
"P0AFP6","P0ABH7"
"P0A850","P0ABH7"
"P0AA37","P0AEN4"
"P75616","P0AFW8"
"P08622","P39177"
"P77536","P39177"
"P10408","P39177"
"P15288","P39177"
"P0A8E5","P39177"
"P0AAQ0","P39177"
"P10443","P39177"
"Q47274","P39177"
"P0ABD5","P25888"
"P38489","P25888"
"P15288","P25888"
"P0ACJ5","P80644"
"P31680","P75938"
"P69434","P0AF28"
"P77454","P0A8L7"
"P0AAF1","P23857"
"P77454","P23857"
"P0AG74","P23857"
"P0AEN4","P23857"
"P76085","P67697"
"P0A968","P77308"
"P07395","P76237"
"P60752","P76237"
"P77611","P76237"
"P77366","P0A8V0"
"P31130","P0A8V0"
"P0AFH0","P76514"
"P25397","P76514"
"P69434","P76556"
"P69346","P76556"
"P0A8D0","P76556"
"P0AF28","P76556"
"P0AFI7","P76556"
"P0ACJ0","P76556"
"Q46877","Q46901"
"P25526","P33195"
"P36683","P33195"
"P25553","P33195"
"P37902","P33195"
"P0AAW1","P33195"
"P15038","P33195"
"P29012","P33195"
"P0A940","P33195"
"P09551","P33195"
"P00350","P33195"
"Q46920","P33195"
"P64602","P63386"
"P33343","P63386"
"P0ACE0","P63386"
"P0AD30","P63386"
"P75869","P37664"
"P0CF53","P37387"
"P0CF54","P37387"
"P0CF55","P37387"
"P0CF56","P37387"
"P0CF57","P37387"
"P0CF58","P37387"
"P75764","P37387"
"P0A794","P37387"
"P0ACV2","P37387"
"P0ACB0","P0A9E2"
"P76280","P16679"
"P0AE76","P16679"
"P75942","P16679"
"P0ACR9","P16679"
"P15288","P77221"
"P77536","P77221"
"P0A940","P0AEW6"
"P0AG90","P0AEW6"
"P77536","Q47274"
"P33128","Q47274"
"P0AA37","P0A8P1"
"P69222","P0A8P1"
"P0A6Q6","P0A8P1"
"Q47270","P0A8P1"
"P77536","P18133"
"P39177","P18133"
"P15288","P18133"
"P69739","P19932"
"P0AE08","P28305"
"P31545","P28305"
"Q47156","P75973"
"P0AAZ4","P75973"
"P36566","P75973"
"P80644","P76072"
"P37349","P76072"
"P31666","P76072"
"P0ABX5","P76072"
"P76017","P76072"
"P76044","P76114"
"P0AE18","P0ACT6"
"P77736","P0ACT6"
"P75938","P0AEG8"
"P0ABE2","P33361"
"P00959","Q57261"
"P0AF16","P0AAJ8"
"P00946","P0AAJ8"
"P37339","P0AAJ8"
"P07024","P0AAJ8"
"P52696","P0AAJ8"
"P77365","P0AEW4"
"P0A715","P0AEW4"
"P77245","P0AEW4"
"P0ADF8","P08142"
"P27300","P08142"
"P0AC33","P08142"
"P31806","P63177"
"P0AF67","P63177"
"P37146","P63177"
"P16703","P63177"
"P0AG55","P63177"
"P68679","P63177"
"P0C018","P63177"
"P0A7N9","P63177"
"P0A7K6","P63177"
"P0AA10","P63177"
"P08312","P63177"
"P08622","P09152"
"P04825","P09152"
"P0AFM4","P09152"
"P75906","P09152"
"P03819","P09152"
"P0A6Y8","P09152"
"P0AFP6","P09152"
"P77319","P09152"
"P0A8Q6","P0AEM4"
"P77221","P0AEM4"
"P0A823","P07004"
"P16659","P07004"
"P60240","P07004"
"P26266","P76015"
"P60560","P76015"
"P0AAT6","P76015"
"P0AA97","P77689"
"P0AFP6","P00959"
"P23862","P00959"
"P0A759","P09373"
"P31133","P09373"
"P0ABT2","P09373"
"P06971","P09373"
"P0A9L8","P09373"
"P0A6Y8","P09373"
"P23917","P09373"
"P0A836","P09373"
"P77536","P09373"
"P77188","P09373"
"P0AFP6","P0AAX8"
"P75919","P20605"
"P76361","P20605"
"P06710","P20605"
"P00509","P20605"
"P0ABH7","P20605"
"P0A7L3","P20605"
"P0AF01","P20605"
"P0ABT2","P20605"
"P09373","P29745"
"P0ABT2","P29745"
"P07004","P29745"
"P75869","P0A8E1"
"P38489","P0A8E1"
"P09546","P0A8E1"
"P25524","P75919"
"P0AD68","P17952"
"P19642","P21599"
"P23930","P21599"
"P0A850","P21599"
"P09373","P21599"
"P06971","P21599"
"P0A6Y8","P10408"
"P08622","P10408"
"P0A9A6","P10408"
"P0ABD5","P11458"
"P30176","P0AEI4"
"P10408","P0AEI4"
"P0ABT2","P0AEI4"
"P24252","P0AEI4"
"P0ACC3","P31134"
"P07003","P75825"
"P0A8E7","P36662"
"P62395","P18811"
"P76083","P07364"
"P0AF12","P07026"
"P0AEM4","P0AEM6"
"P21179","P0AEM6"
"P52106","P0AEM6"
"Q47147","P0AEM6"
"P38054","P0AEM6"
"P77324","P0AEM6"
"P77221","P0AEM6"
"P21599","P08390"
"P38054","P08390"
"P0A729","P08390"
"P0ACT6","P08390"
"P0ABF8","P00861"
"P0AFI5","P67701"
"Q46953","P67701"
"P75856","P67701"
"P0C077","P67701"
"P0ACE3","P15373"
"P0ACJ5","P15373"
"Q46802","P0A8A8"
"P33346","P0A8A8"
"P0A8D6","P0A8A8"
"P0AC59","P0A8A8"
"P77781","P0A8A8"
"P42904","P0A8A8"
"P0A8M6","P0A8A8"
"P0AEN4","P0A8A8"
"P76121","P0A8A8"
"P65292","P0A7V3"
"P75973","P0A7V3"
"P0A7X3","P0A7V3"
"P0A7V8","P0A7V3"
"P0AG44","P0A7V3"
"P0A7V0","P0A7V3"
"P62399","P0A7V3"
"P0A7W1","P0A7V3"
"P0A9P6","P0A7V3"
"P0AG55","P0A7V3"
"P0A7S9","P0A7V3"
"P0ADY7","P0A7V3"
"P37765","P0A7V3"
"P02413","P0A7V3"
"P0AGJ5","P0A7V3"
"P0A7R9","P0A7V3"
"P23830","P0A7V3"
"P05055","P0A7V3"
"P0ADY3","P0A7V3"
"P0A7Z4","P0A7V3"
"P0AA39","P0A7V3"
"P0A7K6","P0A7V3"
"P43329","P0A7V3"
"P08622","P0A7V3"
"P0A707","P0A7V3"
"P0C018","P0A7V3"
"P75989","P0A7V3"
"P21513","P0A7V3"
"P0A9Y6","P0A7V3"
"P0AFF6","P0A7V3"
"P0A7U7","P0A7V3"
"P0AA10","P0A7V3"
"P60624","P0A7V3"
"P0AG48","P0A7V3"
"P0AG67","P0A7V3"
"P0AG59","P0A7V3"
"P0A7T3","P0A7V3"
"P21507","P0A7V3"
"P75864","P0A7V3"
"P0A7W7","P0A7V3"
"P68679","P0A7V3"
"P0A7L3","P0A7V3"
"P30871","P0A7V3"
"P68919","P0A7V3"
"P0ACF4","P0A7V3"
"P36979","P0A7V3"
"P0AAS7","P0A7V3"
"P0ABF1","P0A7V3"
"P69913","P0A7V3"
"P0A8G0","P0A7V3"
"P0A722","P0A7V3"
"P76316","P0A7V3"
"P0A8M6","P0A7V3"
"P36659","P0A7V3"
"P20083","P0A7V3"
"P0DMC7","P0A7V3"
"P75829","P0A7V3"
"P0A8I5","P0A7V3"
"P21645","P0A7V3"
"P22939","P0A7V3"
"P0ADZ4","P0A7V3"
"P0AGK4","P0A7V3"
"P0A9M0","P0A7V3"
"P54901","P0A7V3"
"P09832","P0A7V3"
"P23836","P0A7V3"
"P75960","P0A7V3"
"P0AAB6","P0A7V3"
