"N1","N2"
"P33927","P69490"
"P69490","P0ABM5"
"P69490","P0ABM1"
"P0ABM5","P0ABM1"
"P33937","P0A9I5"
"P0C0V0","P06996"
"P0DMC9","P0DMC7"
"P0A6Y8","P0AES4"
"P0AEM4","P0AES4"
"P27245","P0AES4"
"P0AE67","P0AES4"
"P26608","P0AES4"
"P0ABZ1","P0AES4"
"P33012","P0AES4"
"P75938","P09394"
"P0ABX5","P09394"
"P33235","P09394"
"P07363","P09394"
"P26608","P09394"
"P0ABY2","P09394"
"P06974","P09394"
"P75691","P0A996"
"Q46948","P33602"
"P33602","P33599"
"P77395","P08390"
"P0A9A6","P77173"
"P0AGD3","P0ABK5"
"P04805","P0ABK5"
"Q46948","P08839"
"P0AA04","P08839"
"P69786","P69783"
"P0AA04","P69783"
"P0A940","P0A903"
"P0ABZ6","P77774"
"P0A940","P77774"
"P0A903","P77774"
"P0AEN4","P76576"
"P0DMC7","P76576"
"P0A9R4","P0ACD4"
"P0A6A8","P0A6B7"
"P0A9R4","P0A6B7"
"P0ACD4","P0A6B7"
"P27249","P0A9Z1"
"P0AC55","P0A9Z1"
"P0AEN4","P0AFX7"
"P0AEH1","P0AFX7"
"P0AFX9","P0AFX7"
"P75942","P0AGB6"
"P06612","P0AGB6"
"P07364","P0AGB6"
"P0A8S9","P0AGB6"
"P52612","P0AGB6"
"P15070","P0AGB6"
"P0A850","P0AGJ5"
"P0A6Y8","P63284"
"P16659","P63284"
"Q46948","P63284"
"P0A8Q6","P63284"
"P0AG67","P63284"
"P0A940","P0AC02"
"P0A903","P0AC02"
"P77774","P0AC02"
"P21865","P0AGD7"
"P0A6Y8","P09372"
"P08622","P09372"
"P63284","P09372"
"P00452","P39452"
"P04152","P0A7G6"
"P0A6Y8","P16431"
"P0C8J8","P16431"
"P0A9Q7","P0A700"
"P0C8J8","P0A700"
"P16431","P0A700"
"P16431","P0AAN3"
"P0A700","P0AAN3"
"P77329","P0AAM3"
"P16431","P0AAM3"
"P0AAM3","P24192"
"P30131","P24193"
"P0AAM3","P24193"
"P24192","P24193"
"P0AEN4","P0A6S5"
"P0AD68","P0A6S5"
"P0ABG4","P0A6S5"
"P06136","P0A6S5"
"Q46897","Q46899"
"Q46898","Q46899"
"Q46897","P76632"
"Q46898","P76632"
"Q46899","P76632"
"P0ABF1","P0A6P9"
"P21513","P0A6P9"
"P02919","P63883"
"P23909","P06722"
"P0A9A6","P0ADS2"
"Q46948","P0AB71"
"P62707","P0AB71"
"P0ADG7","P52061"
"P0AEM4","P0A8I5"
"P0ABX2","P0A8I5"
"P0ACD8","P0AAM7"
"P24192","P0AAM7"
"P24193","P0AAM7"
"P02929","P0ABV2"
"P31224","P02930"
"P0AE06","P02930"
"P75830","P02930"
"P75831","P02930"
"P27303","P02930"
"P77319","P00579"
"P06134","P00579"
"P0ABF1","P05055"
"P21513","P05055"
"P0A6P9","P05055"
"P10408","P0AG99"
"P0ADV9","P0A9V1"
"P0AD68","P46022"
"P0ABG4","P46022"
"P07813","P61889"
"P0A8N3","P61889"
"P0A8G3","P61889"
"P0A850","P0A9X4"
"P76364","P0A9X4"
"P27434","P0A9X4"
"Q46948","P0A7Z4"
"Q46948","P0A7V8"
"P0A948","P0A7V8"
"Q46948","P0A7R9"
"P0A850","P0A7R9"
"P06136","P0AGA2"
"P10408","P0AGA2"
"P0AG99","P0AGA2"
"P0A850","P0A7W1"
"Q46948","P0A7V3"
"P0A850","P0A7V3"
"Q46948","P0A7U3"
"P0A850","P0A7U3"
"P07363","P0A7U3"
"P0ABZ1","P0A7U3"
"P0AES4","P0A7U3"
"P0AGB6","P0A7U3"
"Q46948","P60422"
"P0A850","P60422"
"P21513","P60422"
"P0A7Z4","P60422"
"P0A850","P60723"
"P0A6P1","P0CE47"
"Q46948","P0CE47"
"P0A6P1","P0A6M8"
"P0CE47","P0A6M8"
"P16431","P0A9K9"
"P0A700","P0A9K9"
"P0AAN3","P0A9K9"
"P0A6S0","P32662"
"P09394","P32662"
"P0A8I5","P32662"
"P0A7U3","P32662"
"P0AEN4","P11557"
"P0AD68","P11557"
"P06136","P11557"
"P0ABH0","P11557"
"P0A9A6","P11557"
"P0A940","P11557"
"P02919","P02918"
"P45464","P02918"
"P42615","P0AEJ4"
"P0AEJ4","P0AA16"
"P0A6Y8","P0AGB3"
"P08622","P0AGB3"
"P06136","P0AC30"
"P0ABH0","P0AC30"
"P0ADA5","P0AEE1"
"P0AEZ9","P0AEE1"
"P0ADB1","P0AEE1"
"P64596","P0AEE1"
"P0AEE1","P37194"
"P76297","P37665"
"P10443","P0A988"
"P03007","P0A988"
"Q47155","P0A988"
"P06710","P0A988"
"P28630","P0A988"
"P28631","P0A988"
"P69931","P0A988"
"P32662","P0A988"
"P0ACF4","P03004"
"P0ABT2","P03004"
"P0A9Q7","P03004"
"P69931","P03004"
"P66817","P03004"
"P60422","P03004"
"P08622","P25714"
"P0A6W3","P25714"
"P06136","P25714"
"P06959","P25714"
"P0A7V0","P25714"
"P30750","P25714"
"P03023","P25714"
"A0A4D6FVL5","P25714"
"P0AG90","P25714"
"P0ABI8","P25714"
"P0ABJ1","P25714"
"P0AA53","P25714"
"P0AAT4","P25714"
"P0AD65","P25714"
"P0AC41","P25714"
"P0AFG6","P25714"
"P08506","P25714"
"P0AG67","P25714"
"P0A910","P25714"
"P75870","P25714"
"P07117","P25714"
"P21513","P25714"
"P00393","P25714"
"P0A9Q7","P25714"
"P0A8R7","P25714"
"P18392","P25714"
"P0A9B2","P25714"
"P69797","P25714"
"P0AA47","P25714"
"P06996","P25714"
"P33599","P25714"
"Q46799","P25714"
"P0AAJ8","P25714"
"P0AG99","P25714"
"P0AAI3","P25714"
"P64604","P25714"
"P0A9X4","P25714"
"P0A7Z4","P25714"
"P0A7V8","P25714"
"P0A7W1","P25714"
"P0A7V3","P25714"
"P60723","P25714"
"P0CE47","P25714"
"P0A9K9","P25714"
"P0ACJ8","P25714"
"P33232","P25714"
"P0AC75","P25714"
"Q46948","P0A853"
"P09373","P0A853"
"P0A9M8","P0ACC7"
"P0A8Q6","P0ABB4"
"P25714","P0ABB4"
"P05050","P0ABA6"
"P0A8Q6","P0ABB0"
"P0A7E1","P0ABB0"
"P0A6J5","P0ABB0"
"P25714","P0ABB0"
"P0ABB4","P0ABB0"
"P0ABA6","P0ABB0"
"P25714","P02925"
"P0A870","P0AA25"
"P0A9A6","P0AA25"
"P36683","P0AA25"
"P0ABS1","P0AA25"
"P0A9D8","P0AA25"
"P0A6P1","P0AA25"
"P0A7E9","P0AA25"
"P0A6Q6","P0AA25"
"P00722","P0AA25"
"G0ZKW2","P0AA25"
"P0A8D0","P0AA25"
