"N1","N2"
"P0A9P0","P0AC41"
"P36683","P0AC41"
"P0ABJ6","P0AC41"
"P0ABJ3","P0AC41"
"P0ABI8","P0AC41"
"P0ABJ1","P0AC41"
"P0ABH7","P0AC41"
"P69054","P0AC41"
"P0AC44","P0AC41"
"P0A9P0","P07014"
"P36683","P07014"
"P0ABJ6","P07014"
"P0ABJ3","P07014"
"P0ABI8","P07014"
"P0ABJ1","P07014"
"P0ABH7","P07014"
"P69054","P07014"
"P0AC44","P07014"
"P0AC41","P07014"
"P0A9P0","P0AFG3"
"P36683","P0AFG3"
"P0ABH7","P0AFG3"
"P69054","P0AFG3"
"P0AC44","P0AFG3"
"P0AC41","P0AFG3"
"P07014","P0AFG3"
"P06959","P0AFG6"
"P0A9P0","P0AFG6"
"P36683","P0AFG6"
"P60716","P0AFG6"
"P60720","P0AFG6"
"P0ABH7","P0AFG6"
"P69054","P0AFG6"
"P0AC44","P0AFG6"
"P0AC41","P0AFG6"
"P07014","P0AFG6"
"P0AFG3","P0AFG6"
"P0A9P0","P0A836"
"P36683","P0A836"
"P0ABH7","P0A836"
"P69054","P0A836"
"P0AC44","P0A836"
"P0AC41","P0A836"
"P07014","P0A836"
"P0AFG3","P0A836"
"P0AFG6","P0A836"
"P0A9P0","P0AGE9"
"P36683","P0AGE9"
"P0ABH7","P0AGE9"
"P69054","P0AGE9"
"P0AC44","P0AGE9"
"P0AC41","P0AGE9"
"P07014","P0AGE9"
"P0AFG3","P0AGE9"
"P0AFG6","P0AGE9"
"P0A836","P0AGE9"
"P69054","P0ABJ9"
"P0AC44","P0ABJ9"
"P0AC41","P0ABJ9"
"P07014","P0ABJ9"
"P69054","P0ABK2"
"P0AC44","P0ABK2"
"P0AC41","P0ABK2"
"P07014","P0ABK2"
"P0ABJ9","P0ABK2"
"P30011","P11458"
"P0A752","P11458"
"P0A6E1","P0AB91"
"P0A9C3","P0A6T3"
"P0A9C3","P09148"
"P0A6T3","P09148"
"P0A9C3","P09147"
"P0A6T3","P09147"
"P09148","P09147"
"P62707","P21829"
"P0A870","P52697"
"P0A6Q6","P12995"
"P0A6Q6","P12996"
"P12995","P12996"
"P0A6Q6","P12998"
"P12995","P12998"
"P12996","P12998"
"P0A6Q6","P12999"
"P12995","P12999"
"P12996","P12999"
"P12998","P12999"
"P0A6Q6","P13000"
"P12995","P13000"
"P12996","P13000"
"P12998","P13000"
"P12999","P13000"
"P0AF03","P30745"
"P0AF03","P30748"
"P30745","P30748"
"P0AF03","P30749"
