node1 node2 experimental database textmining combined_score
PA0007 PA0524 348 0 0 347
PA0007 PA1556 363 0 78 387
PA0007 PA4431 427 0 97 460
PA0007 PA1319 345 0 0 345
PA0007 PA1779 267 0 0 267
PA0007 PA2481 368 0 78 392
PA0007 PA4571 368 0 78 392
PA0007 PA3026 197 0 0 197
PA0007 PA5181 267 0 0 267
PA0007 PA0106 367 0 78 391
PA0007 PA0364 265 0 0 265
PA0007 PA5355 197 0 0 197
PA0007 PA0516 319 0 0 319
PA0007 PA1552.1 135 0 78 168
PA0007 PA4692 285 0 0 284
PA0007 PA1416 197 0 0 197
PA0007 PA2124 265 0 0 265
PA0008 PA1949 173 0 0 173
PA0008 PA0009 805 900 0 979
PA0008 PA2320 173 0 0 173
PA0008 PA2259 173 0 0 173
PA0008 PA3563 173 0 0 173
PA0009 PA3554 0 0 162 161
PA0009 PA2382 162 0 0 161
PA0009 PA5321 273 0 0 273
PA0009 PA0018 0 0 239 238
PA0009 PA3834 0 0 254 254
PA0009 PA4439 0 0 236 236
PA0009 PA4771 162 0 0 161
PA0009 PA0008 805 900 0 979
PA0011 PA3242 0 900 0 900
PA0012 PA2799 0 0 333 333
PA0012 PA2989 0 0 326 325
PA0012 PA4608 0 0 356 356
PA0015 PA1122 156 0 0 155
PA0015 PA5022 371 0 0 371
PA0015 PA0019 156 0 0 155
PA0015 PA5133 371 0 0 371
PA0016 PA4464 250 0 0 250
PA0016 PA3210 700 0 358 799
PA0017 PA4568 337 0 0 337
PA0017 PA4272 699 0 0 699
PA0017 PA3134 195 0 0 195
PA0017 PA4260 341 0 0 341
PA0017 PA4572 202 0 56 214
PA0017 PA2741 337 0 0 337
PA0017 PA2970 337 0 0 337
PA0017 PA4237 337 0 0 337
PA0017 PA2424 197 0 0 197
PA0017 PA4256 203 0 0 203
PA0017 PA3600 256 0 0 256
PA0017 PA3868 221 0 0 221
PA0017 PA3950 440 0 0 440
PA0017 PA3262 202 0 56 214
PA0017 PA5470 284 0 0 284
PA0017 PA4258 752 0 0 752
PA0017 PA4251 154 0 0 153
PA0017 PA4433 738 0 0 738
PA0017 PA3466 440 0 0 440
PA0017 PA3717 202 0 56 214
PA0017 PA3334 197 0 0 197
PA0017 PA4265 221 0 0 221
PA0017 PA4978 156 0 0 155
PA0017 PA3162 239 0 0 238
PA0017 PA4245 686 0 0 686
PA0017 PA1794 195 0 0 195
PA0017 PA4252 805 0 0 805
PA0017 PA4242 256 0 0 256
PA0017 PA4271 475 0 0 475
PA0017 PA3327 197 0 0 197
PA0017 PA0770 221 0 0 221
PA0017 PA1017 156 0 0 155
PA0017 PA4274 203 0 0 203
PA0017 PA4263 761 0 0 761
PA0017 PA4248 612 0 0 612
PA0017 PA0868 284 0 0 284
PA0017 PA2744 203 0 0 203
PA0017 PA4752 805 0 172 831
