node1 node2 experimental database textmining combined_score
ECIAI1_0014 ECIAI1_0316 324 124 108 425
ECIAI1_0014 ECIAI1_1602 389 232 80 530
ECIAI1_0014 ECIAI1_3478 256 0 0 256
ECIAI1_0014 ECIAI1_3460 256 0 0 256
ECIAI1_0014 ECIAI1_3451 275 0 0 275
ECIAI1_0014 ECIAI1_0590 206 0 282 405
ECIAI1_0014 ECIAI1_0440 0 0 736 736
ECIAI1_0014 ECIAI1_4283 0 0 460 459
ECIAI1_0014 ECIAI1_4408 104 0 99 158
ECIAI1_0014 ECIAI1_3469 291 0 0 290
ECIAI1_0014 ECIAI1_1305 175 0 0 175
ECIAI1_0014 ECIAI1_3502 187 149 276 455
ECIAI1_0014 ECIAI1_4199 328 0 0 328
ECIAI1_0014 ECIAI1_2921 215 0 0 215
ECIAI1_0014 ECIAI1_0477 256 0 0 256
ECIAI1_0014 ECIAI1_1043 421 232 769 888
ECIAI1_0014 ECIAI1_3476 187 0 185 309
ECIAI1_0014 ECIAI1_1698 165 0 108 223
ECIAI1_0014 ECIAI1_0628 150 0 47 155
ECIAI1_0014 ECIAI1_3450 262 0 0 262
ECIAI1_0014 ECIAI1_3303 187 0 62 204
ECIAI1_0014 ECIAI1_0051 302 0 46 305
ECIAI1_0014 ECIAI1_3877 0 0 276 276
ECIAI1_0014 ECIAI1_0633 292 169 127 441
ECIAI1_0014 ECIAI1_0921 215 0 0 215
ECIAI1_0014 ECIAI1_3449 179 0 176 294
ECIAI1_0014 ECIAI1_2887 336 0 108 382
ECIAI1_0014 ECIAI1_2277 252 153 108 385
ECIAI1_0014 ECIAI1_3453 278 0 67 297
ECIAI1_0014 ECIAI1_0973 82 0 120 157
ECIAI1_0014 ECIAI1_3470 321 0 0 321
ECIAI1_0014 ECIAI1_0057 213 0 669 728
ECIAI1_0014 ECIAI1_0428 150 0 47 155
ECIAI1_0014 ECIAI1_2252 187 0 62 204
ECIAI1_0014 ECIAI1_0630 292 169 56 396
ECIAI1_0014 ECIAI1_3452 305 0 0 305
ECIAI1_0014 ECIAI1_3683 292 169 56 396
ECIAI1_0014 ECIAI1_3446 273 0 0 273
ECIAI1_0014 ECIAI1_2511 0 0 172 171
ECIAI1_0014 ECIAI1_0922 401 0 353 595
ECIAI1_0014 ECIAI1_2315 174 93 88 257
ECIAI1_0014 ECIAI1_0476 427 287 856 936
ECIAI1_0014 ECIAI1_3046 55 0 142 154
ECIAI1_0014 ECIAI1_0934 215 0 0 215
ECIAI1_0014 ECIAI1_2735 949 47 999 999
ECIAI1_0014 ECIAI1_1411 151 89 90 234
ECIAI1_0014 ECIAI1_3464 256 0 0 256
ECIAI1_0014 ECIAI1_3447 288 0 0 288
ECIAI1_0014 ECIAI1_2715 421 0 924 954
ECIAI1_0014 ECIAI1_3373 283 0 0 282
ECIAI1_0014 ECIAI1_3465 275 0 0 275
ECIAI1_0014 ECIAI1_3454 282 0 0 282
ECIAI1_0014 ECIAI1_3315 283 0 0 282
ECIAI1_0014 ECIAI1_0920 0 0 179 179
ECIAI1_0014 ECIAI1_1036 0 90 136 180
ECIAI1_0014 ECIAI1_2538 226 0 0 225
ECIAI1_0014 ECIAI1_0527 187 149 93 317
ECIAI1_0014 ECIAI1_0015 999 232 999 999
ECIAI1_0014 ECIAI1_2669 275 0 70 296
ECIAI1_0014 ECIAI1_2009 0 0 718 718
ECIAI1_0014 ECIAI1_3047 151 89 90 234
ECIAI1_0014 ECIAI1_0607 0 0 269 269
ECIAI1_0014 ECIAI1_2309 362 0 0 362
ECIAI1_0014 ECIAI1_3468 246 0 127 313
ECIAI1_0014 ECIAI1_3880 0 0 539 539
ECIAI1_0014 ECIAI1_2815 283 0 0 282
ECIAI1_0014 ECIAI1_3445 187 0 322 425
ECIAI1_0014 ECIAI1_4375 186 0 753 790
ECIAI1_0014 ECIAI1_2435 0 90 262 299
ECIAI1_0014 ECIAI1_3820 271 0 0 271
ECIAI1_0014 ECIAI1_0799 187 0 0 187
ECIAI1_0014 ECIAI1_2574 292 169 56 396
ECIAI1_0014 ECIAI1_0232 421 0 142 481
ECIAI1_0014 ECIAI1_3318 44 0 270 272
ECIAI1_0015 ECIAI1_2127 256 0 0 256
ECIAI1_0015 ECIAI1_3459 429 0 0 429
ECIAI1_0015 ECIAI1_0643 422 0 0 422
ECIAI1_0015 ECIAI1_2730 425 0 0 424
ECIAI1_0015 ECIAI1_0038 274 0 0 274
ECIAI1_0015 ECIAI1_3334 427 0 0 426
ECIAI1_0015 ECIAI1_1121 345 0 0 345
ECIAI1_0015 ECIAI1_1874 314 0 0 313
ECIAI1_0015 ECIAI1_3477 424 0 0 424
ECIAI1_0015 ECIAI1_2338 314 0 0 313
ECIAI1_0015 ECIAI1_3372 425 0 0 424
ECIAI1_0015 ECIAI1_3126 426 0 0 426
ECIAI1_0015 ECIAI1_2506 186 0 0 186
ECIAI1_0015 ECIAI1_2203 305 0 85 336
ECIAI1_0015 ECIAI1_2331 293 0 0 293
ECIAI1_0015 ECIAI1_0621 428 0 0 428
ECIAI1_0015 ECIAI1_2418 274 0 0 274
ECIAI1_0015 ECIAI1_3049 220 0 62 237
ECIAI1_0015 ECIAI1_0167 423 0 0 422
ECIAI1_0015 ECIAI1_2800 163 0 45 166
ECIAI1_0015 ECIAI1_3865 183 0 646 698
ECIAI1_0015 ECIAI1_2117 256 0 0 256
ECIAI1_0015 ECIAI1_3969 0 0 178 177
ECIAI1_0015 ECIAI1_3442 305 0 85 336
ECIAI1_0015 ECIAI1_0833 270 0 0 270
ECIAI1_0015 ECIAI1_3568 212 0 0 212
ECIAI1_0015 ECIAI1_1836 282 0 0 282
ECIAI1_0015 ECIAI1_3455 423 0 0 422
ECIAI1_0015 ECIAI1_2894 187 82 0 221
ECIAI1_0015 ECIAI1_2791 171 0 0 171
ECIAI1_0015 ECIAI1_4197 429 0 0 429
ECIAI1_0015 ECIAI1_0490 305 0 85 336
ECIAI1_0015 ECIAI1_1176 305 0 85 336
ECIAI1_0015 ECIAI1_1393 274 0 0 274
ECIAI1_0015 ECIAI1_2047 136 0 58 151
ECIAI1_0015 ECIAI1_2148 416 0 0 416
ECIAI1_0015 ECIAI1_2357 390 0 0 390
ECIAI1_0015 ECIAI1_3460 428 0 0 428
ECIAI1_0015 ECIAI1_3815 185 0 0 185
ECIAI1_0015 ECIAI1_3784 212 0 0 212
ECIAI1_0015 ECIAI1_3456 423 0 0 422
ECIAI1_0015 ECIAI1_3345 186 0 0 186
ECIAI1_0015 ECIAI1_1708 425 0 0 424
ECIAI1_0015 ECIAI1_0316 187 0 127 259
ECIAI1_0015 ECIAI1_0183 336 0 0 336
ECIAI1_0015 ECIAI1_3478 424 0 0 424
ECIAI1_0015 ECIAI1_1401 220 0 0 220
ECIAI1_0015 ECIAI1_2459 151 0 0 150
ECIAI1_0015 ECIAI1_3966 270 0 0 270
ECIAI1_0015 ECIAI1_4295 305 0 85 336
ECIAI1_0015 ECIAI1_3448 424 0 0 424
ECIAI1_0015 ECIAI1_0441 186 0 0 186
ECIAI1_0015 ECIAI1_2727 426 0 0 426
ECIAI1_0015 ECIAI1_3458 427 0 0 426
ECIAI1_0015 ECIAI1_3607 352 0 0 351
ECIAI1_0015 ECIAI1_2581 186 0 0 186
ECIAI1_0015 ECIAI1_3466 424 0 0 424
ECIAI1_0015 ECIAI1_0479 187 0 0 187
ECIAI1_0015 ECIAI1_1042 426 0 746 847
ECIAI1_0015 ECIAI1_0146 186 0 62 203
ECIAI1_0015 ECIAI1_2401 187 0 0 187
ECIAI1_0015 ECIAI1_0014 999 232 999 999
ECIAI1_0015 ECIAI1_0634 425 232 341 683
ECIAI1_0015 ECIAI1_1333 212 0 0 212
ECIAI1_0015 ECIAI1_3045 282 0 0 282
ECIAI1_0015 ECIAI1_3326 187 0 0 187
ECIAI1_0015 ECIAI1_3457 424 0 0 424
ECIAI1_0015 ECIAI1_4376 50 0 822 823
ECIAI1_0015 ECIAI1_0909 277 0 0 277
ECIAI1_0015 ECIAI1_3864 183 0 634 688
ECIAI1_0015 ECIAI1_2539 262 0 0 262
ECIAI1_0015 ECIAI1_0592 151 0 0 150
ECIAI1_0015 ECIAI1_2846 427 0 0 426
ECIAI1_0015 ECIAI1_2717 345 0 0 345
ECIAI1_0015 ECIAI1_2570 426 0 89 454
ECIAI1_0015 ECIAI1_2555 151 0 0 150
ECIAI1_0015 ECIAI1_0424 252 0 58 265
ECIAI1_0015 ECIAI1_3611 161 0 0 161
ECIAI1_0015 ECIAI1_1386 295 0 0 295
ECIAI1_0015 ECIAI1_3806 425 0 0 424
ECIAI1_0015 ECIAI1_3913 159 0 0 158
ECIAI1_0015 ECIAI1_3462 424 0 102 460
ECIAI1_0015 ECIAI1_1834 220 0 0 220
ECIAI1_0015 ECIAI1_0095 155 0 0 154
ECIAI1_0015 ECIAI1_2943 220 0 0 220
ECIAI1_0015 ECIAI1_4132 258 0 0 258
ECIAI1_0015 ECIAI1_2962 220 0 62 237
ECIAI1_0015 ECIAI1_2900 345 0 0 345
ECIAI1_0015 ECIAI1_0908 256 0 0 256
ECIAI1_0015 ECIAI1_1377 730 0 0 730
ECIAI1_0015 ECIAI1_2359 424 0 0 424
ECIAI1_0015 ECIAI1_1504 335 0 0 335
ECIAI1_0015 ECIAI1_3925 156 0 0 155
ECIAI1_0015 ECIAI1_1373 270 0 0 270
ECIAI1_0015 ECIAI1_2170 282 0 0 282
ECIAI1_0015 ECIAI1_0922 198 0 277 395
ECIAI1_0015 ECIAI1_3791 256 0 0 256
ECIAI1_0015 ECIAI1_3150 220 0 0 220
ECIAI1_0015 ECIAI1_2511 186 0 0 186
ECIAI1_0015 ECIAI1_2146 389 232 192 587
ECIAI1_0015 ECIAI1_0476 342 0 807 867
ECIAI1_0015 ECIAI1_2814 262 0 0 262
ECIAI1_0015 ECIAI1_4445 277 0 0 277
ECIAI1_0015 ECIAI1_3681 186 0 0 186
ECIAI1_0015 ECIAI1_4433 425 0 0 424
ECIAI1_0015 ECIAI1_3470 423 0 0 422
ECIAI1_0015 ECIAI1_3449 0 0 195 195
ECIAI1_0015 ECIAI1_2142 0 296 96 336
ECIAI1_0015 ECIAI1_2513 154 0 0 153
ECIAI1_0015 ECIAI1_2277 395 0 127 449
ECIAI1_0015 ECIAI1_2143 151 0 0 150
ECIAI1_0015 ECIAI1_1247 178 0 0 177
ECIAI1_0015 ECIAI1_2252 136 0 58 151
ECIAI1_0015 ECIAI1_4413 395 0 0 394
ECIAI1_0015 ECIAI1_1499 151 0 0 150
ECIAI1_0015 ECIAI1_3886 427 0 0 426
ECIAI1_0015 ECIAI1_4064 427 0 0 426
ECIAI1_0015 ECIAI1_0630 220 0 62 237
ECIAI1_0015 ECIAI1_3452 424 0 0 424
ECIAI1_0015 ECIAI1_3446 418 0 0 418
ECIAI1_0015 ECIAI1_0915 258 0 0 258
ECIAI1_0015 ECIAI1_3683 220 0 62 237
ECIAI1_0015 ECIAI1_0058 345 0 0 345
ECIAI1_0015 ECIAI1_4039 274 0 0 274
ECIAI1_0015 ECIAI1_3476 187 0 0 187
ECIAI1_0015 ECIAI1_3807 425 0 0 424
ECIAI1_0015 ECIAI1_4114 425 0 0 424
ECIAI1_0015 ECIAI1_3678 335 0 0 335
ECIAI1_0015 ECIAI1_3562 201 0 0 201
ECIAI1_0015 ECIAI1_2690 270 0 0 270
ECIAI1_0015 ECIAI1_1698 118 0 83 156
ECIAI1_0015 ECIAI1_1394 274 0 0 274
ECIAI1_0015 ECIAI1_3303 136 0 58 151
ECIAI1_0015 ECIAI1_1408 186 0 62 203
ECIAI1_0015 ECIAI1_3450 429 0 0 429
ECIAI1_0015 ECIAI1_3287 282 0 0 282
ECIAI1_0015 ECIAI1_1124 425 0 0 424
ECIAI1_0015 ECIAI1_3125 256 0 0 256
ECIAI1_0015 ECIAI1_3823 395 0 0 394
ECIAI1_0015 ECIAI1_0633 220 0 159 315
ECIAI1_0015 ECIAI1_3469 429 0 0 429
ECIAI1_0015 ECIAI1_0440 109 0 759 776
ECIAI1_0015 ECIAI1_3502 426 0 94 457
ECIAI1_0015 ECIAI1_3302 277 0 0 277
ECIAI1_0015 ECIAI1_4089 187 0 0 187
ECIAI1_0015 ECIAI1_2086 256 0 0 256
ECIAI1_0015 ECIAI1_1228 220 0 0 220
ECIAI1_0015 ECIAI1_0741 341 0 60 354
ECIAI1_0015 ECIAI1_2672 262 0 0 262
ECIAI1_0015 ECIAI1_1299 341 0 60 354
ECIAI1_0015 ECIAI1_2578 422 232 645 828
ECIAI1_0015 ECIAI1_4078 368 0 0 368
ECIAI1_0015 ECIAI1_3395 151 0 0 150
ECIAI1_0015 ECIAI1_3830 368 0 0 368
ECIAI1_0015 ECIAI1_1934 187 0 0 187
ECIAI1_0015 ECIAI1_4375 115 0 846 857
ECIAI1_0015 ECIAI1_2355 262 0 0 262
ECIAI1_0015 ECIAI1_0232 198 0 128 270
ECIAI1_0015 ECIAI1_3680 151 0 0 150
ECIAI1_0015 ECIAI1_0423 212 0 0 212
ECIAI1_0015 ECIAI1_2574 220 0 62 237
ECIAI1_0015 ECIAI1_2945 331 0 0 331
ECIAI1_0015 ECIAI1_0808 424 0 0 424
ECIAI1_0015 ECIAI1_2358 312 0 0 311
ECIAI1_0015 ECIAI1_3312 270 0 0 270
ECIAI1_0015 ECIAI1_1947 197 0 0 197
ECIAI1_0015 ECIAI1_3468 423 0 0 422
ECIAI1_0015 ECIAI1_3880 0 0 252 252
ECIAI1_0015 ECIAI1_2764 212 0 0 212
ECIAI1_0015 ECIAI1_3444 429 0 0 429
ECIAI1_0015 ECIAI1_2372 186 0 0 186
ECIAI1_0015 ECIAI1_3315 423 0 0 422
ECIAI1_0015 ECIAI1_0143 0 0 326 325
ECIAI1_0015 ECIAI1_0527 426 0 94 457
ECIAI1_0015 ECIAI1_3060 154 0 0 153
ECIAI1_0015 ECIAI1_4522 187 0 0 187
ECIAI1_0015 ECIAI1_1755 314 0 0 313
ECIAI1_0015 ECIAI1_2698 395 0 0 394
ECIAI1_0015 ECIAI1_0419 220 0 0 220
ECIAI1_0015 ECIAI1_2735 285 0 999 999
ECIAI1_0015 ECIAI1_3333 425 0 0 424
ECIAI1_0015 ECIAI1_0039 314 0 0 313
ECIAI1_0015 ECIAI1_2715 257 0 822 862
ECIAI1_0015 ECIAI1_3373 429 0 0 429
ECIAI1_0015 ECIAI1_3039 274 0 0 274
ECIAI1_0015 ECIAI1_3464 423 0 0 422
ECIAI1_0015 ECIAI1_3447 423 0 0 422
ECIAI1_0015 ECIAI1_1114 224 0 0 224
ECIAI1_0015 ECIAI1_2678 425 0 0 424
ECIAI1_0015 ECIAI1_3454 426 0 0 426
ECIAI1_0015 ECIAI1_4262 187 0 0 187
ECIAI1_0015 ECIAI1_1129 426 0 0 426
ECIAI1_0018 ECIAI1_0921 215 0 0 215
ECIAI1_0018 ECIAI1_2001 0 0 177 177
ECIAI1_0020 ECIAI1_3912 186 0 0 186
ECIAI1_0020 ECIAI1_3192 186 0 0 186
ECIAI1_0020 ECIAI1_0138 186 0 0 186
ECIAI1_0020 ECIAI1_0985 186 0 0 186
ECIAI1_0020 ECIAI1_0693 186 0 0 186
ECIAI1_0020 ECIAI1_4535 252 0 0 252
ECIAI1_0020 ECIAI1_0293 174 0 0 173
ECIAI1_0020 ECIAI1_0691 186 0 0 186
ECIAI1_0020 ECIAI1_0533 186 0 0 186
ECIAI1_0020 ECIAI1_0984 186 0 0 186
ECIAI1_0020 ECIAI1_4531 217 0 0 217
ECIAI1_0020 ECIAI1_4536 304 0 0 304
ECIAI1_0020 ECIAI1_0980 244 0 0 243
ECIAI1_0020 ECIAI1_1518 186 0 0 186
ECIAI1_0020 ECIAI1_0979 186 0 0 186
ECIAI1_0020 ECIAI1_0290 174 0 0 173
ECIAI1_0020 ECIAI1_3292 186 0 0 186
ECIAI1_0020 ECIAI1_1514 264 0 0 264
ECIAI1_0020 ECIAI1_3911 186 0 0 186
ECIAI1_0020 ECIAI1_2411 206 0 0 206
ECIAI1_0020 ECIAI1_3706 186 0 0 186
ECIAI1_0020 ECIAI1_3711 186 0 0 186
ECIAI1_0020 ECIAI1_3194 186 0 0 186
ECIAI1_0020 ECIAI1_1513 252 0 0 252
ECIAI1_0020 ECIAI1_3243 174 0 0 173
ECIAI1_0020 ECIAI1_2185 186 0 0 186
ECIAI1_0020 ECIAI1_2416 239 0 0 238
ECIAI1_0020 ECIAI1_4532 244 0 0 243
ECIAI1_0020 ECIAI1_0536 186 0 0 186
ECIAI1_0020 ECIAI1_1516 244 0 0 243
ECIAI1_0020 ECIAI1_4530 186 0 0 186
ECIAI1_0020 ECIAI1_2414 186 0 0 186
ECIAI1_0020 ECIAI1_4534 264 0 0 264
ECIAI1_0020 ECIAI1_0532 186 0 0 186
ECIAI1_0020 ECIAI1_3710 186 0 0 186
ECIAI1_0020 ECIAI1_2186 186 0 0 186
ECIAI1_0020 ECIAI1_3293 186 0 0 186
ECIAI1_0021 ECIAI1_1513 252 0 0 252
ECIAI1_0021 ECIAI1_3194 186 0 0 186
ECIAI1_0021 ECIAI1_3706 186 0 0 186
ECIAI1_0021 ECIAI1_3711 186 0 0 186
ECIAI1_0021 ECIAI1_3911 186 0 0 186
ECIAI1_0021 ECIAI1_3292 186 0 0 186
ECIAI1_0021 ECIAI1_1514 264 0 0 264
ECIAI1_0021 ECIAI1_0290 174 0 0 173
ECIAI1_0021 ECIAI1_2411 206 0 0 206
ECIAI1_0021 ECIAI1_3293 186 0 0 186
ECIAI1_0021 ECIAI1_3710 186 0 0 186
ECIAI1_0021 ECIAI1_0532 186 0 0 186
ECIAI1_0021 ECIAI1_2186 186 0 0 186
ECIAI1_0021 ECIAI1_2414 186 0 0 186
ECIAI1_0021 ECIAI1_4534 264 0 0 264
ECIAI1_0021 ECIAI1_0536 186 0 0 186
ECIAI1_0021 ECIAI1_1516 244 0 0 243
ECIAI1_0021 ECIAI1_4530 186 0 0 186
ECIAI1_0021 ECIAI1_2185 186 0 0 186
ECIAI1_0021 ECIAI1_3243 174 0 0 173
ECIAI1_0021 ECIAI1_4532 244 0 0 243
ECIAI1_0021 ECIAI1_2416 239 0 0 238
ECIAI1_0021 ECIAI1_0138 186 0 0 186
ECIAI1_0021 ECIAI1_0693 186 0 0 186
ECIAI1_0021 ECIAI1_0985 186 0 0 186
ECIAI1_0021 ECIAI1_3192 186 0 0 186
ECIAI1_0021 ECIAI1_3912 186 0 0 186
ECIAI1_0021 ECIAI1_1518 186 0 0 186
ECIAI1_0021 ECIAI1_0980 244 0 0 243
ECIAI1_0021 ECIAI1_0979 186 0 0 186
ECIAI1_0021 ECIAI1_4536 304 0 0 304
ECIAI1_0021 ECIAI1_4531 217 0 0 217
ECIAI1_0021 ECIAI1_0984 186 0 0 186
ECIAI1_0021 ECIAI1_0533 186 0 0 186
ECIAI1_0021 ECIAI1_0293 174 0 0 173
ECIAI1_0021 ECIAI1_4535 252 0 0 252
ECIAI1_0021 ECIAI1_0691 186 0 0 186
ECIAI1_0024 ECIAI1_1029 187 0 0 187
ECIAI1_0024 ECIAI1_0669 215 0 0 215
ECIAI1_0024 ECIAI1_3461 720 0 0 720
ECIAI1_0024 ECIAI1_3457 720 0 0 720
ECIAI1_0024 ECIAI1_3722 435 0 0 435
ECIAI1_0024 ECIAI1_3444 720 0 0 720
ECIAI1_0024 ECIAI1_0170 435 0 0 435
ECIAI1_0024 ECIAI1_3445 896 0 0 896
ECIAI1_0024 ECIAI1_3463 720 720 0 918
ECIAI1_0024 ECIAI1_3468 720 0 0 720
ECIAI1_0024 ECIAI1_2727 720 0 0 720
ECIAI1_0024 ECIAI1_3475 999 0 0 999
ECIAI1_0024 ECIAI1_2253 431 0 0 431
ECIAI1_0024 ECIAI1_3448 720 0 0 720
ECIAI1_0024 ECIAI1_3466 720 0 0 720
ECIAI1_0024 ECIAI1_0296 435 0 0 435
ECIAI1_0024 ECIAI1_3458 720 0 0 720
ECIAI1_0024 ECIAI1_0607 187 0 0 187
ECIAI1_0024 ECIAI1_3478 720 720 0 918
ECIAI1_0024 ECIAI1_2267 720 0 0 720
ECIAI1_0024 ECIAI1_1600 223 0 0 223
ECIAI1_0024 ECIAI1_1893 187 0 0 187
ECIAI1_0024 ECIAI1_3456 720 720 0 918
ECIAI1_0024 ECIAI1_3320 435 0 0 435
ECIAI1_0024 ECIAI1_0990 428 0 0 428
ECIAI1_0024 ECIAI1_3460 720 720 0 918
ECIAI1_0024 ECIAI1_3451 720 0 0 720
ECIAI1_0024 ECIAI1_3318 433 0 0 433
ECIAI1_0024 ECIAI1_4382 885 0 0 885
ECIAI1_0024 ECIAI1_2408 435 0 0 435
ECIAI1_0024 ECIAI1_4200 620 0 0 620
ECIAI1_0024 ECIAI1_3822 428 0 0 428
ECIAI1_0024 ECIAI1_2681 885 0 0 885
ECIAI1_0024 ECIAI1_4202 435 0 0 435
ECIAI1_0024 ECIAI1_3447 885 720 0 966
ECIAI1_0024 ECIAI1_3464 720 0 0 720
ECIAI1_0024 ECIAI1_3373 999 0 0 999
ECIAI1_0024 ECIAI1_2719 432 0 0 432
ECIAI1_0024 ECIAI1_3333 720 0 0 720
ECIAI1_0024 ECIAI1_4194 435 0 0 435
ECIAI1_0024 ECIAI1_4635 435 0 0 435
ECIAI1_0024 ECIAI1_4198 720 0 0 720
ECIAI1_0024 ECIAI1_3454 720 0 0 720
