node1 node2 experimental database textmining combined_score
STM0013 STM4001 505 0 0 505
STM0013 STM0095 288 0 0 288
STM0013 STM2886 218 0 58 231
STM0013 STM0656 218 0 58 231
STM0013 STM0230 286 0 0 286
STM0013 STM1350 280 0 0 280
STM0013 STM4266 259 0 65 277
STM0013 STM3710 237 0 0 237
STM0013 STM3253 270 0 0 270
STM0013 STM3613 403 0 0 403
STM0013 STM3983 279 0 0 279
STM0013 STM1641 182 0 56 194
STM0013 STM1191 474 0 0 474
STM0013 STM2089 237 0 0 237
STM0013 STM3472 493 0 90 518
STM0013 STM3426 331 0 0 331
STM0013 STM0421 234 0 0 234
STM0013 STM3437 401 0 0 400
STM0013 STM3429 504 0 0 504
STM0013 STM2673 497 0 0 497
STM0013 STM0447 50 0 311 317
STM0013 STM1651 777 0 0 777
STM0013 STM2542 188 0 0 188
STM0013 STM0425 213 0 0 213
STM0013 STM3914 251 0 0 250
STM0013 STM3072 218 0 58 231
STM0013 STM1655 251 0 0 250
STM0013 STM2305 280 0 0 280
STM0013 STM2914 237 0 0 237
STM0013 STM0945 204 0 164 306
STM0013 STM4391 474 0 0 474
STM0013 STM2472 181 0 0 181
STM0013 STM2108 237 0 0 237
STM0013 STM2648 299 0 0 299
STM0013 STM3419 294 0 0 294
STM0013 STM0070 279 0 0 279
STM0013 STM1251 119 0 163 231
STM0013 STM2848 254 0 0 254
STM0013 STM4229 162 0 0 161
STM0013 STM3813 259 0 67 279
STM0013 STM2338 181 0 0 181
STM0013 STM2321 254 0 0 254
STM0013 STM3435 355 0 0 355
STM0013 STM2122 0 324 96 362
STM0013 STM2125 297 261 233 566
STM0013 STM3427 355 0 0 355
STM0013 STM3809 119 0 163 231
STM0013 STM1712 418 0 90 447
STM0013 STM0189 182 0 56 194
STM0013 STM2964 288 0 0 288
STM0013 STM1780 218 0 0 218
STM0013 STM2881 490 0 0 489
STM0013 STM3749 284 0 0 284
STM0013 STM1365 0 0 164 163
STM0013 STM3008 234 0 0 234
STM0013 STM3423 373 0 0 373
STM0013 STM2539 481 261 163 650
STM0013 STM3448 407 0 0 407
STM0013 STM1081 288 0 0 288
STM0013 STM1116 259 0 67 279
STM0013 STM0668 323 0 0 323
STM0013 STM0487 329 0 311 517
STM0013 STM3412 259 0 65 277
STM0013 STM4149 528 0 0 528
STM0013 STM2406 234 0 0 234
STM0013 STM3430 529 0 0 529
STM0013 STM2248 259 0 67 279
STM0013 STM3068 270 0 0 270
STM0013 STM3010 285 0 0 284
STM0013 STM2070 237 0 0 237
STM0013 STM2091 237 0 0 237
STM0013 STM3418 373 0 0 373
STM0013 STM3525 213 0 0 213
STM0013 STM3727 474 0 0 474
STM0013 STM2662 288 0 0 288
STM0013 STM2379 197 0 0 197
STM0013 STM4401 255 0 0 254
STM0013 STM4369 299 0 0 299
STM0013 STM3304 506 0 0 506
STM0013 STM2324 279 0 0 279
STM0013 STM2576 254 0 0 254
STM0013 STM1179 210 0 0 210
STM0013 STM3843 507 0 0 507
STM0013 STM3433 377 0 111 422
STM0013 STM0820 251 0 0 250
STM0013 STM3808 119 0 163 231
STM0013 STM1390 259 0 65 277
STM0013 STM0642 514 0 0 514
STM0013 STM0792 288 0 0 288
STM0013 STM3780 270 0 0 270
STM0013 STM1266 259 0 65 277
STM0013 STM2681 237 0 528 624
STM0013 STM2160 259 0 65 277
STM0013 STM2526 498 0 84 520
STM0013 STM0216 359 0 0 359
STM0013 STM3568 231 0 0 230
STM0013 STM3280 251 0 0 250
STM0013 STM3440 531 0 0 531
STM0013 STM1686 213 0 0 213
STM0013 STM0186 0 0 647 647
STM0013 STM0932 237 0 0 237
STM0013 STM0272 204 0 164 306
STM0013 STM2958 177 53 0 187
STM0013 STM2535 218 0 58 231
STM0013 STM4320 259 0 65 277
STM0013 STM0041 284 0 0 284
STM0013 STM2388 279 0 0 279
STM0013 STM0012 740 261 564 909
STM0013 STM0658 218 0 58 231
STM0013 STM2676 474 0 0 474
STM0013 STM0659 535 261 163 687
STM0013 STM2581 470 0 0 470
STM0013 STM3420 0 0 241 240
STM0013 STM3416 319 0 0 319
STM0013 STM3703 213 0 0 213
STM0013 STM3268 255 0 0 254
STM0013 STM2928 506 0 0 506
STM0013 STM3441 349 0 0 349
STM0013 STM3283 349 0 0 349
STM0013 STM2323 297 0 0 297
STM0013 STM3618 218 0 58 231
STM0013 STM3743 299 0 0 299
STM0013 STM4330 0 0 309 309
STM0013 STM1187 288 0 0 288
STM0013 STM4524 187 0 0 187
STM0013 STM3446 203 0 0 203
STM0013 STM3428 406 0 0 406
STM0013 STM2798 213 0 0 213
STM0013 STM1818 280 0 0 280
STM0013 STM3296 203 0 0 203
STM0013 STM0470 294 0 0 294
STM0013 STM0071 280 0 0 280
STM0013 STM3421 530 0 0 530
STM0013 STM0536 493 0 90 518
STM0013 STM4055 471 0 0 471
STM0013 STM2682 237 0 189 354
STM0013 STM0933 255 0 0 254
STM0013 STM3917 0 0 426 426
STM0013 STM3431 509 0 0 509
STM0013 STM3344 483 0 0 483
STM0013 STM3447 372 0 0 372
STM0013 STM2660 204 0 164 306
STM0013 STM1111 508 0 175 576
STM0013 STM3315 202 0 0 202
STM0013 STM0499 259 0 65 277
STM0013 STM0354 259 0 65 277
STM0013 STM3728 474 0 0 474
STM0013 STM3303 474 0 0 474
STM0013 STM4087 243 0 0 242
STM0013 STM2299 262 0 0 262
STM0013 STM2325 389 0 0 388
STM0013 STM2643 251 0 0 250
STM0018 STM0442 276 0 180 380
STM0018 STM1623 0 0 165 165
STM0018 STM0441 506 0 0 506
STM0018 STM0443 505 0 0 505
STM0018 STM0233 334 0 0 334
STM0018 STM3865 0 0 181 181
STM0018 STM3613 252 0 0 252
STM0019 STM0283 548 0 0 548
STM0019 STM0290 0 0 161 161
STM0020 STM0656 269 0 54 278
STM0020 STM2886 269 0 90 306
STM0020 STM3328 153 0 0 152
STM0020 STM4154 369 0 0 369
STM0020 STM3211 235 0 66 254
STM0020 STM3618 269 0 54 278
STM0020 STM2924 235 0 66 254
STM0020 STM3072 269 0 54 278
STM0020 STM0658 269 0 54 278
STM0020 STM0487 171 0 78 202
STM0020 STM3415 480 0 0 480
STM0020 STM2535 269 0 54 278
STM0020 STM3741 369 0 0 369
STM0020 STM4153 475 0 0 475
STM0020 STM3568 235 0 66 254
STM0021 STM0176 244 0 0 243
STM0021 STM0301 205 0 0 205
STM0021 STM0175 205 0 0 205
STM0021 STM0027 197 0 0 197
STM0021 STM0339 244 0 0 243
STM0021 STM0022 244 0 0 243
STM0021 STM0300 244 0 0 243
STM0021 STM0196 205 0 0 205
STM0021 STM0548 0 0 164 163
STM0021 STM3639 231 0 0 230
STM0021 STM0545 244 0 175 349
STM0021 STM3028 205 0 0 205
STM0021 STM0336 225 0 0 224
STM0021 STM3638 205 0 0 205
STM0021 STM0197 244 0 0 243
STM0021 STM2150 205 0 0 205
STM0021 STM2151 244 0 0 243
