"Model","Term","Estimate","std.error","statistic","value","Network"
"OLS(Mean.sigma ~ path.length.corr","Intercept","0.00207","0.000247","8.37","0.00111","Co-functional (EcoCyc/GO-BP)"
"OLS(Mean.sigma ~ path.length.corr","Slope","-0.00024","6.3e-05","-3.75","0.01992","Co-functional (EcoCyc/GO-BP)"
"OLS(Mean.sigma ~ path.length.corr","Intercept","0.00278","0.000212","13.15","0.00019","Small/medium-scale PPI"
"OLS(Mean.sigma ~ path.length.corr","Slope","-0.00027","5.4e-05","-4.96","0.00769","Small/medium-scale PPI"
