,Trifluoperazine,Tamoxifen,Fluconazole 8ug/ml,Fluconazole 10ug/ml,L-cycloserine,Sertraline,Clomiphene
YCL052C,1.06,1.29,0.8,0.04,1.05,0,1.8
YCL053C,1.1,0.36,0.24,0.24,0.68,-0.09,0.08
YCL054W,0.45,0.5,0.35,0.79,0.08,-1.07,0.58
YCL059C,0.84,0.21,-0.55,0.1,0.4,-0.7,1.12
YCR012W,0.85,1.04,-0.52,-0.01,0.19,1.24,0.33
YCR013C,0.44,0.58,0.08,1.2,0.61,1.01,1.49
YCR035C,0,0,1.6,0.17,-0.53,-0.95,0.85
YCR052W,-3.32,-2.09,-1.82,-3.57,-5.39,-0.49,-0.06
YCR054C,-0.85,-0.69,0.17,-0.47,-0.43,-1.02,-0.28
YCR057C,-0.36,0.07,0.42,0.23,0.71,0.57,1.22
YCR072C,-0.68,-0.47,-0.98,-0.95,-0.16,-1.19,-0.48
YCR093W,-0.07,1.14,0.29,-0.83,0.87,0.04,0.77
YDL003W,0.43,0.18,0.18,1.41,0.74,-0.11,0.85
YDL004W,1.1,1.34,0.35,0.57,0.87,0,1.9
YDL007W,0.76,0.52,0.8,1.3,0.34,1.3,0.25
YDL008W,0.33,0.08,0.3,-0.27,0.74,1.25,0.63
YDL014W,-0.01,0.11,-0.65,0.13,1.11,1.29,0.22
YDL015C,0.78,0.19,0.48,-0.02,0.9,-0.79,0.81
YDL016C,-0.3,1.41,1.49,0.82,0.44,0,0.9
YDL017W,-0.07,0.85,1,1.18,0.9,0.1,0.54
YDL028C,0.34,-0.01,-0.16,-0.28,0.06,1.3,0.16
YDL029W,-0.28,-0.72,-0.36,0.45,-0.72,-0.47,-1.34
YDL030W,0.64,0.21,0.73,0.62,0.26,-0.48,1.02
YDL031W,0.35,-0.3,-0.87,0.07,0.89,0.49,-0.11
YDL043C,0.56,0.44,1.09,1.6,-0.22,1.72,1.79
YDL045C,0.59,-0.01,-1.27,-0.38,1.16,0.73,1.53
YDL055C,-0.16,0.77,-0.78,0.5,0.74,0.99,0.14
YDL058W,0.38,-0.44,-0.94,-0.21,0.11,0.23,-0.7
YDL060W,0.06,-0.36,0.84,0.81,0.48,1.33,-0.29
YDL064W,0.52,-0.9,-0.53,0.62,-0.85,0.72,-0.69
YDL084W,0.72,0.1,0.61,-0.52,0.38,0.23,0.03
YDL087C,-1.33,0.35,-1.09,-1,0.63,0.74,-0.15
YDL092W,0.46,-0.19,0.39,0.24,-0.49,1.15,-1.19
YDL097C,0.09,0.73,1.72,0.68,1.07,0.63,1.53
YDL098C,0.39,0.14,0.16,0.17,0.59,-0.62,1.01
YDL102W,0.25,0.41,0.96,0.17,-0.68,-0.57,-0.03
YDL103C,-0.77,-0.24,0.04,-1.12,-0.04,0.43,-0.49
YDL105W,1.61,0.28,1.07,-0.11,1.04,0.17,2.31
YDL108W,-0.18,1.38,-0.26,0.17,-0.31,-0.75,0.6
YDL111C,0.57,0.98,0.36,2.15,-0.82,0.34,-0.59
YDL120W,-0.18,-0.31,-0.31,0.63,0.64,0.42,-1.1
YDL126C,0.31,0.25,0.65,0.55,-0.28,-0.37,-0.01
YDL132W,1.06,0.49,0.25,-0.34,0.64,-0.49,0.16
YDL139C,0.21,1.06,1.12,-0.01,0.17,-0.01,-0.26
YDL140C,-0.28,-0.68,-1.35,-1.16,-0.96,0.38,0.81
YDL141W,-1.22,-0.83,0.48,0.45,-0.39,-1.54,0.41
YDL143W,0.42,0.23,0.27,-1.07,-0.43,0.59,0.08
YDL145C,0.29,0.5,0.21,1.01,0.88,0.15,0.29
YDL147W,0.29,1.89,1.85,0.33,-0.73,0.39,0.84
YDL148C,-0.16,-0.48,0.15,-0.14,-0.55,0.05,-0.88
YDL150W,0.21,0.85,0.76,0.5,0.6,0.48,1.54
YDL152W,0.62,0.32,-0.01,0.86,0.26,-1.22,1.2
YDL153C,1.31,0.52,-0.01,-0.74,0.84,0.68,0.12
YDL163W,1.32,0,1.56,0,1.16,0,0
YDL164C,0.04,-0.09,-0.17,-0.28,0.51,0.78,-0.84
YDL165W,-0.13,0.2,0.18,-0.53,1.03,1.84,0.12
YDL166C,0.12,0.62,0.57,0.44,0.26,0.35,1.03
YDL193W,0,0,0,0,0,0,0
YDL195W,0.34,0.01,1.09,0.83,0.3,0.05,1.11
YDL196W,0.46,0.81,0.53,0.54,0.58,-0.3,0.21
YDL205C,1.07,1.23,0.11,-1.58,-0.04,0.8,0.57
YDL207W,-0.21,0.37,0.76,0.05,0.39,-0.53,-0.65
YDL208W,1.56,-0.34,0.92,1.19,-0.47,1.28,0.51
YDL209C,0.54,0.31,0.48,0.31,0.79,-0.26,0.54
YDL212W,0.34,0.21,0.53,0.41,-0.11,0.05,0.41
YDL217C,0.72,0.32,-0.33,0.78,0.68,0.7,0.71
YDL220C,-0.1,-0.25,1.33,0.72,-0.92,-0.48,-0.33
YDL221W,0.39,1.02,1.31,-1.04,0.24,0.71,0.65
YDL235C,0.19,0.29,-0.52,-0.09,0.15,0.03,0.71
YDR002W,1.11,0.42,1.34,-0.14,0.68,-0.01,1.05
YDR013W,1.38,0.45,0.62,-0.21,1.05,0.48,1.4
YDR016C,0.35,-0.8,-0.91,-0.12,0.16,-0.04,-0.31
YDR021W,-0.81,-0.42,-0.84,0,-0.08,-0.13,-0.34
YDR023W,0.31,-0.22,0.14,0.09,0.5,-0.08,-0.42
YDR037W,0.37,-0.91,-0.24,0.24,-0.77,0.41,0.53
YDR041W,-0.47,-1.64,-0.39,-0.07,-2.03,-1.8,-2.56
YDR044W,0.41,0.33,-0.03,-1.09,-0.29,0.82,0.97
YDR045C,1.36,1.19,0.54,0.63,0.49,1.08,0.37
YDR047W,0.23,-0.41,-0.39,-0.46,-0.77,-1.49,-0.66
YDR050C,0.37,0.49,1.03,-1.22,0.59,-0.59,1.21
YDR052C,1.03,1.27,1.14,-0.21,-0.08,-0.02,1.35
YDR053W,0.59,0.43,0.53,-0.03,1.14,1.23,0.16
YDR054C,-1.3,1.01,0.4,-0.61,-0.52,0.21,-0.04
YDR060W,-0.06,-0.83,-0.4,0.73,-0.74,-0.11,-1.57
YDR062W,-0.47,-0.54,-0.32,0,-3.55,-0.16,-0.85
YDR064W,1.28,0.56,-2.33,0.16,0.45,0.63,0.2
YDR081C,0.23,-1.28,-0.84,-0.68,0.52,1.35,-0.22
YDR082W,-0.51,0.91,0.38,-1.71,0.7,-0.84,0.59
YDR086C,1.09,1.25,0.43,-0.29,-1.87,-1.39,0.37
YDR087C,0.55,0.31,1.13,0.22,0.18,0.99,1.09
YDR088C,0.77,-0.95,-1.39,-1,-0.86,0.51,-0.93
YDR091C,0.93,1.11,-0.12,-0.47,0.38,0.34,1.72
YDR113C,0.29,0.36,0.38,0.35,0.64,-0.53,0.16
YDR118W,0.42,-0.38,-0.45,-0.02,-0.18,0.17,-0.49
YDR141C,-2.7,-2.58,0.58,-0.98,-0.54,-0.87,0.39
YDR145W,0.18,0.49,0.05,-0.04,0.44,-0.26,0.98
YDR160W,-0.84,-0.41,-0.12,0.76,-0.56,-1.11,-0.73
YDR164C,0.22,-0.58,-0.48,1.37,0.73,-0.56,-0.19
YDR166C,0.68,0.62,0.44,0.74,0.92,1.61,0.24
YDR167W,-0.02,-0.55,0.05,2.13,0.17,-0.03,0.06
YDR168W,-0.98,0.16,1.08,0.23,-0.04,-1.63,0.11
YDR170C,1.34,0.47,1.24,1.5,1.18,0.36,0.88
YDR172W,-0.05,-0.69,0.69,0.5,0.25,-0.58,-0.33
YDR177W,-0.19,-1.2,-0.26,0.04,-0.68,0.2,-0.62
YDR180W,-0.69,-0.25,-0.25,-0.17,0.32,-0.06,-0.96
YDR182W,-0.65,-0.73,-0.1,1.14,0.22,0.63,-0.42
YDR187C,1.2,2.11,0.52,-1.27,0.53,0.99,2.15
YDR188W,0.38,0.04,-2.69,-3.23,0.55,1.66,-0.76
YDR189W,-3.32,0.67,1.71,0.8,0.08,-0.2,-0.32
YDR190C,0.17,-0.55,-0.49,-0.47,0.56,-0.57,-0.5
YDR196C,-0.37,-1.35,-1.32,-0.29,0.08,-0.1,-0.5
YDR201W,-1.21,0.54,-0.26,0.44,-0.5,0.53,0.07
YDR208W,0.4,-0.71,-0.65,0.16,-0.95,-1.63,-0.54
YDR211W,-0.06,-0.79,-1.85,-1.52,-0.4,-0.68,-1.3
YDR212W,1.24,-0.37,-2.7,-3.77,-1.11,0.04,-0.48
YDR224C,0.12,0.28,0.62,1.67,0.17,-1.09,-0.46
YDR228C,1.11,0.68,0.77,-0.02,0.54,0.77,0.54
YDR232W,0.21,1.06,0.12,0.11,0.79,-0.15,0.16
YDR235W,0.97,0.37,-0.82,-0.69,-0.05,0.67,0.24
YDR236C,-0.37,-0.59,-0.37,-0.1,-1.09,-0.27,-1.03
YDR238C,0.57,-0.15,-0.12,2.07,1.04,-0.49,0.24
YDR240C,1.21,0.64,0.52,0.45,0.52,0.47,1.03
YDR243C,-0.39,-0.4,0.31,0.49,0,1.25,-0.01
YDR246W,0.34,0.2,1.16,1.36,1.17,-0.29,1.39
YDR267C,0,0,0,0,2.11,0,0
YDR280W,-0.61,0.87,1.57,-0.38,-0.44,1.44,0.71
YDR288W,0.56,-0.2,-0.62,-0.9,-1.29,0.28,-0.41
YDR292C,-0.66,0.84,0.35,-0.34,-0.34,-1.86,-0.21
YDR299W,0.53,-1.06,-1.94,-1.11,-1.24,-0.47,-1.92
YDR301W,0.43,-1.17,0.56,-0.71,-1.64,-1.15,-0.56
YDR302W,1.25,0.32,-0.16,-1.08,-0.85,-1.15,0.25
YDR303C,0.73,0.72,-0.32,-0.53,1.06,1.49,1.37
YDR308C,-0.09,0.19,-1.08,0.5,0.21,-0.21,-0.45
YDR311W,-0.77,0.01,-0.25,-1.11,-1.58,-1.53,-1.59
YDR324C,0.68,0.8,-0.93,0.65,0.03,0.55,-0.42
YDR325W,0.35,0.57,0.24,0.58,1.73,1.06,1.76
YDR327W,0,1.04,0,0,0.47,0,0
YDR328C,-0.49,-0.33,-0.2,0.17,0.9,0.71,-0.75
YDR331W,1.35,0.67,1.91,1.19,1.12,0.2,0.46
YDR339C,0.51,0.75,0.3,0.68,0.99,1.36,0.29
YDR341C,-0.69,0.68,0.72,0.17,0.88,-0.29,1.56
YDR353W,0.37,0.36,-0.43,-1.62,1.46,1.94,0.03
YDR355C,0.29,-0.26,-0.36,-0.04,-0.15,0.68,-0.6
YDR356W,-0.47,-0.11,0.21,-0.34,0.49,-0.18,0.86
YDR361C,0.67,-0.44,-0.54,-0.72,-0.43,-0.35,-0.86
YDR362C,0.18,0.15,-0.37,-0.55,-0.65,0.51,-1.08
YDR365C,0.21,0.32,0.25,-0.08,0.66,0.96,0.68
YDR367W,-0.61,2.06,0.51,-0.82,0.15,1.01,1.05
YDR373W,-1.06,-0.72,-0.43,-0.65,-0.56,-1.87,-0.83
YDR376W,0.36,2.08,1.25,-0.23,0.11,1.37,0.36
YDR381W,0.29,-0.1,0.52,0.61,0.13,0.31,-0.22
YDR390C,-0.02,-0.3,0.15,-1.15,0.07,-0.23,-0.37
YDR394W,0.66,1.2,0.46,0.66,-0.17,0.32,-1.31
YDR396W,-0.51,0.01,-0.65,0.18,-0.18,1.42,0.08
YDR397C,0.88,0.75,0.22,0.07,0.2,1.21,-0.48
YDR398W,0,0,1.64,-0.53,1.15,-0.39,1.26
YDR404C,0.13,0.2,-2.26,-3.87,-0.25,0.57,0.29
YDR407C,-0.34,-1.71,0.11,-0.68,-1.2,0.45,-0.94
YDR412W,0.7,0.11,-0.33,0.29,-0.35,0.99,-0.48
YDR413C,0.77,0.48,-0.85,0.13,1.29,-0.21,2
YDR416W,-0.28,-0.74,-0.95,0.37,0.31,-0.62,-0.32
YDR427W,-2.27,-1.83,-0.79,-0.31,-2.11,-2.21,-2.53
YDR429C,-0.16,1.04,-0.5,-0.27,-0.09,-0.12,-0.69
YDR434W,0.44,-0.88,0.16,0.21,-0.17,-0.2,-0.81
YDR437W,0.42,0.33,0.45,0.84,0.26,1.18,0.5
YDR449C,-0.27,1.22,-0.7,0.29,0.73,0.62,0.43
YDR454C,0.84,-0.03,-0.19,-0.4,-0.01,-1.18,-0.75
YDR460W,-0.76,0.24,-0.07,-0.31,-0.11,-0.53,-0.19
YDR464W,0.77,0.45,-0.23,0.98,0.72,1.05,0.79
YDR468C,-0.1,0.54,-0.3,1.08,-0.35,1.2,0.76
YDR472W,1.02,0.96,2.28,0.85,1.48,-1.46,1.17
YDR473C,0.16,0.77,1.43,-0.31,-0.27,-1.46,1.33
YDR478W,-0.13,0.08,0.49,0.29,0.55,-1.54,0.25
YDR487C,-2.9,0.01,-0.57,-0.16,-0.98,-0.46,0.37
YDR489W,-0.06,0.14,0.88,0,0.69,-0.08,0.76
YDR498C,0.04,0.64,-0.24,0.07,-0.87,-1.57,-1.03
YDR499W,1.06,-0.89,-0.7,-0.6,0.24,-0.75,-0.53
YDR510W,-0.01,-0.51,-0.63,-0.87,-0.71,0.15,-0.76
