,Trifluoperazine,Tamoxifen,Fluconazole 8ug/ml,Fluconazole 10ug/ml,L-cycloserine,Sertraline,Clomiphene
YGL128C,0.39,0.41,-0.29,-0.14,0.25,-2.11,-0.11
YGL130W,-0.6,-0.22,-0.44,1.01,-0.23,0.75,-0.16
YGL137W,0.43,-1.63,-0.44,1.29,-0.13,-0.45,-1.2
YGL142C,1.1,0.69,0.05,0.08,1.48,1.21,1.48
YGL145W,0.35,1.39,0.37,-0.26,0.94,-0.84,0.95
YGL150C,-1.51,-0.1,2.03,0.75,-0.51,-0.72,0.14
YGL155W,0.3,-0.86,-0.64,0.19,1.06,0.13,0.04
YGL169W,0.91,-0.04,-1.69,-2.68,0.6,0.07,0.33
YGL171W,1.31,-0.24,-0.12,0.36,-0.26,0.51,-0.66
YGL172W,1.07,-0.01,-0.71,-0.61,0.67,0.79,0.86
YGL201C,0.36,-0.07,0.28,0.28,0.04,-0.47,0.62
YGL207W,1.05,0.27,0.02,0.97,0.17,1.9,0.22
YGL225W,0,0,0,0,0,0,0
YGL233W,0.1,0.38,0.5,0.44,0.69,0.26,0.49
YGL238W,-0.01,-0.36,-0.5,-0.17,-0.4,-1.32,-0.16
YGL245W,1.1,0.77,1.37,-0.82,0.94,-0.32,1.62
YGL247W,0.87,0.31,0.34,0.57,-0.44,1.51,-0.23
YGR002C,0.38,0.75,-0.88,-2.07,-0.72,1.9,0.75
YGR005C,0.95,0.31,-0.74,-1.27,-0.02,0.7,-0.48
YGR009C,-0.59,0.37,-0.1,-0.28,0.21,-0.28,0.72
YGR013W,0.5,0.03,1.03,0.24,0.3,-0.22,0.87
YGR024C,0.89,-0.11,-1.02,-0.78,0.45,0.52,0.37
YGR029W,-0.57,-0.11,0.87,0.35,1.41,0.59,0.45
YGR030C,0.48,0.48,0.81,-0.1,0.41,0.27,0.2
YGR046W,-0.32,0.28,-0.13,0.47,0.2,0.15,0.61
YGR047C,0,-0.14,1.11,0.52,0.59,0,1.05
YGR048W,0.16,-0.47,0.6,0.96,0.18,0.6,0.39
YGR060W,0.33,-0.1,0.97,0.07,-0.72,-1.6,-0.73
YGR065C,0.42,-0.59,0.62,0.5,-0.53,-0.33,0.06
YGR073C,0.29,0.44,0.36,-0.49,0.82,0.26,0.41
YGR074W,0.19,0.03,1.01,0.54,-0.46,0.26,0.36
YGR075C,0.94,-0.16,0.29,-0.48,-0.6,-0.16,-0.45
YGR082W,0.89,-0.61,-0.48,1.28,0.06,0.7,-0.36
YGR083C,-0.32,-0.35,-0.22,0.46,-0.77,-0.35,0.07
YGR090W,-0.18,0.63,-0.09,-0.5,-0.84,0.21,0.16
YGR091W,0,1.13,0,0,1.3,0,2.46
YGR094W,-0.14,0.26,1.46,-0.31,-1.3,0.78,1.02
YGR095C,0.31,0.81,0.22,0.55,-0.22,0.54,-0.12
YGR098C,0.56,-0.23,-1.06,-0.38,-0.2,-0.33,-0.63
YGR099W,0.55,0.9,0.88,0.88,0.33,-0.41,0.89
YGR103W,0.41,0.63,-0.28,0.5,0.79,0.2,0.89
YGR113W,0.97,0.49,0.92,-0.19,0.47,0.52,1.07
YGR114C,0,0,0,0,0.84,0,0
YGR115C,2.12,1.93,0.03,1.7,1.93,2.78,0.77
YGR116W,0.17,0.41,0.87,1.73,0.66,0.56,0.36
YGR119C,0.34,0.78,0.15,-0.29,-0.19,-0.11,0.42
YGR120C,0.37,0.79,0.07,-0.54,1.11,-0.22,0.27
YGR128C,0.22,-0.43,0.02,1.32,0.56,0.2,-0.3
YGR140W,0.93,0.54,0.04,0.88,-0.21,0.58,1.06
YGR145W,0.3,-0.57,0.12,0.37,0.6,-0.14,-0.13
YGR147C,-0.56,-0.64,-0.57,-0.23,-0.22,-0.04,-0.31
YGR156W,0.47,0.29,0.51,0.1,-0.09,0.2,0.62
YGR158C,0.21,1.45,-0.31,1.32,0.27,1.1,0.27
YGR172C,1.45,0.85,0.2,0.99,0.57,0.44,1.19
YGR175C,0.93,0.68,0.75,0.45,0.56,-0.87,0.8
YGR179C,0.15,0.89,1.36,0.22,1.2,-0.23,0.82
YGR185C,0.36,0.74,1.21,1.35,0.67,0.68,0.08
YGR186W,0.26,1.16,0.5,-1.11,0.14,1.61,0.91
YGR190C,0,0.17,0.62,0.56,0.51,-0.54,-0.24
YGR191W,1.08,0.11,1.37,-0.45,0.1,-0.24,0.98
YGR195W,0.53,0.51,-0.72,-0.03,0.51,0.74,0.1
YGR198W,0.82,1.6,1.07,-1.06,0.43,0.78,0.27
YGR211W,-0.05,0.05,0.2,0.23,0.04,0.22,0.21
YGR216C,0.57,-0.71,1.29,0.03,1.26,-0.57,-0.38
YGR218W,0.78,-0.16,-0.25,0.21,1.03,1.68,-0.46
YGR245C,0.49,0.65,-0.09,-0.28,-0.74,-0.16,-0.32
YGR246C,-0.42,-0.37,-0.73,-0.95,-1.12,-1.04,-0.17
YGR251W,-0.18,0.02,-0.62,-0.43,0.02,0.12,0.26
YGR253C,-1.17,0.7,-0.96,0.68,-0.98,0.85,-0.51
YGR264C,0.39,0.18,0.29,-0.66,0.28,0.05,-0.41
YGR265W,-0.35,-0.14,-0.04,0.71,-1.08,0.92,0.01
YGR267C,-0.45,-1.01,1.14,0.58,-0.83,-1.05,-0.16
YGR274C,0,0.25,0.12,-1.7,0.94,0.19,1.44
YGR277C,0.75,-0.55,-0.22,0,-0.35,-0.53,-0.28
YGR278W,-0.49,-0.87,0.49,-0.92,-1.5,0.16,-1.99
YGR280C,-0.93,-0.36,-0.05,-1,-0.46,-0.81,-0.58
YHL015W,1.22,1.29,-0.48,0.64,0.44,0.1,0.18
YHR005C-A,0.76,0,-0.87,0.02,-0.3,-0.22,-0.28
YHR007C,-0.18,0.24,-6.6,-6.93,-0.44,-0.67,-0.04
YHR019C,0.5,1.38,1.76,0.66,1.05,-0.16,1.47
YHR020W,-0.29,0.41,1.6,0.07,0.25,-1.05,-0.29
YHR023W,-1.31,-0.76,-0.62,-0.05,-0.67,1.18,-0.54
YHR024C,0.19,-0.21,-0.63,-0.14,0.37,-0.18,-1.16
YHR036W,0.32,0.48,0.2,0.63,0.49,1.32,0.14
YHR040W,0.27,0,0.54,-1.16,0.51,-0.16,1.36
YHR042W,-0.82,-0.66,-0.66,-2.72,-0.36,0.63,-0.06
YHR058C,-1.03,-0.38,0.48,-0.54,0.78,-0.16,-1.05
YHR062C,0.52,0.55,0.39,0.6,0.02,-1.24,-0.14
YHR065C,1.02,-0.04,0.55,1.23,0.32,-0.28,0.47
YHR068W,1.11,0.38,0.04,0.33,-0.63,0.55,-0.11
YHR069C,1.47,1.25,-1.23,0.05,0.23,0.33,0.31
YHR070W,-0.45,-0.16,-0.32,1.08,-0.35,-0.42,-0.64
YHR072W,0.98,-0.51,-1.02,1.19,-0.87,1.5,-0.12
YHR074W,0.41,0.83,0.41,-0.55,1.01,1.24,1.23
YHR083W,0.71,0.9,-0.25,0.57,-0.51,-0.22,-0.54
YHR085W,0.51,1.23,0.89,-0.74,0.32,-0.03,-0.71
YHR088W,0,0,0,0,0,0,0
YHR101C,0.04,0.81,-0.17,0.26,1.53,1.44,0.49
YHR107C,-0.39,-0.73,0.14,1.01,-0.15,-0.07,-0.7
YHR118C,0,0,1.78,0,1.23,-1.27,1.95
YHR122W,-0.96,-0.25,-0.38,-0.65,-1.38,0.03,-0.83
YHR143W-A,0.56,-0.44,0.79,0.8,0.83,0.98,-0.06
YHR148W,0.99,1.35,-0.56,1.03,0.89,1.19,1.35
YHR164C,-1.09,-0.67,-0.88,-0.45,-0.35,-1.48,-0.76
YHR166C,0,0,0,0,0,0,0
YHR170W,-2.46,-3.29,-0.48,0.86,-1.04,-3.81,-2.47
YHR172W,0.4,-0.05,0.84,0.55,-0.96,-0.49,0.04
YHR186C,-0.24,-1.45,-0.16,0.22,0.52,0.45,-0.54
YHR188C,-0.02,0.51,-0.9,0.22,0.31,-0.37,-0.56
YHR190W,0.18,0.1,-0.22,-1.68,-0.54,0.06,-0.7
YHR196W,-0.74,0.18,-0.16,0.11,-0.71,-0.29,-1.25
YHR197W,0,0,0,0,0,0,0
YIL003W,-1.71,1,-0.55,-0.85,-0.9,0.77,-0.83
YIL004C,1.18,-0.22,-1.09,-0.65,0.4,0.07,-0.16
YIL019W,0.19,-0.67,0.59,0.81,0.52,0.62,-0.05
YIL021W,-0.8,-0.25,0.19,-1.03,0.61,0.14,-0.09
YIL022W,-0.3,0.1,0.84,1.69,0.05,0.53,-0.5
YIL026C,-0.76,-0.12,1.06,0.21,-0.38,0.44,-0.89
YIL031W,1.14,0.4,1.1,0.02,-0.02,-0.26,-0.13
YIL046W,-0.39,0.18,0.09,1.43,1.26,1.39,0.24
YIL048W,-8.66,-7.82,-2.32,-1.37,-0.61,-1.79,-1.58
YIL051C,-0.88,-0.6,-0.01,1.81,1.18,0.05,0.52
YIL061C,0.39,0.38,0.14,1.13,0.2,1.74,-0.05
YIL062C,-0.21,-0.74,-0.72,0.93,0.28,0.28,-0.23
YIL063C,1.03,1.03,0.38,0.79,0.87,1.29,0.18
YIL068C,-0.21,1.29,-0.31,-0.03,0.78,0.62,1.27
YIL075C,1.46,-0.8,0.73,1.68,0.7,-0.38,0.75
YIL078W,1.17,0.09,-0.45,-0.29,-0.06,1.25,0.55
YIL083C,0.22,0.38,-0.02,0.77,0.37,-0.26,1.39
YIL091C,-0.31,-0.71,-0.69,-0.48,0.15,-0.07,-0.24
YIL104C,-0.26,0.12,0.61,0.98,-0.81,0.42,0.25
YIL106W,-0.27,-0.32,-0.62,0.19,-1.01,-0.32,-0.53
YIL109C,0.81,0.46,0.56,2.13,-1.59,-0.71,-1.53
YIL115C,-1.06,-0.97,0.09,0.04,0.01,1.58,-0.71
YIL118W,-0.68,0.8,-0.05,-0.7,-0.85,0.03,-0.27
YIL126W,-0.56,0.13,0.32,-2.03,0.23,-0.75,0.04
YIL129C,0.09,-1.63,-0.37,-0.14,-0.89,-0.42,-1.16
YIL142W,0.9,0.25,-1.59,-0.4,0.25,-0.55,1.57
YIL143C,2.54,0.34,0.47,0.82,2.06,1.77,0.55
YIL144W,-0.92,-2.03,0.82,0.73,-0.77,0.81,-1.27
YIL147C,0.06,0.59,-0.67,0.81,0.26,0.13,0.54
YIL150C,-0.04,0.45,-0.22,-0.11,0.19,2.33,-0.2
YIL171W,-0.4,0.21,0.47,0.22,0.65,-0.19,-0.51
YIR006C,-1.13,1.3,-0.01,-0.92,0.01,-0.47,-0.28
YIR008C,-0.46,-0.41,-0.65,-0.25,-0.88,-1.1,-1.19
YIR010W,-0.55,-0.44,-1.19,-1.98,-0.84,-1.95,-2.52
YIR011C,0.56,0.12,0.14,-0.91,-0.64,0.32,0.03
YIR012W,-0.04,-1.18,-0.31,-0.42,-0.18,0.67,-0.15
YIR015W,0.03,-1.34,0.7,-0.13,0.42,0.33,0.06
YIR022W,0.02,-0.52,0.2,-0.32,-1.37,-1.29,-0.59
YJL001W,0.69,1.87,-0.18,1.49,1.34,1.22,1.33
YJL002C,-0.14,-0.51,-0.33,-0.29,0.35,-0.95,0.54
YJL005W,1.21,0.06,-0.91,-1.05,0.98,0.61,-0.04
YJL008C,0,0,0,0.61,0,0,0
YJL009W,0.58,-0.36,-2.28,-2.53,-1.71,0.82,-0.79
YJL010C,-0.22,-0.5,0.54,2.11,0.46,0.77,-0.54
YJL011C,0.66,-0.28,-1.12,-0.32,-0.82,-0.17,-0.82
YJL014W,-0.51,-0.05,-1.78,-1.78,-2.83,-0.38,-1.08
YJL015C,-1.19,0.58,0.27,-0.08,0.49,-0.67,-0.04
YJL018W,-0.42,0.51,0.86,-0.31,0.51,-0.39,0.4
YJL019W,-0.36,0.64,1.15,0.51,1.53,0.97,1.16
YJL025W,-0.85,-0.71,0.18,0.68,-1.03,0.1,-0.85
YJL026W,-0.69,0.17,-0.69,0.49,0.07,-0.18,-0.27
YJL031C,0.45,0.58,1.04,0.39,0.86,1.25,0.76
YJL032W,0.74,0.35,0.71,0.17,0.28,0.17,0.06
YJL033W,-0.35,0.01,-0.02,0.09,-0.86,-0.48,-0.17
YJL034W,0,0,0,0,0,0,0
YJL035C,-0.04,-0.47,-0.56,0.46,-0.07,0.42,0.08
YJL039C,-0.66,0.32,-0.16,-0.69,-0.12,-0.05,-0.38
YJL041W,-1.44,-0.4,1.02,0.32,0.39,-1.04,-0.97
YJL050W,-0.44,-0.97,-2.72,-3.05,0.2,0.03,0.15
YJL054W,-7.39,-6.13,-1.01,0.08,1,-0.66,1.63
YJL061W,-0.08,-0.99,0.94,0.98,-0.67,-0.76,-0.54
YJL069C,-0.59,-0.21,-0.43,1.52,0.31,2.28,-0.15
YJL072C,1.23,0.19,1.17,0.51,1.27,0,0.76
YJL074C,0.17,-0.27,0.16,0.04,0.68,0.4,-0.25
YJL076W,0.28,0.42,-0.12,-0.07,0.54,-0.97,0.36
YJL081C,-0.03,0.95,1.09,-0.12,-1.25,-0.96,0.45
YJL085W,-0.28,0.24,-0.12,0.89,0.03,0.9,-0.24
YJL086C,-0.13,0.68,-0.31,-0.64,0.75,-1.24,-0.28
YJL087C,-0.15,-0.59,-0.47,0.6,0.28,-0.07,-0.49
YJL090C,-0.53,0.11,0.83,0.66,-0.67,-0.65,-0.62
YJL091C,1.34,-0.16,-0.46,-1.05,0.39,-1.12,1.01
YJL097W,-1.15,0.16,0.9,0.4,-0.24,-0.37,-0.6
YJL104W,-0.08,-0.08,-0.6,0.53,-0.1,0.34,-0.19
YJL109C,-0.07,-1.83,-0.14,-0.31,0.12,0.38,-1.04
YJL111W,0.73,0.48,0.71,0,-0.36,-0.75,0.04
YJL125C,-0.16,-0.5,-0.17,0.55,-0.06,0.07,-0.15
YJL143W,0.73,0.78,0.93,2.71,2.11,0.51,0.59
YJL156C,-2.6,-1.16,-0.87,-0.66,-1.44,-0.38,-0.99
YJL167W,-1.11,-0.49,-0.62,0.52,-0.64,-0.87,-0.96
YJL173C,-1.28,-0.84,-0.26,-1.08,-2.46,-0.95,-0.63
YJL174W,-0.98,-1.29,-0.98,-0.15,-1.62,0.52,-1.7
YJL194W,-0.2,0.04,-0.36,1.28,0.98,-0.66,-0.12
YJL195C,0.28,-0.63,-3.23,-3.14,-0.44,-0.61,-0.56
YJL202C,-0.3,-1.26,-0.02,0.09,-0.42,-1.14,-0.99
YJL203W,0.48,0.17,0.26,0.12,0.51,-0.69,-0.86
YJR002W,-0.44,0.23,-0.41,0.6,-0.28,0.78,0.9
YJR006W,0.06,0.25,-0.1,0.78,0.6,0.82,0.07
YJR007W,0.26,0.87,0.39,-0.25,1.25,0.23,0.98
YJR012C,0.07,0,0,0,0,0,0
YJR013W,-0.11,0.19,1.49,0.4,0.31,-0.11,-0.21
YJR016C,-0.49,-1.95,-0.6,-0.61,-0.98,-2.01,-1.01
YJR017C,-0.67,0.03,-0.85,0.94,1.53,0.19,-0.72
YJR022W,0.53,0.24,-0.94,-0.23,0.06,1.88,-0.56
YJR023C,-0.64,0.71,-0.19,0.43,0.91,1,-0.45
YJR041C,-0.2,-0.45,-0.97,0.32,-0.37,-0.19,-0.35
YJR042W,0.36,-0.55,-2.34,-1.71,-0.43,-1.46,-1.1
YJR045C,0.29,-0.6,-0.25,0.24,-0.03,0.02,-0.78
YJR046W,0,0,0,0,0,0,0
YJR057W,-0.07,0.11,0.18,0.1,-0.01,-0.4,0.39
YJR064W,-0.8,0.24,-0.4,-1.23,-0.64,-0.43,0.08
YJR065C,-0.25,0.03,-1.66,-0.21,0.07,0.63,-0.35
YJR067C,-0.81,-0.78,0.82,0.59,0.07,0.07,0
YJR068W,0.53,0.2,0.46,0.14,0.63,-0.03,-0.2
YJR072C,-0.17,-0.67,-0.41,1,0.33,-0.87,-1.72
YJR076C,0.98,0.86,-1.45,-1.22,0.11,0.54,-0.56
YJR093C,-0.14,-1.33,-0.52,0.75,0.37,-0.39,-0.6
YJR112W,0.46,-0.41,-0.48,0.12,0.26,0.67,0.1
YJR123W,0.63,-0.82,-1.25,-0.2,0.18,0.81,-2.21
YJR141W,0.37,-0.25,-0.45,-0.23,0.65,-0.32,0.17
YKL004W,0.51,0.92,0.29,-1.12,0.46,0,1.26
YKL006C-A,1.06,-0.2,-0.15,-0.13,1.09,1.05,0.53
YKL012W,-0.38,0.04,-0.74,0.02,0.64,0.5,0.02
YKL013C,0.69,-0.08,-0.92,-0.46,0.66,0.49,0.29
YKL014C,-0.29,-1.31,-0.63,0.25,-1.25,0.04,-2.14
YKL018W,0.93,-0.16,1.09,0.01,0.69,-0.68,-0.14
YKL019W,0.11,-1.16,1.3,0.3,0.2,-0.77,0.12
YKL021C,0.69,0.55,-0.22,-0.87,0.89,-0.23,0.48
YKL022C,1.32,0.86,0.06,0.14,-0.78,0.07,-0.68
YKL024C,-0.47,-0.94,-1.15,-0.34,-0.24,0.55,0.34
YKL028W,1.14,-0.45,1.09,0.57,1.12,-0.53,-0.33
YKL033W,-0.3,-0.09,0.23,-0.36,-0.28,-0.65,0.55
YKL035W,-0.23,0.7,-0.99,-1.02,-0.02,1.42,0.74
YKL036C,-0.21,-0.65,0.22,-0.66,-0.08,-0.22,-0.57
YKL042W,0.25,1.09,0.04,-0.11,0.56,-0.1,0.28
YKL045W,0.67,0.68,-0.26,0.18,1.05,0.41,0.64
YKL049C,0.63,1.08,-0.32,0.34,0.13,-1.14,0.35
YKL052C,0.62,-0.29,0.44,-0.26,-0.71,-0.84,0.14
YKL058W,0.62,0.35,0.69,0.79,0.3,0.58,-0.26
YKL059C,0.82,0.3,-0.28,1.62,-0.3,0.36,1.65
YKL060C,0,1.1,1.41,0,0.46,-0.73,1.12
YKL078W,-0.72,0.36,0.59,0.36,-0.47,0.8,0.29
YKL082C,-1.66,-1.52,-0.01,0.29,-1.43,-0.36,-2.73
YKL083W,0.45,-0.41,0,0.68,-0.43,0.57,0.72
YKL088W,0.54,1.22,0.15,0.87,-0.15,1.13,-0.14
YKL089W,0.62,0.13,0.47,0.39,0.04,-0.57,0.01
YKL095W,0.9,0.23,-0.15,0.91,0.3,-0.14,0.58
YKL099C,0.16,-0.14,-1.65,0.22,-0.18,-0.64,-0.38
YKL104C,1.21,0.29,0.05,-0.03,0.02,-0.44,-0.16
YKL108W,0.88,0.77,0.82,0.68,-0.16,1.64,0.96
YKL111C,-1.92,-1.01,0.14,0.37,-0.13,1.39,0.44
YKL112W,-0.49,-0.08,-1.8,0.29,0.08,-0.37,-0.22
YKL122C,-0.34,-1.14,-0.49,-0.59,-1.16,-0.67,-1.26
YKL125W,0.18,0.45,0.76,-0.2,0.89,0.4,0.88
YKL141W,0.45,0.28,0.5,0.17,0.26,-0.18,1
YKL144C,0.69,-0.27,-0.07,0.1,0.17,-0.58,-0.46
YKL145W,1.17,-0.46,-0.9,0.26,0.22,0.48,-0.18
YKL152C,1.36,-1.09,-0.7,0.24,-1.91,1.69,-0.16
YKL153W,0.07,0.67,-0.49,-0.59,-0.33,-0.63,0.07
YKL154W,-0.32,-1.22,-0.69,0.01,-0.6,0.94,-0.59
YKL165C,-0.48,-0.08,-0.1,-0.16,-1.21,-1.28,-1.46
YKL172W,0.89,-0.11,-0.41,-0.07,-0.08,-0.76,0.4
YKL173W,-0.02,0.76,-0.68,-0.35,-0.05,0.14,-0.03
YKL180W,1.57,0.92,-0.19,0.14,0.81,-0.53,1.29
YKL182W,-0.46,-0.7,0.26,0.28,-0.56,-0.24,-0.66
YKL186C,1.31,-0.32,-0.42,-0.16,-0.06,0.93,-0.58
YKL189W,1.18,0.32,-0.39,0.42,-0.11,0.06,0.38
YKL192C,-0.05,0.8,0.03,-1.17,-0.01,-1.38,-0.41
YKL193C,-0.18,0.69,0.09,-0.53,0.16,0.55,-0.65
YKL195W,-0.67,-1.22,-1.56,-1.23,-0.86,-0.8,-1.02
YKL196C,-0.18,-0.63,-0.27,-0.45,-0.78,0.19,-1.74
YKL203C,-0.07,-0.9,-0.83,-1.11,-0.55,-0.07,-1.61
YKL210W,-0.5,0.1,-0.08,-0.17,-1.72,-0.59,0.49
YKR002W,0.45,-0.32,-0.76,0.45,0.19,0.05,-0.27
YKR004C,-0.18,-0.82,-0.62,-0.36,-0.77,0.22,-0.55
YKR008W,-1.64,-1.1,-0.72,-1.45,0.71,0.79,-0.17
YKR022C,-1,-0.05,-0.35,-0.89,-0.52,0.1,0.6
YKR025W,0.22,0.47,-0.51,0.63,-0.33,-0.03,0.59
YKR037C,0.3,-0.23,-0.6,-0.08,-0.34,0.08,-1.6
YKR038C,-1.05,-2.35,-2.14,-1.94,-2.13,-1.25,-2.23
YKR062W,0.42,0.1,-0.29,0.46,0.84,-0.5,0.18
YKR063C,-0.34,-0.84,0.28,-0.26,0.21,-0.99,-1.33
YKR068C,0,0,0,0,0,0,0
YKR071C,-1.69,-0.48,1.42,0.41,0.59,-0.79,0.85
YKR079C,1.15,-0.32,0.28,0.49,-0.04,0.96,0.23
YKR081C,-0.52,-2.35,-0.19,-0.52,-1.76,-1.98,-1.49
YKR083C,0.98,-0.14,0.41,-0.77,-0.62,-0.63,-0.06
YKR086W,-0.16,-0.15,-0.71,0.48,-0.23,1.46,-0.32
YLL003W,-0.23,-0.67,-0.31,0.14,-0.63,1.12,-0.05
YLL004W,-0.13,-0.1,0.23,-0.35,-0.86,0.09,-1.2
YLL008W,1.56,-0.44,-1.05,0.41,1.51,1.63,0.62
YLL011W,-0.19,-1.15,-0.7,0.01,-0.27,-0.05,-1.39
YLL018C,-0.9,0.25,-0.51,0.38,-0.2,0.35,0.65
YLL031C,-0.03,-0.56,0.8,0.54,0.38,0.3,-0.68
YLL034C,0.62,0.09,1.01,0.21,0.86,0.78,0.58
YLL035W,-0.34,-0.13,-0.53,-0.94,0.96,0.31,-0.49
YLL036C,-0.31,-0.28,-0.23,-0.16,-0.38,1.44,-1.44
YLL037W,0.65,-0.38,-0.05,-0.38,0.26,-0.19,-0.67
YLL050C,0.41,0.5,-0.44,0.14,-0.11,1.33,1.34
YLR002C,0.73,1.11,-0.24,-0.49,-0.55,1.72,0.57
YLR005W,-0.66,-0.57,0.73,0.61,0.23,-0.19,-0.84
YLR007W,-0.07,-0.18,-0.12,0.07,0.62,0.86,0.02
YLR008C,-0.67,0.18,0.79,0.27,0.06,-0.24,0.58
YLR009W,1.55,0.03,1.12,1.95,0.1,-1.25,0.24
YLR010C,0.31,0.88,1.49,0.52,0.74,-0.84,1.1
YLR022C,-0.46,0.29,-0.04,0.43,0.69,0.82,1.09
YLR026C,0.95,1.06,-0.07,0.88,0.71,0.99,0.53
YLR029C,0.15,-0.53,-0.66,-1.17,-0.34,-1.3,0.11
YLR033W,-0.99,-0.73,-0.52,-1.01,0.23,0.78,0.4
YLR045C,-0.3,-0.42,-0.85,0.54,0.21,-0.77,-0.04
YLR051C,-0.46,0.59,0.28,0.39,1.37,-0.42,1.42
YLR060W,1.38,-0.33,0.32,0.26,-0.04,-0.64,1.11
YLR066W,0,0,0,0,0,-0.93,0
YLR071C,-0.89,0.54,2.03,1.06,-0.76,-0.77,0.85
YLR075W,2.25,1.36,0.05,1.04,0.61,0.86,0.98
YLR076C,0.93,0.55,-0.26,0.74,0.91,0.53,0.92
YLR078C,0.23,0.79,-0.55,-0.22,0.02,0.43,-0.08
YLR086W,-0.07,0,1.34,0.29,0.55,1.08,1.55
YLR088W,0,0,0,0,0,0,0
YLR100W,-1.16,-0.67,-0.98,1.01,0.18,-1.98,-1.17
YLR101C,0.08,0.5,-0.62,-0.71,-0.27,-0.77,-0.62
YLR103C,-1.87,0.03,0.91,0.34,-0.09,-0.53,-0.22
YLR105C,0.1,0.68,0.04,-0.32,1.76,0.15,0.69
YLR106C,0.28,-0.03,-0.08,0.04,0.08,-0.03,-0.38
YLR115W,0,1.15,1.36,0.84,0.92,-0.07,1.17
YLR116W,0,0,1.35,0,0.39,0,0.73
YLR117C,0,0,0,0,0.46,-0.66,1.89
YLR127C,-1.21,0.45,-0.44,1.75,-1.12,-0.22,-0.07
YLR129W,0,0.81,0.42,0.79,0.35,-1.24,0.57
YLR132C,0.61,0.62,0.4,1.09,0.35,-1.23,0.12
YLR140W,0.5,2.7,0.82,0.49,0.21,0.33,2.26
YLR141W,-1.23,-0.45,-1.56,-1,-1.85,-0.32,-1.16
YLR145W,-0.45,-0.41,-0.31,-0.48,-0.08,-0.99,-0.06
YLR147C,1.07,1.27,-0.66,0.06,0.36,1.14,0.28
YLR153C,-0.24,-0.69,-1.35,-1.8,0.41,-0.09,-0.31
YLR163C,0.66,0.2,0.55,0.45,0.15,-0.72,-0.02
YLR166C,0.55,-0.78,0.17,0.9,-0.2,-0.64,-0.32
YLR167W,1.02,1.53,-0.53,1.14,0.92,0.08,0.41
YLR175W,0.68,0.57,0.59,0.32,0.4,0.81,0.89
YLR186W,0.37,0.49,-0.16,0.31,0.04,0.61,-0.45
YLR195C,0.08,0.65,0.36,-0.61,-0.75,-1.71,0.5
YLR196W,-0.22,0.13,0.31,0.47,-0.02,1.02,-0.42
YLR197W,0.84,0.82,0.49,0.92,0.12,0.76,0.35
YLR198C,1.57,0.04,1.13,0.92,-1.27,0.93,-0.03
YLR208W,-0.67,-0.32,-0.65,0.12,-1.31,-0.85,-0.56
YLR212C,0.12,-0.35,-0.37,0.79,0.31,0.45,-0.38
YLR215C,-0.48,-0.71,-0.23,0.44,0.12,-0.62,-0.01
YLR222C,-1.17,-1.33,-0.8,0.82,-1.1,0.81,-0.94
YLR223C,-0.09,-0.06,-0.53,-0.13,0.81,2.18,-0.11
YLR229C,0,0,0,0,0,0,0
YLR230W,-1.86,-0.79,-0.75,-0.21,-0.93,-0.18,-0.15
YLR243W,-0.76,-0.65,0.15,0.14,-0.53,0.26,-0.69
YLR249W,0.3,0.23,-0.35,0.46,0.14,0.39,0.39
YLR259C,1.03,-0.14,-0.64,-0.26,0.02,-0.28,-0.23
YLR272C,0.06,-0.27,0.02,0.65,0.63,0.45,0.76
YLR274W,0.29,-0.64,-1,-0.59,-0.13,0.33,-0.23
YLR275W,1.11,1.46,0.05,0.19,0.18,0.19,0.57
YLR276C,-0.5,0.05,-0.81,0.47,0.15,0.42,0.27
YLR277C,-1.42,-0.84,0.52,0.34,-1.13,-2.23,-1.05
YLR291C,0,0.78,0.18,-0.63,0.04,-0.1,0.4
YLR293C,0,0,0,0,0,0,0
YLR298C,0,0,0,0,0,0,0
YLR305C,-0.13,-0.1,0.19,0.18,0.64,1.4,0.53
YLR310C,1.09,0.97,-0.3,-1.22,-0.06,0.51,0.33
YLR314C,0.63,-0.13,0.29,-0.73,1.22,-0.25,0.14
YLR316C,-0.51,-0.8,0.04,-0.18,-0.06,0.22,0.08
YLR317W,0.18,-0.4,-1.71,-0.69,-0.91,0.57,-0.75
YLR321C,-0.07,0.75,-0.41,-1.9,0.53,-0.01,0
YLR323C,-2.55,-1.92,0.25,-1.36,-3.2,-1.32,-2.19
YLR336C,-0.2,-0.74,0.93,1.46,-0.57,0.94,0.3
YLR339C,-0.33,0.44,-0.96,-1.3,-1.39,-0.73,0.62
YLR340W,1.24,1.17,0.44,0.33,0.54,0.84,-0.28
YLR347C,-0.43,-1.04,-0.24,0.33,-2.2,-2.26,-1.24
YLR355C,0.85,-0.57,-0.27,-1.02,0.09,0.59,0.36
YLR359W,0.4,-0.38,-0.23,-0.08,-0.37,-0.04,-0.42
YLR378C,-0.89,0.15,-0.49,-0.75,0.21,0.23,-0.34
YLR379W,0.91,-0.58,-1.04,-1.32,-0.28,-0.38,0.52
YLR397C,1.09,-0.19,-1.01,-0.04,1.03,0.54,0.48
YLR409C,0.31,-0.66,-0.05,-0.05,-0.28,-0.65,0.43
YLR424W,-1.35,-0.46,0.1,-0.05,0.38,0.53,-0.12
