"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00184284240011794,13,734,1.61538461538462,"Anion binding","http://amigo.geneontology.org/amigo/term/GO:0043168","ECO:B0048 ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B1288 ECO:B2231 ECO:B3019 ECO:B3030 ECO:B3182 ECO:B3396 ECO:B3426 ECO:B3699"
0.0128998968008256,13,817,1.5,"Small molecule binding","http://amigo.geneontology.org/amigo/term/GO:0036094","ECO:B0048 ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B1288 ECO:B2231 ECO:B3019 ECO:B3030 ECO:B3182 ECO:B3396 ECO:B3426 ECO:B3699"
0.0644994840041281,13,1335,1.4,"Ion binding","http://amigo.geneontology.org/amigo/term/GO:0043167","ECO:B0048 ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B1288 ECO:B2231 ECO:B3019 ECO:B3030 ECO:B3182 ECO:B3396 ECO:B3426 ECO:B3699"
