node1,node2
b2125,b3072
b0860,b2308
b0620,b1130
b0654,b0860
b1253,b1394
b0571,b2219
b1393,b1397
b1486,b1487
b1244,b1292
b1406,b4334
b1487,b3542
b0620,b1969
b0908,b1261
b0620,b4125
b1393,b2844
b0995,b1888
b0995,b2219
b0860,b2307
b0071,b4297
b0073,b0118
b1215,b2935
b0077,b4297
b1914,b4113
b0042,b1393
b1393,b2224
b1697,b2262
b0036,b0042
b0860,b3269
b1395,b1397
b2065,b3251
b1393,b1698
b1393,b3845
b0400,b3160
b0036,b1698
b1253,b2919
b0972,b2994
b0043,b1697
b1888,b2381
b1397,b2341
b1293,b3544
b1397,b2769
b2220,b4003
b0860,b0862
b0654,b2310
b0269,b2373
b1888,b4124
b2078,b3179
b0860,b0861
b2193,b3210
b2078,b3912
b1485,b2178
b0015,b3251
b1406,b3452
b1884,b2125
b1485,b3477
b0620,b1882
b1395,b2844
b1888,b3210
b2224,b2769
b0078,b0828
b0862,b2310
b0071,b0269
b0015,b3363
b1882,b1888
b0571,b1888
b2219,b4398
b0078,b1261
b0078,b1517
b0861,b2310
b0619,b4112
b0955,b3283
b1395,b2769
b0535,b0620
b1244,b1245
b0832,b3477
b2029,b4235
b0831,b1487
b1311,b1781
b1395,b1695
b0316,b2157
b0620,b1888
b1883,b3669
b1253,b2710
b1687,b4468
b1695,b2341
b2193,b3072
b0041,b2341
b1394,b2342
b1395,b3845
b2193,b4003
b1888,b4398
b0831,b1245
b0399,b2078
b0078,b1096
b1395,b1697
b1697,b2341
b1781,b3452
b1221,b4125
b0653,b0811
b2193,b2786
b0077,b0269
b1394,b1397
b2219,b3405
b1888,b3025
b1888,b4355
b0993,b4124
b1884,b1885
b1920,b2308
b2019,b2022
b1920,b3270
b0367,b4334
b1096,b3179
b1888,b3912
b1312,b3012
b0036,b2342
b0478,b3179
b1395,b4187
b0269,b0871
b1695,b2919
b1394,b2844
b1781,b4334
b2029,b4051
b0430,b0431
b0039,b2919
b1394,b2224
b1435,b2600
b1276,b2282
b1887,b2193
b0654,b1920
b1697,b2342
b1253,b4187
b0830,b1245
b1394,b3845
b2029,b2736
b0036,b1397
b1210,b3179
b0525,b1741
b1741,b3363
b0041,b2342
b1397,b2262
b1397,b1697
b0493,b2842
b0828,b1406
b1325,b4478
b0041,b1397
b0072,b0771
b0036,b1253
b0863,b1918
b0041,b2844
b1697,b2844
b2178,b3542
b1885,b1888
b1914,b3072
b0036,b2844
b0041,b2224
b0041,b3845
b0095,b0955
b1697,b2224
b1311,b1406
b2081,b3895
b1697,b3845
b1325,b2247
b0036,b2224
b1129,b3912
b1809,b4248
b1215,b2465
b0036,b3845
b1969,b2219
b0832,b2178
b1920,b2307
b1968,b4125
b0242,b0243
b0399,b3072
b0269,b0507
b0525,b1000
b0653,b0863
b1888,b3072
b1608,b3072
b0042,b2262
b1695,b2262
b0830,b1485
b2078,b3025
b0654,b2309
b1886,b1887
b1920,b3269
b1397,b2919
b1608,b2370
b2224,b2262
b1698,b2262
b0400,b0995
b2178,b3478
b0695,b3912
b0400,b3724
b0042,b2919
b1096,b3160
b2078,b4398
b1130,b1888
b0039,b2262
b1698,b2919
b1245,b3544
b0221,b1253
b0862,b1920
b2125,b2219
b0724,b4463
b1888,b1969
b0695,b1969
b1293,b2179
b0811,b1918
b0078,b4388
b0861,b1920
b1608,b3669
b0535,b1888
b1253,b2262
b0078,b3724
b0031,b3809
b0316,b2577
b0071,b0074
b0832,b3543
b0973,b2990
b0862,b2309
b0830,b0832
b0832,b1487
b2224,b2919
b1253,b2029
b0695,b3025
b0861,b2309
b1609,b3912
b0207,b1311
b1969,b2556
b1884,b2381
b0993,b1914
b0207,b3452
b0078,b0478
b0525,b3012
b1253,b1393
b0493,b2705
b1235,b2219
b0031,b2818
b0231,b0708
b1884,b3072
b1406,b2818
b1435,b3959
b0832,b3544
b1914,b4004
b1245,b3477
b0031,b3160
b0399,b2219
b0076,b2364
b0993,b2193
b0529,b3288
b0535,b3072
b0010,b1312
b0015,b3179
b0031,b1096
b1221,b4003
b0811,b2308
b0973,b2997
b2125,b2370
b1293,b1487
b2029,b3409
b1486,b2179
b0071,b1851
b0071,b3771
b1325,b1581
b0400,b3405
b0041,b3846
b0078,b2078
b1130,b2219
b2219,b4401
b0654,b0811
b1221,b3210
b1096,b1260
b0041,b1253
b0811,b3270
b0043,b1656
b0525,b0779
b0525,b1913
b0779,b3363
b1913,b3363
b1697,b3846
b1235,b3072
b2023,b2024
b0078,b2827
b0031,b1260
b0031,b1261
b0031,b1517
b0830,b0831
b0285,b2880
b0571,b3072
b0831,b3476
b1221,b1884
b0403,b3432
b1781,b2818
b1000,b3363
b1096,b3724
b1969,b2078
b0493,b2541
b0207,b1312
b0619,b3404
b1882,b3072
b2219,b3179
b1210,b3805
b1260,b3724
b1680,b4111
b1260,b1517
b0076,b0900
b0993,b1888
b1517,b3160
b0811,b2307
b1253,b1697
b2081,b3998
b0042,b2341
b0036,b4463
b1406,b3998
b1397,b3846
b1260,b3670
b0078,b0207
b1292,b3544
b1221,b1885
b1225,b1468
b0993,b3072
b1292,b3477
b1395,b1698
b0043,b2919
b1687,b2282
b1698,b2341
b1609,b3025
b1406,b2081
b1695,b3846
b0995,b3350
b1224,b1225
b1253,b2769
b0047,b1261
b0400,b1608
b0811,b3269
b1260,b2023
b1312,b1406
b1697,b4478
b0399,b3911
b1888,b2220
b0993,b1221
b1311,b3012
b0041,b1699
b1245,b3543
b0620,b4003
b2078,b3012
b0042,b0043
b1608,b2219
b2023,b2026
b0207,b0828
b0724,b2241
b0151,b4288
b0695,b4398
b2024,b2026
b0724,b2262
b0014,b0525
b0525,b0650
b0525,b2526
b2219,b3868
b1406,b2827
b0071,b2373
b1781,b4033
b0036,b0428
b0811,b0862
b0400,b4179
b0863,b2308
b1406,b1435
b0043,b1700
b0811,b0861
b0043,b1394
b2067,b2786
b0428,b3839
b0036,b0043
b1096,b3670
b0831,b1329
b0828,b4334
b0695,b3179
b0078,b3998
b1517,b3670
b1608,b2554
b0207,b4032
b2078,b3724
b0043,b2769
b1406,b4033
b1888,b2218
b1261,b1517
b1969,b4112
b1221,b4355
b0077,b1851
b0077,b3771
b0863,b3270
b0367,b1406
b0078,b4334
b0830,b1486
b0863,b2307
b1129,b3025
b0654,b0863
b1261,b3670
b1394,b2710
b1406,b3160
b0036,b2710
b1887,b2125
b1253,b1395
b0078,b3809
b1253,b2341
b1244,b1487
b0619,b3026
b0828,b1781
b1969,b3911
b2081,b3959
b0031,b2838
b1884,b2193
b0072,b0074
b1697,b1699
b0522,b2710
b1292,b1487
b0076,b1987
b0695,b1312
b1969,b3072
b0400,b3179
b2081,b2818
b1888,b2786
b0620,b2218
b1261,b1692
b0724,b2979
b0015,b0408
b1276,b3959
b0993,b2220
b1609,b4398
b0260,b0486
b1253,b3117
b1253,b3772
b0042,b1699
b0863,b3269
b1699,b2769
b1781,b4032
b1647,b3117
b1261,b3160
b2179,b3477
b1261,b3724
b0830,b2178
b0399,b3404
b2219,b4113
b0031,b2553
b0831,b3544
b0525,b2614
b1393,b3409
b1969,b3404
b2196,b2199
b0430,b0432
b1485,b3544
b0993,b3350
b1435,b3998
b0935,b3160
b1235,b2078
b0720,b2282
b2091,b4051
b0428,b2919
b0486,b2663
b1393,b4463
b0073,b1276
b0043,b1253
b0862,b0863
b1210,b1260
b1253,b1656
b1539,b3003
b0400,b2067
b0525,b2069
b0076,b3060
b2023,b2025
b1395,b4051
b1698,b1699
b0041,b2766
b0658,b4179
b1781,b3959
b0724,b1395
b0861,b0863
b0995,b3404
b0695,b3868
b1253,b4478
b0071,b0507
b2079,b4124
b0570,b3025
b0908,b3179
b2179,b3543
b0830,b1244
b0078,b2938
b0014,b3363
b0650,b3363
b1467,b1468
b1260,b3210
b0095,b3283
b0207,b3831
b1435,b2818
b1235,b1887
b1517,b3724
b0047,b0993
b0333,b1276
b1888,b3669
b1406,b3158
b0619,b2067
b1393,b2710
b0118,b1800
b1406,b3670
b2067,b2078
b0908,b2023
b0400,b1130
b1406,b3959
b0400,b1235
b2020,b2023
b2020,b2024
b2020,b2025
b2020,b2026
b2025,b2026
b0619,b3912
b1884,b1886
b0571,b0695
b0828,b3670
b1395,b3409
b1224,b1467
b1215,b1517
b0042,b1253
b1253,b1695
b0830,b3542
b0073,b0074
b1253,b1698
b0828,b2818
b1253,b4051
b0039,b1253
b1394,b4463
b1981,b2029
b0036,b0724
b2069,b3363
b2029,b3012
b0400,b3868
b1406,b4384
b1969,b3869
b0221,b3409
b0207,b0367
b1329,b1485
b0724,b2243
b1210,b3368
b0571,b3911
b1609,b3179
b1968,b3179
b0014,b0121
b0121,b0650
b0121,b2526
b1130,b3072
b0655,b0810
b1406,b3616
b1312,b1781
b0724,b2341
b0571,b2078
b0619,b3025
b0043,b4187
b0995,b3911
b1096,b1517
b0207,b4033
b0570,b3912
b0478,b0993
b1129,b4398
b0015,b0055
b1697,b2766
b1884,b3912
b0072,b1136
b0207,b2938
b0975,b2712
b0993,b2381
b2081,b2249
b0724,b1393
b1435,b2474
b0036,b3409
b2022,b2023
b0047,b3283
b0571,b1609
b0042,b3846
b0973,b4463
b0367,b2600
b0428,b1394
b0414,b0415
b0047,b3012
b0620,b3669
b1243,b1293
b0620,b3072
b1768,b3965
b0400,b2125
b1698,b3846
b0478,b3210
b0286,b3447
b0399,b0695
b0008,b2935
b2081,b2474
b1406,b1774
b1700,b2766
b0207,b2818
b1292,b1329
b1697,b3409
b0478,b3012
b0369,b3368
b0316,b0338
b0078,b0450
b1096,b1261
b0975,b2728
b1235,b1884
b0047,b1517
b2221,b2222
b1781,b2081
b0428,b1393
b0428,b2262
b1968,b3724
b0975,b2730
b1581,b1697
b0047,b0995
b1887,b1914
b1136,b1276
b2220,b3669
b0724,b1687
b0995,b2556
b1129,b3179
b0207,b2081
b1883,b3404
b1883,b2219
b2081,b2615
b1313,b4051
b0112,b0486
b1884,b1914
b1888,b4113
b0478,b2786
b0399,b2556
b0076,b3521
b1245,b1291
b0571,b0619
b0400,b1883
b0207,b4384
b0042,b2766
b1781,b3451
b1292,b3543
b0724,b2919
b2067,b2733
b0828,b3809
b0078,b0367
b0724,b1394
b0054,b0915
b0096,b0181
b0096,b0182
b0054,b2595
b0181,b0182
b0993,b2554
b0177,b0737
b1262,b2265
b0096,b0179
b0043,b1393
b1286,b1816
b0179,b0182
b1888,b2370
b0031,b3959
b0177,b1116
b0975,b2729
b0036,b2788
b0054,b2830
b1313,b2091
b0182,b0915
b0215,b3609
b0215,b1654
b0054,b0737
b0215,b3179
b1882,b1884
b0156,b3738
b0156,b0630
b1887,b2381
b1885,b2193
b0054,b3229
b0182,b3633
b0156,b4200
b0096,b3633
b0049,b3738
b0096,b0915
b0054,b0524
b1253,b1581
b0054,b1912
b0215,b2232
b0049,b0156
b0049,b4200
b0054,b2378
b0080,b3075
b1406,b3451
b0156,b3229
b0181,b1215
b0828,b2081
b0207,b3998
b0215,b3461
b0156,b2595
b0397,b0398
b0053,b4169
