"Sp1","Sp2","PhyloDist"
"cal","cal",0
"cal","cgi",0.7063311
"cgi","cgi",0
"cal","cne",0.8423892
"cgi","cne",0.1007658
"cne","cne",0
"cal","ecu",1.4755092
"cgi","ecu",1.2637284
"cne","ecu",1.4270487
"ecu","ecu",0
"cal","sce",0.3337595
"cgi","sce",0.6597281
"cne","sce",0.7908668
"ecu","sce",1.3954571
"sce","sce",0
"cal","spo",0.6879992
"cgi","spo",0.6136406
"cne","spo",0.6189594
"ecu","spo",1.4555029
"sce","spo",0.6356751
"spo","spo",0
