"Sp1","Sp2","PhyloDist"
"cal","cal",0
"cal","cgi",0.1135226
"cgi","cgi",0
"cal","cne",0.1128539
"cgi","cne",0.0005589
"cne","cne",0
"cal","sce",0.048252
"cgi","sce",0.1258272
"cne","sce",0.1258272
"sce","sce",0
