node1,node2
b3302,b3307
b0776,b0777
b2203,b2206
b3311,b3318
b3298,b3302
b2704,b2705
b3306,b3317
b2279,b2280
b2677,b2678
b1081,b1082
b0573,b0574
b0115,b0116
b3297,b3314
b1198,b1200
b3296,b3305
b0721,b0729
b2261,b2262
b2507,b2508
b2993,b2994
b4124,b4125
b1078,b1944
b2279,b2282
b3298,b3317
b2499,b2500
b3296,b3317
b3306,b3314
b0450,b0451
b3310,b3318
b3458,b3460
b2527,b2531
b3315,b3320
b2280,b2282
b1924,b1944
b3297,b3305
b1070,b1071
b3302,b3319
b3321,b3341
b3604,b3605
b2197,b2199
b3542,b3543
b1078,b1081
b1949,b1950
b1071,b1073
b4398,b4399
b1944,b1949
b3318,b3321
b1078,b1940
b4153,b4154
b1363,b3849
b3314,b3318
b1924,b1938
b3731,b3733
b3302,b3309
b3091,b3092
b2278,b2282
b0722,b0727
b2279,b2281
b3297,b3306
b1018,b1019
b3310,b3313
b3307,b3312
b1072,b1076
b0726,b0729
b4094,b4095
b1924,b1941
b3321,b3340
b3302,b3318
b3845,b3846
b4097,b4098
b1076,b1944
b3725,b3726
b3298,b3313
b1077,b1944
b1078,b1943
b2167,b2169
b3456,b3457
b1944,b1947
b3736,b3738
b4287,b4290
b3315,b3321
b3482,b3593
b1940,b1942
b3298,b3306
b1943,b1949
b3636,b3637
b3302,b3310
b1082,b1944
b3408,b3409
b2061,b2062
b0775,b0776
b3722,b3723
b3308,b3319
b1083,b1941
b3304,b3317
b1075,b1944
b1924,b1946
b1941,b1949
b3310,b3321
b2499,b4006
b1073,b1941
b3302,b3311
b3733,b3735
b3748,b3749
b1260,b1261
b3305,b3319
b3304,b3315
b1938,b1942
b3302,b3321
b3308,b3313
b1924,b1940
b3431,b3432
b2576,b3780
b3298,b3299
b3302,b3317
b3733,b3737
b2727,b2729
b2040,b2041
b2606,b2607
b3317,b3341
b1940,b1949
b2287,b2288
b1306,b1307
b3365,b3366
b1938,b1949
b1080,b1949
b1072,b1082
b0895,b0896
b0225,b0226
b0572,b0575
b1075,b1081
b1076,b1940
b2890,b4129
b1078,b1925
b1244,b1247
b0043,b0044
b1937,b1938
b3302,b3308
b0169,b0170
b3312,b3321
b4097,b4099
b1080,b1944
b2021,b2023
b3304,b3308
b3311,b3313
b1921,b1924
b1039,b1040
b3304,b3307
b3314,b3341
b1074,b1940
b1552,b1557
b3313,b3341
b1680,b1682
b0169,b3231
b2194,b2195
b3304,b3309
b3339,b3980
b3297,b3302
b3304,b3319
b3298,b3314
b2052,b2053
b2278,b2280
b2607,b2608
b1680,b1683
b1943,b1946
b3199,b3201
b0700,b3593
b1886,b1887
b0428,b0431
b1071,b1072
b3200,b3201
b3231,b3317
b1079,b1944
b1073,b1925
b1198,b1199
b3301,b3985
b4101,b4102
b1073,b1083
b3304,b3314
b1938,b1943
b1245,b1247
b0428,b0430
b3296,b3319
b3302,b3312
b3296,b3302
b1080,b1940
b3296,b3314
b3731,b3735
b1521,b3092
b3749,b3750
b3731,b3736
b3320,b3340
b1074,b1081
b3297,b3308
b2276,b2278
b2023,b2026
b1125,b1126
b1083,b1925
b4201,b4203
b3302,b3320
