"Sp1","Sp2","Chemdist"
"cal","cne",2697.86507042723
"cal","sce",2791.4264956451
"cal","spo",3228.04528263908
"cne","sce",3232.22830966918
"cne","spo",3439.13233784112
"sce","spo",2574.16021026708
