"Sp1","Sp2","Chemdist"
"ebw","ecr",6.22866394480555
"ebw","pae",8.68123573675553
"ebw","pau",8.60701975554416
"ebw","seo",7.65007622648251
"ebw","stm",8.08677480309163
"ecr","pae",8.69354993127126
"ecr","pau",8.37963919406474
"ecr","seo",7.5047200598
"ecr","stm",8.36335457408325
"pae","pau",5.5508237231081
"pae","seo",8.2357373891317
"pae","stm",8.75850553109498
"pau","seo",8.1793980333811
"pau","stm",8.56963031827722
"seo","stm",6.44865954349167
