"Sp1","Sp2","Chemdist"
"cal","cgi",3277.08521612899
"cal","cne",1557.7591067529
"cal","sce",1200.81684382583
"cgi","cne",3927.2680296321
"cgi","sce",3213.21418578215
"cne","sce",1180.46507025124
