"Sp1","Sp2","Chemdist"
"cal","cgi",3.55965251113083
"cal","cne",3.42307654019013
"cal","sce",4.31122476797487
"cgi","cne",1.97108421940819
"cgi","sce",3.3425704181064
"cne","sce",2.74556660818855
